,APXPrice,APXVolume,N2EXPrice,N2EXVolume,settlementDate,settlementPeriod
2016010244,33.04,1087.550,0.00,0.000,2016-01-02,44
2016010245,32.90,1146.600,0.00,0.000,2016-01-02,45
2016010246,32.62,1274.750,0.00,0.000,2016-01-02,46
2016010247,39.30,1414.550,0.00,0.000,2016-01-02,47
2016010248,39.15,1210.500,0.00,0.000,2016-01-02,48
2016010301,39.17,1068.000,0.00,0.000,2016-01-03,1
2016010302,38.74,1053.250,0.00,0.000,2016-01-03,2
2016010303,39.01,698.000,0.00,0.000,2016-01-03,3
2016010304,37.33,500.450,0.00,0.000,2016-01-03,4
2016010305,35.97,466.450,0.00,0.000,2016-01-03,5
2016010306,33.04,466.150,0.00,0.000,2016-01-03,6
2016010307,25.04,502.750,0.00,0.000,2016-01-03,7
2016010308,22.11,403.050,0.00,0.000,2016-01-03,8
2016010309,20.02,412.950,0.00,0.000,2016-01-03,9
2016010310,19.43,401.000,0.00,0.000,2016-01-03,10
2016010311,19.81,447.500,0.00,0.000,2016-01-03,11
2016010312,20.07,521.100,0.00,0.000,2016-01-03,12
2016010313,20.18,531.200,0.00,0.000,2016-01-03,13
2016010314,20.88,573.100,0.00,0.000,2016-01-03,14
2016010315,24.52,576.000,0.00,0.000,2016-01-03,15
2016010316,24.02,523.650,0.00,0.000,2016-01-03,16
2016010317,25.18,613.750,0.00,0.000,2016-01-03,17
2016010318,21.67,507.800,0.00,0.000,2016-01-03,18
2016010319,29.56,836.150,0.00,0.000,2016-01-03,19
2016010320,30.63,850.650,0.00,0.000,2016-01-03,20
2016010321,31.62,742.200,0.00,0.000,2016-01-03,21
2016010322,31.36,843.500,0.00,0.000,2016-01-03,22
2016010323,32.15,909.250,0.00,0.000,2016-01-03,23
2016010324,31.23,886.650,0.00,0.000,2016-01-03,24
2016010325,31.35,691.750,0.00,0.000,2016-01-03,25
2016010326,31.43,627.600,0.00,0.000,2016-01-03,26
2016010327,32.40,620.700,0.00,0.000,2016-01-03,27
2016010328,32.11,644.400,0.00,0.000,2016-01-03,28
2016010329,32.17,536.100,0.00,0.000,2016-01-03,29
2016010330,32.62,592.550,0.00,0.000,2016-01-03,30
2016010331,36.72,1092.850,0.00,0.000,2016-01-03,31
2016010332,35.70,1272.200,0.00,0.000,2016-01-03,32
2016010333,40.42,919.700,0.00,0.000,2016-01-03,33
2016010334,50.83,927.900,0.00,0.000,2016-01-03,34
2016010335,52.09,844.950,0.00,0.000,2016-01-03,35
2016010336,51.05,807.700,0.00,0.000,2016-01-03,36
2016010337,48.60,773.600,0.00,0.000,2016-01-03,37
2016010338,44.35,755.350,0.00,0.000,2016-01-03,38
2016010339,35.61,770.700,0.00,0.000,2016-01-03,39
2016010340,34.81,669.250,0.00,0.000,2016-01-03,40
2016010341,32.46,395.700,0.00,0.000,2016-01-03,41
2016010342,33.03,562.300,0.00,0.000,2016-01-03,42
2016010343,32.30,756.550,0.00,0.000,2016-01-03,43
2016010344,32.02,890.250,0.00,0.000,2016-01-03,44
2016010345,31.42,911.550,0.00,0.000,2016-01-03,45
2016010346,31.50,933.300,0.00,0.000,2016-01-03,46
2016010347,32.61,527.000,0.00,0.000,2016-01-03,47
2016010348,30.22,325.850,0.00,0.000,2016-01-03,48
2016010401,30.21,355.100,0.00,0.000,2016-01-04,1
2016010402,31.15,427.000,0.00,0.000,2016-01-04,2
2016010403,32.92,436.000,0.00,0.000,2016-01-04,3
2016010404,32.23,417.500,0.00,0.000,2016-01-04,4
2016010405,31.98,389.000,0.00,0.000,2016-01-04,5
2016010406,31.38,402.500,0.00,0.000,2016-01-04,6
2016010407,28.07,311.700,0.00,0.000,2016-01-04,7
2016010408,26.82,238.950,0.00,0.000,2016-01-04,8
2016010409,27.08,244.250,0.00,0.000,2016-01-04,9
2016010410,25.98,285.550,0.00,0.000,2016-01-04,10
2016010411,27.64,608.500,0.00,0.000,2016-01-04,11
2016010412,27.84,548.500,0.00,0.000,2016-01-04,12
2016010413,30.76,735.650,0.00,0.000,2016-01-04,13
2016010414,33.44,1426.250,0.00,0.000,2016-01-04,14
2016010415,34.90,1074.900,0.00,0.000,2016-01-04,15
2016010416,33.68,702.650,0.00,0.000,2016-01-04,16
2016010417,33.09,750.700,0.00,0.000,2016-01-04,17
2016010418,32.43,585.800,0.00,0.000,2016-01-04,18
2016010419,34.19,471.500,0.00,0.000,2016-01-04,19
2016010420,32.39,485.150,0.00,0.000,2016-01-04,20
2016010421,31.18,708.950,0.00,0.000,2016-01-04,21
2016010422,31.78,785.750,0.00,0.000,2016-01-04,22
2016010423,33.41,789.000,0.00,0.000,2016-01-04,23
2016010424,33.60,847.450,0.00,0.000,2016-01-04,24
