,APXPrice,APXVolume,N2EXPrice,N2EXVolume,settlementDate,settlementPeriod
2016080812,4.34,634.000,0.00,0.000,2016-08-08,12
2016080813,7.44,541.250,0.00,0.000,2016-08-08,13
2016080814,17.16,1068.450,0.00,0.000,2016-08-08,14
2016080815,27.15,672.550,0.00,0.000,2016-08-08,15
2016080816,28.36,734.050,0.00,0.000,2016-08-08,16
2016080817,29.75,608.450,0.00,0.000,2016-08-08,17
2016080818,29.73,658.150,0.00,0.000,2016-08-08,18
2016080819,28.21,652.550,0.00,0.000,2016-08-08,19
2016080820,26.96,779.800,0.00,0.000,2016-08-08,20
2016080821,26.83,633.100,0.00,0.000,2016-08-08,21
2016080822,26.82,625.450,0.00,0.000,2016-08-08,22
2016080823,27.76,1077.950,0.00,0.000,2016-08-08,23
2016080824,28.37,1138.550,0.00,0.000,2016-08-08,24
2016080825,28.41,1133.000,0.00,0.000,2016-08-08,25
2016080826,27.84,1040.700,0.00,0.000,2016-08-08,26
2016080827,28.29,991.450,0.00,0.000,2016-08-08,27
2016080828,28.36,1007.500,0.00,0.000,2016-08-08,28
2016080829,28.33,956.650,0.00,0.000,2016-08-08,29
2016080830,28.34,1048.100,0.00,0.000,2016-08-08,30
2016080831,33.90,888.000,0.00,0.000,2016-08-08,31
2016080832,33.71,975.450,0.00,0.000,2016-08-08,32
2016080833,33.34,998.500,0.00,0.000,2016-08-08,33
2016080834,34.28,1108.600,0.00,0.000,2016-08-08,34
2016080835,40.73,1011.800,0.00,0.000,2016-08-08,35
2016080836,43.87,1136.900,0.00,0.000,2016-08-08,36
2016080837,43.29,1132.150,0.00,0.000,2016-08-08,37
2016080838,44.22,1183.400,0.00,0.000,2016-08-08,38
2016080839,41.74,893.500,0.00,0.000,2016-08-08,39
2016080840,41.74,883.550,0.00,0.000,2016-08-08,40
2016080841,40.45,826.700,0.00,0.000,2016-08-08,41
2016080842,39.16,917.300,0.00,0.000,2016-08-08,42
2016080843,40.20,1254.000,0.00,0.000,2016-08-08,43
2016080844,38.09,1286.900,0.00,0.000,2016-08-08,44
2016080845,37.07,1442.500,0.00,0.000,2016-08-08,45
2016080846,35.86,1491.650,0.00,0.000,2016-08-08,46
2016080847,35.94,458.850,0.00,0.000,2016-08-08,47
2016080848,33.30,347.100,0.00,0.000,2016-08-08,48
2016080901,32.46,266.950,0.00,0.000,2016-08-09,1
2016080902,30.75,268.700,0.00,0.000,2016-08-09,2
2016080903,30.30,380.300,0.00,0.000,2016-08-09,3
2016080904,30.25,447.150,0.00,0.000,2016-08-09,4
2016080905,29.91,338.950,0.00,0.000,2016-08-09,5
2016080906,28.98,310.650,0.00,0.000,2016-08-09,6
2016080907,24.28,356.650,0.00,0.000,2016-08-09,7
2016080908,24.44,353.000,0.00,0.000,2016-08-09,8
2016080909,24.51,400.000,0.00,0.000,2016-08-09,9
2016080910,24.13,317.650,0.00,0.000,2016-08-09,10
2016080911,27.99,375.350,0.00,0.000,2016-08-09,11
2016080912,26.41,421.250,0.00,0.000,2016-08-09,12
2016080913,32.29,445.000,0.00,0.000,2016-08-09,13
2016080914,32.65,834.500,0.00,0.000,2016-08-09,14
2016080915,34.63,625.800,0.00,0.000,2016-08-09,15
2016080916,36.34,393.850,0.00,0.000,2016-08-09,16
2016080917,36.65,403.400,0.00,0.000,2016-08-09,17
2016080918,37.47,515.450,0.00,0.000,2016-08-09,18
2016080919,36.24,531.600,0.00,0.000,2016-08-09,19
2016080920,34.59,585.450,0.00,0.000,2016-08-09,20
2016080921,34.41,612.250,0.00,0.000,2016-08-09,21
2016080922,34.14,705.150,0.00,0.000,2016-08-09,22
2016080923,31.72,759.750,0.00,0.000,2016-08-09,23
2016080924,31.16,853.750,0.00,0.000,2016-08-09,24
2016080925,31.10,850.650,0.00,0.000,2016-08-09,25
2016080926,31.00,896.850,0.00,0.000,2016-08-09,26
2016080927,30.43,921.400,0.00,0.000,2016-08-09,27
2016080928,30.71,799.650,0.00,0.000,2016-08-09,28
2016080929,30.60,794.250,0.00,0.000,2016-08-09,29
2016080930,30.80,814.800,0.00,0.000,2016-08-09,30
2016080931,35.09,707.300,0.00,0.000,2016-08-09,31
2016080932,35.09,745.000,0.00,0.000,2016-08-09,32
2016080933,36.54,720.500,0.00,0.000,2016-08-09,33
2016080934,36.24,748.750,0.00,0.000,2016-08-09,34
2016080935,41.40,888.200,0.00,0.000,2016-08-09,35
2016080936,42.15,722.150,0.00,0.000,2016-08-09,36
2016080937,42.72,708.350,0.00,0.000,2016-08-09,37
2016080938,40.82,734.850,0.00,0.000,2016-08-09,38
2016080939,41.47,803.350,0.00,0.000,2016-08-09,39
2016080940,40.54,737.400,0.00,0.000,2016-08-09,40
2016080941,41.00,703.000,0.00,0.000,2016-08-09,41
2016080942,,,0.00,0.000,2016-08-09,42
2016080943,45.02,817.650,0.00,0.000,2016-08-09,43
2016080944,39.93,755.500,0.00,0.000,2016-08-09,44
2016080945,38.58,858.500,0.00,0.000,2016-08-09,45
2016080946,35.69,952.250,0.00,0.000,2016-08-09,46
2016080947,34.46,305.050,0.00,0.000,2016-08-09,47
2016080948,33.56,345.000,0.00,0.000,2016-08-09,48
2016081001,33.91,167.150,0.00,0.000,2016-08-10,1
2016081002,33.28,36.100,0.00,0.000,2016-08-10,2
2016081003,32.06,225.150,0.00,0.000,2016-08-10,3
2016081004,21.82,120.850,0.00,0.000,2016-08-10,4
2016081005,25.39,154.600,0.00,0.000,2016-08-10,5
2016081006,25.70,204.950,0.00,0.000,2016-08-10,6
2016081007,20.38,147.350,0.00,0.000,2016-08-10,7
2016081008,21.14,111.750,0.00,0.000,2016-08-10,8
2016081009,23.13,149.200,0.00,0.000,2016-08-10,9
2016081010,26.76,209.900,0.00,0.000,2016-08-10,10
2016081011,30.13,310.750,0.00,0.000,2016-08-10,11
2016081012,29.10,268.950,0.00,0.000,2016-08-10,12
2016081013,31.12,243.500,0.00,0.000,2016-08-10,13
2016081014,35.35,270.900,0.00,0.000,2016-08-10,14
2016081015,31.45,447.300,0.00,0.000,2016-08-10,15
2016081016,30.71,503.550,0.00,0.000,2016-08-10,16
2016081017,42.19,476.700,0.00,0.000,2016-08-10,17
2016081018,46.67,426.200,0.00,0.000,2016-08-10,18
2016081019,54.17,688.650,0.00,0.000,2016-08-10,19
2016081020,52.04,611.550,0.00,0.000,2016-08-10,20
2016081021,49.88,557.500,0.00,0.000,2016-08-10,21
2016081022,47.74,651.850,0.00,0.000,2016-08-10,22
2016081023,41.95,833.200,0.00,0.000,2016-08-10,23
2016081024,41.91,953.450,0.00,0.000,2016-08-10,24
2016081025,40.90,901.100,0.00,0.000,2016-08-10,25
2016081026,39.40,956.250,0.00,0.000,2016-08-10,26
2016081027,39.16,952.400,0.00,0.000,2016-08-10,27
2016081028,39.56,861.000,0.00,0.000,2016-08-10,28
2016081029,39.22,892.000,0.00,0.000,2016-08-10,29
2016081030,38.93,933.350,0.00,0.000,2016-08-10,30
2016081031,33.72,634.950,0.00,0.000,2016-08-10,31
2016081032,34.92,544.950,0.00,0.000,2016-08-10,32
2016081033,34.32,594.800,0.00,0.000,2016-08-10,33
2016081034,35.47,638.850,0.00,0.000,2016-08-10,34
2016081035,39.13,762.050,0.00,0.000,2016-08-10,35
2016081036,38.71,698.850,0.00,0.000,2016-08-10,36
2016081037,37.01,602.000,0.00,0.000,2016-08-10,37
2016081038,36.76,833.500,0.00,0.000,2016-08-10,38
2016081039,39.12,945.650,0.00,0.000,2016-08-10,39
2016081040,40.67,958.550,0.00,0.000,2016-08-10,40
2016081041,39.86,892.100,0.00,0.000,2016-08-10,41
2016081042,37.95,871.750,0.00,0.000,2016-08-10,42
2016081043,39.22,787.500,0.00,0.000,2016-08-10,43
2016081044,34.66,852.950,0.00,0.000,2016-08-10,44
2016081045,34.09,1271.450,0.00,0.000,2016-08-10,45
2016081046,33.51,1548.450,0.00,0.000,2016-08-10,46
2016081047,36.78,385.000,0.00,0.000,2016-08-10,47
2016081048,33.06,318.950,0.00,0.000,2016-08-10,48
2016081101,29.44,340.500,0.00,0.000,2016-08-11,1
2016081102,30.06,380.000,0.00,0.000,2016-08-11,2
2016081103,28.74,194.700,0.00,0.000,2016-08-11,3
2016081104,25.57,224.000,0.00,0.000,2016-08-11,4
2016081105,23.60,216.800,0.00,0.000,2016-08-11,5
2016081106,22.74,171.500,0.00,0.000,2016-08-11,6
2016081107,14.46,124.500,0.00,0.000,2016-08-11,7
2016081108,12.97,138.050,0.00,0.000,2016-08-11,8
2016081109,10.50,220.250,0.00,0.000,2016-08-11,9
2016081110,11.26,206.650,0.00,0.000,2016-08-11,10
2016081111,11.53,250.450,0.00,0.000,2016-08-11,11
2016081112,14.92,231.300,0.00,0.000,2016-08-11,12
2016081113,30.31,378.750,0.00,0.000,2016-08-11,13
2016081114,31.67,806.650,0.00,0.000,2016-08-11,14
2016081115,31.68,717.050,0.00,0.000,2016-08-11,15
2016081116,32.37,637.500,0.00,0.000,2016-08-11,16
2016081117,36.74,420.400,0.00,0.000,2016-08-11,17
2016081118,39.43,432.750,0.00,0.000,2016-08-11,18
2016081119,38.51,592.650,0.00,0.000,2016-08-11,19
2016081120,36.86,569.400,0.00,0.000,2016-08-11,20
2016081121,35.57,654.650,0.00,0.000,2016-08-11,21
2016081122,35.60,725.200,0.00,0.000,2016-08-11,22
2016081123,32.89,929.250,0.00,0.000,2016-08-11,23
2016081124,33.02,881.850,0.00,0.000,2016-08-11,24
2016081125,34.11,914.850,0.00,0.000,2016-08-11,25
2016081126,31.98,912.550,0.00,0.000,2016-08-11,26
2016081127,30.51,984.900,0.00,0.000,2016-08-11,27
2016081128,30.24,1026.300,0.00,0.000,2016-08-11,28
2016081129,30.22,1032.950,0.00,0.000,2016-08-11,29
2016081130,30.06,1054.250,0.00,0.000,2016-08-11,30
2016081131,32.63,948.300,0.00,0.000,2016-08-11,31
2016081132,32.57,956.150,0.00,0.000,2016-08-11,32
2016081133,32.71,953.350,0.00,0.000,2016-08-11,33
2016081134,33.65,981.550,0.00,0.000,2016-08-11,34
2016081135,35.73,1070.000,0.00,0.000,2016-08-11,35
2016081136,36.04,1100.650,0.00,0.000,2016-08-11,36
2016081137,38.10,1005.550,0.00,0.000,2016-08-11,37
2016081138,38.07,1174.650,0.00,0.000,2016-08-11,38
2016081139,37.54,842.000,0.00,0.000,2016-08-11,39
2016081140,36.75,827.400,0.00,0.000,2016-08-11,40
2016081141,35.66,944.850,0.00,0.000,2016-08-11,41
2016081142,36.97,924.400,0.00,0.000,2016-08-11,42
2016081143,40.57,869.850,0.00,0.000,2016-08-11,43
2016081144,34.52,1087.950,0.00,0.000,2016-08-11,44
2016081145,33.91,1240.900,0.00,0.000,2016-08-11,45
2016081146,30.93,1281.750,0.00,0.000,2016-08-11,46
2016081147,37.73,1028.350,0.00,0.000,2016-08-11,47
2016081148,36.39,720.400,0.00,0.000,2016-08-11,48
2016081201,35.63,657.450,0.00,0.000,2016-08-12,1
2016081202,35.09,555.800,0.00,0.000,2016-08-12,2
2016081203,33.08,347.800,0.00,0.000,2016-08-12,3
2016081204,34.24,374.800,0.00,0.000,2016-08-12,4
2016081205,32.70,407.000,0.00,0.000,2016-08-12,5
2016081206,32.46,372.750,0.00,0.000,2016-08-12,6
2016081207,31.66,373.100,0.00,0.000,2016-08-12,7
2016081208,31.44,358.650,0.00,0.000,2016-08-12,8
2016081209,31.12,293.350,0.00,0.000,2016-08-12,9
2016081210,31.36,329.150,0.00,0.000,2016-08-12,10
2016081211,34.34,248.500,0.00,0.000,2016-08-12,11
2016081212,35.71,272.500,0.00,0.000,2016-08-12,12
2016081213,40.64,503.100,0.00,0.000,2016-08-12,13
2016081214,41.96,310.050,0.00,0.000,2016-08-12,14
2016081215,33.58,384.750,0.00,0.000,2016-08-12,15
2016081216,38.65,357.650,0.00,0.000,2016-08-12,16
2016081217,45.76,446.500,0.00,0.000,2016-08-12,17
2016081218,47.04,619.600,0.00,0.000,2016-08-12,18
2016081219,48.53,428.800,0.00,0.000,2016-08-12,19
2016081220,47.77,450.250,0.00,0.000,2016-08-12,20
2016081221,42.47,458.400,0.00,0.000,2016-08-12,21
2016081222,34.54,478.300,0.00,0.000,2016-08-12,22
2016081223,30.26,429.500,0.00,0.000,2016-08-12,23
2016081224,29.85,422.250,0.00,0.000,2016-08-12,24
2016081225,28.35,683.450,0.00,0.000,2016-08-12,25
2016081226,27.69,701.550,0.00,0.000,2016-08-12,26
2016081227,27.59,871.250,0.00,0.000,2016-08-12,27
2016081228,27.30,1097.600,0.00,0.000,2016-08-12,28
2016081229,27.05,1179.550,0.00,0.000,2016-08-12,29
2016081230,26.95,1179.400,0.00,0.000,2016-08-12,30
2016081231,28.51,1929.050,0.00,0.000,2016-08-12,31
2016081232,28.41,2072.150,0.00,0.000,2016-08-12,32
2016081233,28.84,2014.350,0.00,0.000,2016-08-12,33
2016081234,29.88,1749.200,0.00,0.000,2016-08-12,34
2016081235,33.16,1597.450,0.00,0.000,2016-08-12,35
2016081236,32.86,1428.800,0.00,0.000,2016-08-12,36
2016081237,33.18,1487.000,0.00,0.000,2016-08-12,37
2016081238,33.16,1422.000,0.00,0.000,2016-08-12,38
2016081239,38.93,1052.500,0.00,0.000,2016-08-12,39
2016081240,37.55,946.000,0.00,0.000,2016-08-12,40
2016081241,36.13,929.500,0.00,0.000,2016-08-12,41
2016081242,36.63,908.950,0.00,0.000,2016-08-12,42
2016081243,38.60,1074.450,0.00,0.000,2016-08-12,43
2016081244,35.20,994.950,0.00,0.000,2016-08-12,44
2016081245,33.50,970.350,0.00,0.000,2016-08-12,45
2016081246,32.37,1052.600,0.00,0.000,2016-08-12,46
2016081247,34.66,1040.450,0.00,0.000,2016-08-12,47
2016081248,34.84,836.350,0.00,0.000,2016-08-12,48
2016081301,35.01,265.000,0.00,0.000,2016-08-13,1
2016081302,32.12,323.500,0.00,0.000,2016-08-13,2
2016081303,26.55,328.100,0.00,0.000,2016-08-13,3
2016081304,24.41,398.450,0.00,0.000,2016-08-13,4
2016081305,23.37,345.850,0.00,0.000,2016-08-13,5
2016081306,20.19,566.300,0.00,0.000,2016-08-13,6
2016081307,22.05,517.900,0.00,0.000,2016-08-13,7
2016081308,21.26,547.400,0.00,0.000,2016-08-13,8
2016081309,23.34,399.200,0.00,0.000,2016-08-13,9
2016081310,23.03,522.100,0.00,0.000,2016-08-13,10
2016081311,22.47,404.200,0.00,0.000,2016-08-13,11
2016081312,23.52,485.500,0.00,0.000,2016-08-13,12
2016081313,30.82,438.500,0.00,0.000,2016-08-13,13
2016081314,35.89,668.100,0.00,0.000,2016-08-13,14
2016081315,30.26,558.200,0.00,0.000,2016-08-13,15
2016081316,35.49,560.000,0.00,0.000,2016-08-13,16
2016081317,35.13,621.000,0.00,0.000,2016-08-13,17
2016081318,32.81,631.000,0.00,0.000,2016-08-13,18
2016081319,35.44,462.000,0.00,0.000,2016-08-13,19
2016081320,35.26,463.500,0.00,0.000,2016-08-13,20
2016081321,32.52,556.700,0.00,0.000,2016-08-13,21
2016081322,32.74,549.050,0.00,0.000,2016-08-13,22
2016081323,25.41,456.900,0.00,0.000,2016-08-13,23
2016081324,27.79,661.100,0.00,0.000,2016-08-13,24
2016081325,28.21,611.800,0.00,0.000,2016-08-13,25
2016081326,26.78,563.400,0.00,0.000,2016-08-13,26
2016081327,27.59,403.800,0.00,0.000,2016-08-13,27
2016081328,26.57,467.450,0.00,0.000,2016-08-13,28
2016081329,26.74,450.450,0.00,0.000,2016-08-13,29
2016081330,26.07,465.400,0.00,0.000,2016-08-13,30
2016081331,25.02,477.600,0.00,0.000,2016-08-13,31
2016081332,25.56,442.450,0.00,0.000,2016-08-13,32
2016081333,25.11,450.000,0.00,0.000,2016-08-13,33
2016081334,27.12,477.900,0.00,0.000,2016-08-13,34
2016081335,30.33,430.300,0.00,0.000,2016-08-13,35
2016081336,37.89,371.500,0.00,0.000,2016-08-13,36
2016081337,37.54,395.950,0.00,0.000,2016-08-13,37
2016081338,37.90,464.050,0.00,0.000,2016-08-13,38
2016081339,44.16,619.000,0.00,0.000,2016-08-13,39
2016081340,45.30,478.950,0.00,0.000,2016-08-13,40
2016081341,47.19,734.350,0.00,0.000,2016-08-13,41
2016081342,50.59,593.450,0.00,0.000,2016-08-13,42
2016081343,61.29,585.550,0.00,0.000,2016-08-13,43
2016081344,58.22,663.350,0.00,0.000,2016-08-13,44
2016081345,52.98,653.400,0.00,0.000,2016-08-13,45
2016081346,45.97,729.700,0.00,0.000,2016-08-13,46
2016081347,40.24,196.500,0.00,0.000,2016-08-13,47
2016081348,38.62,214.450,0.00,0.000,2016-08-13,48
2016081401,38.32,243.350,0.00,0.000,2016-08-14,1
2016081402,36.86,262.050,0.00,0.000,2016-08-14,2
2016081403,33.76,468.000,0.00,0.000,2016-08-14,3
2016081404,33.57,490.500,0.00,0.000,2016-08-14,4
2016081405,32.14,459.600,0.00,0.000,2016-08-14,5
2016081406,31.89,438.750,0.00,0.000,2016-08-14,6
2016081407,26.41,281.200,0.00,0.000,2016-08-14,7
2016081408,26.43,259.250,0.00,0.000,2016-08-14,8
2016081409,26.38,287.050,0.00,0.000,2016-08-14,9
2016081410,27.01,301.500,0.00,0.000,2016-08-14,10
2016081411,28.99,345.000,0.00,0.000,2016-08-14,11
2016081412,29.35,386.500,0.00,0.000,2016-08-14,12
2016081413,29.12,598.800,0.00,0.000,2016-08-14,13
2016081414,28.97,682.850,0.00,0.000,2016-08-14,14
2016081415,29.44,1063.100,0.00,0.000,2016-08-14,15
2016081416,30.26,1054.100,0.00,0.000,2016-08-14,16
2016081417,31.92,615.800,0.00,0.000,2016-08-14,17
2016081418,31.78,620.250,0.00,0.000,2016-08-14,18
2016081419,34.76,468.450,0.00,0.000,2016-08-14,19
2016081420,33.11,518.650,0.00,0.000,2016-08-14,20
2016081421,36.30,408.400,0.00,0.000,2016-08-14,21
2016081422,39.23,504.850,0.00,0.000,2016-08-14,22
2016081423,45.44,490.450,0.00,0.000,2016-08-14,23
2016081424,50.63,610.050,0.00,0.000,2016-08-14,24
2016081425,50.50,595.700,0.00,0.000,2016-08-14,25
2016081426,48.07,514.100,0.00,0.000,2016-08-14,26
2016081427,49.64,658.700,0.00,0.000,2016-08-14,27
2016081428,44.49,567.350,0.00,0.000,2016-08-14,28
2016081429,42.06,635.150,0.00,0.000,2016-08-14,29
2016081430,41.23,608.350,0.00,0.000,2016-08-14,30
2016081431,53.25,702.650,0.00,0.000,2016-08-14,31
2016081432,52.62,697.650,0.00,0.000,2016-08-14,32
2016081433,54.59,702.400,0.00,0.000,2016-08-14,33
2016081434,55.27,762.400,0.00,0.000,2016-08-14,34
2016081435,55.01,745.900,0.00,0.000,2016-08-14,35
2016081436,56.98,833.700,0.00,0.000,2016-08-14,36
2016081437,52.11,885.100,0.00,0.000,2016-08-14,37
2016081438,51.29,901.650,0.00,0.000,2016-08-14,38
2016081439,54.06,650.100,0.00,0.000,2016-08-14,39
2016081440,53.11,696.950,0.00,0.000,2016-08-14,40
2016081441,54.43,638.250,0.00,0.000,2016-08-14,41
2016081442,59.72,625.100,0.00,0.000,2016-08-14,42
2016081443,66.46,788.250,0.00,0.000,2016-08-14,43
2016081444,52.95,720.300,0.00,0.000,2016-08-14,44
2016081445,43.98,777.450,0.00,0.000,2016-08-14,45
2016081446,43.41,757.850,0.00,0.000,2016-08-14,46
2016081447,36.07,295.800,0.00,0.000,2016-08-14,47
2016081448,32.01,245.500,0.00,0.000,2016-08-14,48
2016081501,31.62,181.200,0.00,0.000,2016-08-15,1
2016081502,30.11,130.500,0.00,0.000,2016-08-15,2
2016081503,27.86,197.500,0.00,0.000,2016-08-15,3
2016081504,27.31,257.950,0.00,0.000,2016-08-15,4
2016081505,26.36,242.500,0.00,0.000,2016-08-15,5
2016081506,25.18,297.400,0.00,0.000,2016-08-15,6
2016081507,26.04,615.000,0.00,0.000,2016-08-15,7
2016081508,25.56,643.500,0.00,0.000,2016-08-15,8
2016081509,25.16,680.000,0.00,0.000,2016-08-15,9
2016081510,25.35,651.000,0.00,0.000,2016-08-15,10
2016081511,29.92,326.550,0.00,0.000,2016-08-15,11
2016081512,29.91,329.000,0.00,0.000,2016-08-15,12
2016081513,30.57,442.500,0.00,0.000,2016-08-15,13
2016081514,33.56,805.500,0.00,0.000,2016-08-15,14
2016081515,32.77,556.800,0.00,0.000,2016-08-15,15
2016081516,42.07,501.050,0.00,0.000,2016-08-15,16
2016081517,52.82,551.250,0.00,0.000,2016-08-15,17
2016081518,61.07,727.150,0.00,0.000,2016-08-15,18
2016081519,71.99,669.500,0.00,0.000,2016-08-15,19
2016081520,65.40,365.800,0.00,0.000,2016-08-15,20
2016081521,52.42,459.350,0.00,0.000,2016-08-15,21
2016081522,44.13,615.050,0.00,0.000,2016-08-15,22
2016081523,30.04,900.900,0.00,0.000,2016-08-15,23
2016081524,28.98,892.450,0.00,0.000,2016-08-15,24
2016081525,28.87,907.800,0.00,0.000,2016-08-15,25
2016081526,28.59,974.200,0.00,0.000,2016-08-15,26
2016081527,25.84,766.150,0.00,0.000,2016-08-15,27
2016081528,25.95,868.600,0.00,0.000,2016-08-15,28
2016081529,25.77,886.000,0.00,0.000,2016-08-15,29
2016081530,25.55,889.600,0.00,0.000,2016-08-15,30
2016081531,27.41,857.800,0.00,0.000,2016-08-15,31
2016081532,27.84,800.300,0.00,0.000,2016-08-15,32
2016081533,28.09,770.200,0.00,0.000,2016-08-15,33
2016081534,29.30,965.000,0.00,0.000,2016-08-15,34
2016081535,35.49,882.050,0.00,0.000,2016-08-15,35
2016081536,37.33,837.750,0.00,0.000,2016-08-15,36
2016081537,38.33,836.600,0.00,0.000,2016-08-15,37
2016081538,37.22,836.400,0.00,0.000,2016-08-15,38
2016081539,40.96,629.050,0.00,0.000,2016-08-15,39
2016081540,41.35,564.900,0.00,0.000,2016-08-15,40
2016081541,43.10,559.850,0.00,0.000,2016-08-15,41
2016081542,47.69,694.300,0.00,0.000,2016-08-15,42
2016081543,52.61,807.500,0.00,0.000,2016-08-15,43
2016081544,41.20,878.700,0.00,0.000,2016-08-15,44
2016081545,35.40,941.800,0.00,0.000,2016-08-15,45
2016081546,34.91,1075.150,0.00,0.000,2016-08-15,46
2016081547,34.99,318.750,0.00,0.000,2016-08-15,47
2016081548,30.01,432.500,0.00,0.000,2016-08-15,48
2016081601,28.17,363.900,0.00,0.000,2016-08-16,1
2016081602,29.81,356.200,0.00,0.000,2016-08-16,2
2016081603,26.04,171.650,0.00,0.000,2016-08-16,3
2016081604,26.80,168.150,0.00,0.000,2016-08-16,4
2016081605,27.37,333.800,0.00,0.000,2016-08-16,5
2016081606,27.06,245.550,0.00,0.000,2016-08-16,6
2016081607,25.69,249.750,0.00,0.000,2016-08-16,7
2016081608,25.24,169.500,0.00,0.000,2016-08-16,8
2016081609,26.10,183.450,0.00,0.000,2016-08-16,9
2016081610,25.50,148.700,0.00,0.000,2016-08-16,10
2016081611,27.49,190.000,0.00,0.000,2016-08-16,11
2016081612,27.24,211.850,0.00,0.000,2016-08-16,12
2016081613,28.50,391.600,0.00,0.000,2016-08-16,13
2016081614,28.16,645.750,0.00,0.000,2016-08-16,14
2016081615,29.29,355.550,0.00,0.000,2016-08-16,15
2016081616,36.15,235.200,0.00,0.000,2016-08-16,16
2016081617,44.98,234.700,0.00,0.000,2016-08-16,17
2016081618,54.84,392.300,0.00,0.000,2016-08-16,18
2016081619,51.10,756.850,0.00,0.000,2016-08-16,19
2016081620,40.86,579.450,0.00,0.000,2016-08-16,20
2016081621,39.90,527.500,0.00,0.000,2016-08-16,21
2016081622,36.74,558.000,0.00,0.000,2016-08-16,22
2016081623,31.99,462.200,0.00,0.000,2016-08-16,23
2016081624,31.69,471.300,0.00,0.000,2016-08-16,24
2016081625,29.98,492.500,0.00,0.000,2016-08-16,25
2016081626,29.00,529.950,0.00,0.000,2016-08-16,26
2016081627,29.42,559.550,0.00,0.000,2016-08-16,27
2016081628,28.77,645.450,0.00,0.000,2016-08-16,28
2016081629,29.12,560.950,0.00,0.000,2016-08-16,29
2016081630,29.20,527.250,0.00,0.000,2016-08-16,30
2016081631,28.07,507.750,0.00,0.000,2016-08-16,31
2016081632,27.72,428.750,0.00,0.000,2016-08-16,32
2016081633,28.32,403.100,0.00,0.000,2016-08-16,33
2016081634,30.32,415.100,0.00,0.000,2016-08-16,34
2016081635,43.60,351.950,0.00,0.000,2016-08-16,35
2016081636,53.29,654.300,0.00,0.000,2016-08-16,36
2016081637,56.98,599.150,0.00,0.000,2016-08-16,37
2016081638,56.31,647.400,0.00,0.000,2016-08-16,38
2016081639,54.93,662.600,0.00,0.000,2016-08-16,39
2016081640,55.58,648.750,0.00,0.000,2016-08-16,40
2016081641,54.31,655.850,0.00,0.000,2016-08-16,41
2016081642,55.91,653.950,0.00,0.000,2016-08-16,42
2016081643,52.67,556.950,0.00,0.000,2016-08-16,43
2016081644,39.12,524.500,0.00,0.000,2016-08-16,44
2016081645,35.70,629.650,0.00,0.000,2016-08-16,45
2016081646,33.96,830.250,0.00,0.000,2016-08-16,46
2016081647,35.27,434.850,0.00,0.000,2016-08-16,47
2016081648,35.28,723.850,0.00,0.000,2016-08-16,48
2016081701,32.34,340.000,0.00,0.000,2016-08-17,1
2016081702,31.15,240.300,0.00,0.000,2016-08-17,2
2016081703,30.41,265.750,0.00,0.000,2016-08-17,3
2016081704,29.98,264.100,0.00,0.000,2016-08-17,4
2016081705,28.92,184.650,0.00,0.000,2016-08-17,5
2016081706,28.41,209.700,0.00,0.000,2016-08-17,6
2016081707,24.41,180.500,0.00,0.000,2016-08-17,7
2016081708,24.37,197.000,0.00,0.000,2016-08-17,8
2016081709,26.71,260.600,0.00,0.000,2016-08-17,9
2016081710,27.93,311.500,0.00,0.000,2016-08-17,10
2016081711,29.07,248.150,0.00,0.000,2016-08-17,11
2016081712,29.69,315.200,0.00,0.000,2016-08-17,12
2016081713,32.83,540.850,0.00,0.000,2016-08-17,13
2016081714,31.34,535.700,0.00,0.000,2016-08-17,14
2016081715,35.54,320.050,0.00,0.000,2016-08-17,15
2016081716,36.40,410.100,0.00,0.000,2016-08-17,16
2016081717,43.41,450.500,0.00,0.000,2016-08-17,17
2016081718,47.71,394.000,0.00,0.000,2016-08-17,18
2016081719,46.49,719.250,0.00,0.000,2016-08-17,19
2016081720,44.85,678.850,0.00,0.000,2016-08-17,20
2016081721,43.02,732.250,0.00,0.000,2016-08-17,21
2016081722,44.27,680.250,0.00,0.000,2016-08-17,22
2016081723,43.09,485.250,0.00,0.000,2016-08-17,23
2016081724,41.90,525.600,0.00,0.000,2016-08-17,24
2016081725,42.23,520.700,0.00,0.000,2016-08-17,25
2016081726,41.31,573.600,0.00,0.000,2016-08-17,26
2016081727,35.84,482.650,0.00,0.000,2016-08-17,27
2016081728,35.70,598.100,0.00,0.000,2016-08-17,28
2016081729,36.15,473.750,0.00,0.000,2016-08-17,29
2016081730,36.35,609.300,0.00,0.000,2016-08-17,30
2016081731,38.95,489.450,0.00,0.000,2016-08-17,31
2016081732,38.75,461.900,0.00,0.000,2016-08-17,32
2016081733,39.22,427.250,0.00,0.000,2016-08-17,33
2016081734,45.65,538.800,0.00,0.000,2016-08-17,34
2016081735,51.83,599.200,0.00,0.000,2016-08-17,35
2016081736,58.46,757.550,0.00,0.000,2016-08-17,36
2016081737,59.18,846.700,0.00,0.000,2016-08-17,37
2016081738,56.37,879.500,0.00,0.000,2016-08-17,38
2016081739,44.65,892.000,0.00,0.000,2016-08-17,39
2016081740,44.10,870.000,0.00,0.000,2016-08-17,40
2016081741,45.39,1015.450,0.00,0.000,2016-08-17,41
2016081742,47.03,965.450,0.00,0.000,2016-08-17,42
