,buyPriceAdjustment,indicativeNetImbalanceVolume,reserveScarcityPrice,sellPriceAdjustment,settlementDate,settlementPeriod,systemBuyPrice,systemSellPrice
2016010217,0.00,-731.7689,NULL,0.00,2016-01-02,17,24.47970,24.47970
2016010218,0.00,-475.1554,NULL,0.00,2016-01-02,18,24.13437,24.13437
2016010219,0.00,-521.4999,NULL,0.00,2016-01-02,19,25.02010,25.02010
2016010220,0.00,-832.2257,NULL,0.00,2016-01-02,20,25.00000,25.00000
2016010221,0.00,-596.9990,NULL,0.00,2016-01-02,21,27.48768,27.48768
2016010222,0.00,-328.7152,0.00000,0.00,2016-01-02,22,29.60000,29.60000
2016010223,0.00,-413.0697,0.00000,0.00,2016-01-02,23,28.20000,28.20000
2016010224,0.00,-447.4665,0.00000,0.00,2016-01-02,24,27.60197,27.60197
2016010225,0.00,-62.6098,0.00000,0.00,2016-01-02,25,30.09046,30.09046
2016010226,0.00,-143.6914,0.00000,0.00,2016-01-02,26,29.60000,29.60000
2016010227,0.00,-16.4134,0.00000,0.00,2016-01-02,27,29.60000,29.60000
2016010228,0.00,41.3394,NULL,0.00,2016-01-02,28,45.44801,45.44801
2016010229,0.00,40.8942,NULL,0.00,2016-01-02,29,44.89000,44.89000
2016010230,0.00,-17.7481,NULL,0.00,2016-01-02,30,32.20000,32.20000
2016010231,0.00,13.5702,NULL,0.00,2016-01-02,31,44.89000,44.89000
2016010232,5.72,-112.7494,NULL,0.00,2016-01-02,32,29.90770,29.90770
2016010233,5.72,22.0705,0.00000,0.00,2016-01-02,33,48.72000,48.72000
2016010234,5.72,103.2684,0.00000,0.00,2016-01-02,34,51.72000,51.72000
2016010235,5.72,451.0155,0.00000,0.00,2016-01-02,35,71.41031,71.41031
2016010236,5.72,574.2750,0.00060,0.00,2016-01-02,36,80.58950,80.58950
2016010237,5.72,496.8749,0.00000,0.00,2016-01-02,37,71.72000,71.72000
2016010238,5.72,223.7653,0.00000,0.00,2016-01-02,38,52.92160,52.92160
2016010239,0.00,290.2883,0.00000,0.00,2016-01-02,39,58.16000,58.16000
2016010240,0.00,-94.9999,0.00000,0.00,2016-01-02,40,32.20000,32.20000
2016010241,0.00,-321.2399,0.00000,0.00,2016-01-02,41,29.00000,29.00000
2016010242,0.00,-461.0856,NULL,0.00,2016-01-02,42,27.60573,27.60573
2016010243,0.00,-474.0879,NULL,0.00,2016-01-02,43,27.50000,27.50000
2016010244,0.00,-549.7865,NULL,0.00,2016-01-02,44,27.50000,27.50000
2016010245,0.00,-551.4347,NULL,0.00,2016-01-02,45,27.16144,27.16144
2016010246,0.00,-608.1023,NULL,0.00,2016-01-02,46,26.55000,26.55000
2016010247,0.00,-285.8042,NULL,0.00,2016-01-02,47,28.00000,28.00000
2016010248,0.00,-337.2193,NULL,0.00,2016-01-02,48,27.11000,27.11000
2016010301,0.00,-226.3681,NULL,0.00,2016-01-03,1,28.00000,28.00000
2016010302,0.00,-192.8941,NULL,0.00,2016-01-03,2,30.47963,30.47963
2016010303,0.00,-17.9934,NULL,0.00,2016-01-03,3,32.20000,32.20000
2016010304,0.00,8.3450,NULL,0.00,2016-01-03,4,37.33000,37.33000
2016010305,0.00,-47.0512,NULL,0.00,2016-01-03,5,32.20000,32.20000
2016010306,0.00,-179.6185,NULL,0.00,2016-01-03,6,31.60000,31.60000
2016010307,0.00,-258.0868,NULL,0.00,2016-01-03,7,30.94000,30.94000
2016010308,0.00,-505.1641,NULL,0.00,2016-01-03,8,27.68453,27.68453
2016010309,0.00,-665.4710,NULL,0.00,2016-01-03,9,21.69215,21.69215
2016010310,0.00,-839.4274,NULL,0.00,2016-01-03,10,13.00000,13.00000
2016010311,0.00,-558.1434,NULL,0.00,2016-01-03,11,25.00000,25.00000
2016010312,0.00,-621.3487,NULL,0.00,2016-01-03,12,13.02644,13.02644
2016010313,0.00,-587.6766,NULL,0.00,2016-01-03,13,19.00000,19.00000
2016010314,0.00,-515.9137,NULL,0.00,2016-01-03,14,19.00000,19.00000
2016010315,0.00,-567.8750,NULL,0.00,2016-01-03,15,19.00000,19.00000
2016010316,0.00,-816.7433,NULL,0.00,2016-01-03,16,13.00000,13.00000
2016010317,0.00,-603.0078,NULL,0.00,2016-01-03,17,13.00000,13.00000
2016010318,0.00,-630.9348,NULL,0.00,2016-01-03,18,13.00000,13.00000
2016010319,0.00,-752.3205,NULL,0.00,2016-01-03,19,-35.00000,-35.00000
2016010320,0.00,-245.7404,NULL,0.00,2016-01-03,20,30.63000,30.63000
2016010321,0.00,14.0333,NULL,0.00,2016-01-03,21,40.89000,40.89000
2016010322,0.00,183.4865,0.00000,0.00,2016-01-03,22,44.01403,44.01403
2016010323,0.00,140.6722,0.00000,0.00,2016-01-03,23,40.89000,40.89000
2016010324,0.00,187.8799,0.00000,0.00,2016-01-03,24,40.89000,40.89000
2016010325,0.00,302.3786,0.00000,0.00,2016-01-03,25,40.89000,40.89000
2016010326,0.00,486.2722,0.00000,0.00,2016-01-03,26,44.00000,44.00000
2016010327,0.00,438.1988,0.00000,0.00,2016-01-03,27,44.00000,44.00000
2016010328,0.00,383.1288,NULL,0.00,2016-01-03,28,41.08461,41.08461
