,settlementPeriod,settlementDate,APXPrice,APXVolume
2016010325,25,1/3/2016,39.63,6862.1
2016010326,26,1/3/2016,39.63,6862.1
2016010327,27,1/3/2016,36.03,6587.6
2016010328,28,1/3/2016,36.03,6587.6
2016010329,29,1/3/2016,34.5,6642.6
2016010330,30,1/3/2016,34.5,6642.6
2016010331,31,1/3/2016,30.24,5849.1
2016010332,32,1/3/2016,30.24,5849.1
2016010333,33,1/3/2016,35,5787.3
2016010334,34,1/3/2016,35,5787.3
2016010335,35,1/3/2016,70,5916.5
2016010336,36,1/3/2016,70,5916.5
2016010337,37,1/3/2016,50.86,5759.7
2016010338,38,1/3/2016,50.86,5759.7
2016010339,39,1/3/2016,40,5919.8
2016010340,40,1/3/2016,40,5919.8
2016010341,41,1/3/2016,38,5676.9
2016010342,42,1/3/2016,38,5676.9
2016010343,43,1/3/2016,33.98,5619.1
2016010344,44,1/3/2016,33.98,5619.1
2016010345,45,1/3/2016,32.05,5544
2016010346,46,1/3/2016,32.05,5544
2016010447,47,1/4/2016,33.75,5666
2016010448,48,1/4/2016,33.75,5666
2016010401,1,1/4/2016,31.81,5543.3
2016010402,2,1/4/2016,31.81,5543.3
2016010403,3,1/4/2016,35.55,5268.4
2016010404,4,1/4/2016,35.55,5268.4
2016010405,5,1/4/2016,35.39,5099.4
2016010406,6,1/4/2016,35.39,5099.4
2016010407,7,1/4/2016,33.91,5318
2016010408,8,1/4/2016,33.91,5318
2016010409,9,1/4/2016,30.06,5185.6
2016010410,10,1/4/2016,30.06,5185.6
2016010411,11,1/4/2016,29.82,5056
2016010412,12,1/4/2016,29.82,5056
2016010413,13,1/4/2016,29.93,5218.7
2016010414,14,1/4/2016,29.93,5218.7
2016010415,15,1/4/2016,30.57,5386.8
2016010416,16,1/4/2016,30.57,5386.8
2016010417,17,1/4/2016,35.04,5302.7
2016010418,18,1/4/2016,35.04,5302.7
2016010419,19,1/4/2016,37.99,5345.3
2016010420,20,1/4/2016,37.99,5345.3
2016010421,21,1/4/2016,37.08,5360.3
2016010422,22,1/4/2016,37.08,5360.3
2016010423,23,1/4/2016,40.11,5301.4
2016010424,24,1/4/2016,40.11,5301.4
2016010425,25,1/4/2016,40.2,5279.6
2016010426,26,1/4/2016,40.2,5279.6
2016010427,27,1/4/2016,38.05,5251.8
2016010428,28,1/4/2016,38.05,5251.8
2016010429,29,1/4/2016,35.05,5232.6
2016010430,30,1/4/2016,35.05,5232.6
2016010431,31,1/4/2016,34.52,5569.5
2016010432,32,1/4/2016,34.52,5569.5
2016010433,33,1/4/2016,40.79,5308.1
2016010434,34,1/4/2016,40.79,5308.1
2016010435,35,1/4/2016,78.27,5351.7
2016010436,36,1/4/2016,78.27,5351.7
2016010437,37,1/4/2016,42.81,5267.6
2016010438,38,1/4/2016,42.81,5267.6
2016010439,39,1/4/2016,40.55,6534.2
2016010440,40,1/4/2016,40.55,6534.2
2016010441,41,1/4/2016,43,6494.1
2016010442,42,1/4/2016,43,6494.1
2016010443,43,1/4/2016,36.06,5741.3
2016010444,44,1/4/2016,36.06,5741.3
2016010445,45,1/4/2016,34,5869.9
2016010446,46,1/4/2016,34,5869.9
2016010547,47,1/5/2016,30.93,6186.4
2016010548,48,1/5/2016,30.93,6186.4
2016010501,1,1/5/2016,29.99,6160.4
2016010502,2,1/5/2016,29.99,6160.4
2016010503,3,1/5/2016,31.95,6209.1
2016010504,4,1/5/2016,31.95,6209.1
2016010505,5,1/5/2016,29.97,6130.9
2016010506,6,1/5/2016,29.97,6130.9
2016010507,7,1/5/2016,27.99,6134.5
2016010508,8,1/5/2016,27.99,6134.5
2016010509,9,1/5/2016,24.32,6138
2016010510,10,1/5/2016,24.32,6138
2016010511,11,1/5/2016,29.91,6186.2
2016010512,12,1/5/2016,29.91,6186.2
2016010513,13,1/5/2016,43.01,6450.7
2016010514,14,1/5/2016,43.01,6450.7
2016010515,15,1/5/2016,36.1,7108.4
2016010516,16,1/5/2016,36.1,7108.4
2016010517,17,1/5/2016,37.01,6257.5
2016010518,18,1/5/2016,37.01,6257.5
2016010519,19,1/5/2016,36.2,6131.1
2016010520,20,1/5/2016,36.2,6131.1
2016010521,21,1/5/2016,35.86,6119
2016010522,22,1/5/2016,35.86,6119
2016010523,23,1/5/2016,37.91,6043
2016010524,24,1/5/2016,37.91,6043
2016010525,25,1/5/2016,38.8,5839
2016010526,26,1/5/2016,38.8,5839
2016010527,27,1/5/2016,34.95,5827
2016010528,28,1/5/2016,34.95,5827
2016010529,29,1/5/2016,30.74,5865
2016010530,30,1/5/2016,30.74,5865
2016010531,31,1/5/2016,30.7,6103.4
2016010532,32,1/5/2016,30.7,6103.4
2016010533,33,1/5/2016,43.03,6488.6
2016010534,34,1/5/2016,43.03,6488.6
2016010535,35,1/5/2016,74.96,6493.6
2016010536,36,1/5/2016,74.96,6493.6
2016010537,37,1/5/2016,49.04,6493.2
2016010538,38,1/5/2016,49.04,6493.2
2016010539,39,1/5/2016,41.92,6444.9
2016010540,40,1/5/2016,41.92,6444.9
2016010541,41,1/5/2016,38.74,6483.4
2016010542,42,1/5/2016,38.74,6483.4
2016010543,43,1/5/2016,37.05,6555.5
2016010544,44,1/5/2016,37.05,6555.5
2016010545,45,1/5/2016,30.35,6596.3
2016010546,46,1/5/2016,30.35,6596.3
2016010647,47,1/6/2016,32.37,5323.4
2016010648,48,1/6/2016,32.37,5323.4
2016010601,1,1/6/2016,30.4,5248.7
2016010602,2,1/6/2016,30.4,5248.7
2016010603,3,1/6/2016,32.44,4970.5
2016010604,4,1/6/2016,32.44,4970.5
2016010605,5,1/6/2016,30.53,4757.8
2016010606,6,1/6/2016,30.53,4757.8
2016010607,7,1/6/2016,29.92,4762.4
2016010608,8,1/6/2016,29.92,4762.4
2016010609,9,1/6/2016,24.07,4811.6
2016010610,10,1/6/2016,24.07,4811.6
2016010611,11,1/6/2016,30,5145.4
2016010612,12,1/6/2016,30,5145.4
2016010613,13,1/6/2016,38.03,5486.1
2016010614,14,1/6/2016,38.03,5486.1
2016010615,15,1/6/2016,36.74,5729.5
2016010616,16,1/6/2016,36.74,5729.5
2016010617,17,1/6/2016,42.9,5634.8
2016010618,18,1/6/2016,42.9,5634.8
2016010619,19,1/6/2016,43.59,5628
2016010620,20,1/6/2016,43.59,5628
2016010621,21,1/6/2016,40.05,5638.2
2016010622,22,1/6/2016,40.05,5638.2
2016010623,23,1/6/2016,34.08,5517.5
2016010624,24,1/6/2016,34.08,5517.5
2016010625,25,1/6/2016,33.6,5482.6
2016010626,26,1/6/2016,33.6,5482.6
2016010627,27,1/6/2016,32.11,5413.7
2016010628,28,1/6/2016,32.11,5413.7
2016010629,29,1/6/2016,31.96,5492
2016010630,30,1/6/2016,31.96,5492
2016010631,31,1/6/2016,31.05,6373.1
2016010632,32,1/6/2016,31.05,6373.1
2016010633,33,1/6/2016,44.64,6151.5
2016010634,34,1/6/2016,44.64,6151.5
2016010635,35,1/6/2016,69,6077.4
2016010636,36,1/6/2016,69,6077.4
2016010637,37,1/6/2016,40.72,6231.3
2016010638,38,1/6/2016,40.72,6231.3
2016010639,39,1/6/2016,37.94,5827.3
2016010640,40,1/6/2016,37.94,5827.3
2016010641,41,1/6/2016,36.46,5643.1
2016010642,42,1/6/2016,36.46,5643.1
2016010643,43,1/6/2016,35.07,5520.3
2016010644,44,1/6/2016,35.07,5520.3
2016010645,45,1/6/2016,30.5,5165.8
2016010646,46,1/6/2016,30.5,5165.8
2016010747,47,1/7/2016,38.07,5937.9
2016010748,48,1/7/2016,38.07,5937.9
2016010701,1,1/7/2016,38.06,5861.4
2016010702,2,1/7/2016,38.06,5861.4
2016010703,3,1/7/2016,38,5845.6
2016010704,4,1/7/2016,38,5845.6
2016010705,5,1/7/2016,29.91,5878.7
2016010706,6,1/7/2016,29.91,5878.7
2016010707,7,1/7/2016,27,5827.7
2016010708,8,1/7/2016,27,5827.7
2016010709,9,1/7/2016,23.94,5829.6
2016010710,10,1/7/2016,23.94,5829.6
2016010711,11,1/7/2016,26.93,5915.8
2016010712,12,1/7/2016,26.93,5915.8
2016010713,13,1/7/2016,38.05,6617.5
2016010714,14,1/7/2016,38.05,6617.5
2016010715,15,1/7/2016,35.69,6635.8
2016010716,16,1/7/2016,35.69,6635.8
2016010717,17,1/7/2016,38,6487.8
2016010718,18,1/7/2016,38,6487.8
2016010719,19,1/7/2016,39.65,6406.4
2016010720,20,1/7/2016,39.65,6406.4
2016010721,21,1/7/2016,38.99,6189.3
2016010722,22,1/7/2016,38.99,6189.3
2016010723,23,1/7/2016,37.35,6215
2016010724,24,1/7/2016,37.35,6215
2016010725,25,1/7/2016,35.82,6193.3
2016010726,26,1/7/2016,35.82,6193.3
2016010727,27,1/7/2016,33.57,6336
2016010728,28,1/7/2016,33.57,6336
2016010729,29,1/7/2016,33.48,6504.3
2016010730,30,1/7/2016,33.48,6504.3
2016010731,31,1/7/2016,32.1,6309.5
2016010732,32,1/7/2016,32.1,6309.5
2016010733,33,1/7/2016,45.07,6567
2016010734,34,1/7/2016,45.07,6567
2016010735,35,1/7/2016,64.5,6711.2
2016010736,36,1/7/2016,64.5,6711.2
2016010737,37,1/7/2016,44.61,6662.8
2016010738,38,1/7/2016,44.61,6662.8
2016010739,39,1/7/2016,39.04,6930
2016010740,40,1/7/2016,39.04,6930
2016010741,41,1/7/2016,38.45,6461.7
2016010742,42,1/7/2016,38.45,6461.7
2016010743,43,1/7/2016,39.02,6237.7
