,settlementPeriod,settlementDate,APXPrice,APXVolume
2016090311,11,9/3/2016,22.55,2442.1
2016090312,12,9/3/2016,22.55,2442.1
2016090313,13,9/3/2016,25.22,2457.9
2016090314,14,9/3/2016,25.22,2457.9
2016090315,15,9/3/2016,27.13,3114.4
2016090316,16,9/3/2016,27.13,3114.4
2016090317,17,9/3/2016,31.13,3052.7
2016090318,18,9/3/2016,31.13,3052.7
2016090319,19,9/3/2016,31.4,2934.5
2016090320,20,9/3/2016,31.4,2934.5
2016090321,21,9/3/2016,34.31,2949
2016090322,22,9/3/2016,34.31,2949
2016090323,23,9/3/2016,33,2949.1
2016090324,24,9/3/2016,33,2949.1
2016090325,25,9/3/2016,27.72,3261.1
2016090326,26,9/3/2016,27.72,3261.1
2016090327,27,9/3/2016,27.24,3378.3
2016090328,28,9/3/2016,27.24,3378.3
2016090329,29,9/3/2016,24.87,3371.3
2016090330,30,9/3/2016,24.87,3371.3
2016090331,31,9/3/2016,23.18,3264
2016090332,32,9/3/2016,23.18,3264
2016090333,33,9/3/2016,26.37,3565
2016090334,34,9/3/2016,26.37,3565
2016090335,35,9/3/2016,29.72,3303.2
2016090336,36,9/3/2016,29.72,3303.2
2016090337,37,9/3/2016,32.53,3551.1
2016090338,38,9/3/2016,32.53,3551.1
2016090339,39,9/3/2016,33.27,3696.8
2016090340,40,9/3/2016,33.27,3696.8
2016090341,41,9/3/2016,32.67,3471
2016090342,42,9/3/2016,32.67,3471
2016090343,43,9/3/2016,28.6,3402.8
2016090344,44,9/3/2016,28.6,3402.8
2016090345,45,9/3/2016,24.88,3699
2016090346,46,9/3/2016,24.88,3699
2016090447,47,9/4/2016,41.05,2983.9
2016090448,48,9/4/2016,41.05,2983.9
2016090401,1,9/4/2016,28.44,2731.7
2016090402,2,9/4/2016,28.44,2731.7
2016090403,3,9/4/2016,25.28,2568.6
2016090404,4,9/4/2016,25.28,2568.6
2016090405,5,9/4/2016,22.51,2569.5
2016090406,6,9/4/2016,22.51,2569.5
2016090407,7,9/4/2016,18,2607.9
2016090408,8,9/4/2016,18,2607.9
2016090409,9,9/4/2016,17.99,2608.6
2016090410,10,9/4/2016,17.99,2608.6
2016090411,11,9/4/2016,18.91,2658.5
2016090412,12,9/4/2016,18.91,2658.5
2016090413,13,9/4/2016,21,2895.5
2016090414,14,9/4/2016,21,2895.5
2016090415,15,9/4/2016,19.35,4046.2
2016090416,16,9/4/2016,19.35,4046.2
2016090417,17,9/4/2016,21,3131
2016090418,18,9/4/2016,21,3131
2016090419,19,9/4/2016,26.48,3252.6
2016090420,20,9/4/2016,26.48,3252.6
2016090421,21,9/4/2016,34,2788.9
2016090422,22,9/4/2016,34,2788.9
2016090423,23,9/4/2016,35.83,2701.2
2016090424,24,9/4/2016,35.83,2701.2
2016090425,25,9/4/2016,39,2716
2016090426,26,9/4/2016,39,2716
2016090427,27,9/4/2016,29.93,2770.4
2016090428,28,9/4/2016,29.93,2770.4
2016090429,29,9/4/2016,26.81,2719.4
2016090430,30,9/4/2016,26.81,2719.4
2016090431,31,9/4/2016,27.55,2658.7
2016090432,32,9/4/2016,27.55,2658.7
2016090433,33,9/4/2016,28.17,3225.8
2016090434,34,9/4/2016,28.17,3225.8
2016090435,35,9/4/2016,38.26,4041.4
2016090436,36,9/4/2016,38.26,4041.4
2016090437,37,9/4/2016,44.98,4260.7
2016090438,38,9/4/2016,44.98,4260.7
2016090439,39,9/4/2016,47.94,4369.7
2016090440,40,9/4/2016,47.94,4369.7
2016090441,41,9/4/2016,55.98,4261.3
2016090442,42,9/4/2016,55.98,4261.3
2016090443,43,9/4/2016,43.91,3672.4
2016090444,44,9/4/2016,43.91,3672.4
2016090445,45,9/4/2016,31.8,3657.6
2016090446,46,9/4/2016,31.8,3657.6
2016090547,47,9/5/2016,39,3579.9
2016090548,48,9/5/2016,39,3579.9
2016090501,1,9/5/2016,29.91,3065.9
2016090502,2,9/5/2016,29.91,3065.9
2016090503,3,9/5/2016,26.98,2873.3
2016090504,4,9/5/2016,26.98,2873.3
2016090505,5,9/5/2016,25.95,2802.7
2016090506,6,9/5/2016,25.95,2802.7
2016090507,7,9/5/2016,19.99,2738.4
2016090508,8,9/5/2016,19.99,2738.4
2016090509,9,9/5/2016,23.05,2602.1
2016090510,10,9/5/2016,23.05,2602.1
2016090511,11,9/5/2016,28.85,2644.1
2016090512,12,9/5/2016,28.85,2644.1
2016090513,13,9/5/2016,37.78,2953.4
2016090514,14,9/5/2016,37.78,2953.4
2016090515,15,9/5/2016,39.32,2955
2016090516,16,9/5/2016,39.32,2955
2016090517,17,9/5/2016,41.82,3337
2016090518,18,9/5/2016,41.82,3337
2016090519,19,9/5/2016,42.8,3229.1
2016090520,20,9/5/2016,42.8,3229.1
2016090521,21,9/5/2016,41.67,3245.8
2016090522,22,9/5/2016,41.67,3245.8
2016090523,23,9/5/2016,42.19,3367.1
2016090524,24,9/5/2016,42.19,3367.1
2016090525,25,9/5/2016,40,3283
2016090526,26,9/5/2016,40,3283
2016090527,27,9/5/2016,39.19,3289.2
2016090528,28,9/5/2016,39.19,3289.2
2016090529,29,9/5/2016,38.72,3384.2
2016090530,30,9/5/2016,38.72,3384.2
2016090531,31,9/5/2016,40.1,3106.1
2016090532,32,9/5/2016,40.1,3106.1
2016090533,33,9/5/2016,41,3547.1
2016090534,34,9/5/2016,41,3547.1
2016090535,35,9/5/2016,44.91,4135.9
2016090536,36,9/5/2016,44.91,4135.9
2016090537,37,9/5/2016,47,4297.1
2016090538,38,9/5/2016,47,4297.1
2016090539,39,9/5/2016,44.98,4108.5
2016090540,40,9/5/2016,44.98,4108.5
2016090541,41,9/5/2016,48.16,3903.3
2016090542,42,9/5/2016,48.16,3903.3
2016090543,43,9/5/2016,38.08,3642.8
2016090544,44,9/5/2016,38.08,3642.8
2016090545,45,9/5/2016,31.94,3372.4
2016090546,46,9/5/2016,31.94,3372.4
2016090647,47,9/6/2016,30.68,3989.7
2016090648,48,9/6/2016,30.68,3989.7
2016090601,1,9/6/2016,26.99,3927.7
2016090602,2,9/6/2016,26.99,3927.7
2016090603,3,9/6/2016,21.6,3970.9
2016090604,4,9/6/2016,21.6,3970.9
2016090605,5,9/6/2016,20.38,4039
2016090606,6,9/6/2016,20.38,4039
2016090607,7,9/6/2016,20.53,4098.5
2016090608,8,9/6/2016,20.53,4098.5
2016090609,9,9/6/2016,22.68,4143.8
2016090610,10,9/6/2016,22.68,4143.8
2016090611,11,9/6/2016,29.49,4086
2016090612,12,9/6/2016,29.49,4086
2016090613,13,9/6/2016,36.87,4687.3
2016090614,14,9/6/2016,36.87,4687.3
2016090615,15,9/6/2016,38.04,3177.5
2016090616,16,9/6/2016,38.04,3177.5
2016090617,17,9/6/2016,39,3398.3
2016090618,18,9/6/2016,39,3398.3
2016090619,19,9/6/2016,40,3485.6
2016090620,20,9/6/2016,40,3485.6
2016090621,21,9/6/2016,39.77,3505.4
2016090622,22,9/6/2016,39.77,3505.4
2016090623,23,9/6/2016,40.17,3560.1
2016090624,24,9/6/2016,40.17,3560.1
2016090625,25,9/6/2016,38.62,3508.9
2016090626,26,9/6/2016,38.62,3508.9
2016090627,27,9/6/2016,37.58,3568
2016090628,28,9/6/2016,37.58,3568
2016090629,29,9/6/2016,34.64,3598
2016090630,30,9/6/2016,34.64,3598
2016090631,31,9/6/2016,37.98,3527.7
2016090632,32,9/6/2016,37.98,3527.7
2016090633,33,9/6/2016,49.1,3406.1
2016090634,34,9/6/2016,49.1,3406.1
2016090635,35,9/6/2016,64.91,3364.6
2016090636,36,9/6/2016,64.91,3364.6
2016090637,37,9/6/2016,64.98,3387.4
2016090638,38,9/6/2016,64.98,3387.4
2016090639,39,9/6/2016,65,3477.1
2016090640,40,9/6/2016,65,3477.1
2016090641,41,9/6/2016,65.01,3528.9
2016090642,42,9/6/2016,65.01,3528.9
2016090643,43,9/6/2016,38.96,3464
2016090644,44,9/6/2016,38.96,3464
2016090645,45,9/6/2016,32.03,3288.5
2016090646,46,9/6/2016,32.03,3288.5
2016090747,47,9/7/2016,34.13,3034.2
2016090748,48,9/7/2016,34.13,3034.2
2016090701,1,9/7/2016,28.08,2816.4
2016090702,2,9/7/2016,28.08,2816.4
2016090703,3,9/7/2016,26.98,2929.2
2016090704,4,9/7/2016,26.98,2929.2
2016090705,5,9/7/2016,23.57,2719.4
2016090706,6,9/7/2016,23.57,2719.4
2016090707,7,9/7/2016,20.02,2820.4
2016090708,8,9/7/2016,20.02,2820.4
2016090709,9,9/7/2016,23.1,2766.7
2016090710,10,9/7/2016,23.1,2766.7
2016090711,11,9/7/2016,29.14,2757.8
2016090712,12,9/7/2016,29.14,2757.8
2016090713,13,9/7/2016,32.97,3313.1
2016090714,14,9/7/2016,32.97,3313.1
2016090715,15,9/7/2016,36.45,3069.8
2016090716,16,9/7/2016,36.45,3069.8
2016090717,17,9/7/2016,46.66,3210.5
2016090718,18,9/7/2016,46.66,3210.5
2016090719,19,9/7/2016,50,3300.9
2016090720,20,9/7/2016,50,3300.9
2016090721,21,9/7/2016,42.97,3265.5
2016090722,22,9/7/2016,42.97,3265.5
2016090723,23,9/7/2016,39.25,3301.3
2016090724,24,9/7/2016,39.25,3301.3
2016090725,25,9/7/2016,37.82,3402.7
2016090726,26,9/7/2016,37.82,3402.7
2016090727,27,9/7/2016,37.56,3562.3
2016090728,28,9/7/2016,37.56,3562.3
2016090729,29,9/7/2016,36.63,3401.2
2016090730,30,9/7/2016,36.63,3401.2
2016090731,31,9/7/2016,39.51,3261.8
2016090732,32,9/7/2016,39.51,3261.8
2016090733,33,9/7/2016,64.92,3366.7
2016090734,34,9/7/2016,64.92,3366.7
2016090735,35,9/7/2016,76.59,3152
2016090736,36,9/7/2016,76.59,3152
2016090737,37,9/7/2016,53.41,3039.7
2016090738,38,9/7/2016,53.41,3039.7
2016090739,39,9/7/2016,58.39,2985.4
2016090740,40,9/7/2016,58.39,2985.4
2016090741,41,9/7/2016,61.9,2996.8
2016090742,42,9/7/2016,61.9,2996.8
2016090743,43,9/7/2016,32.55,3015.1
2016090744,44,9/7/2016,32.55,3015.1
2016090745,45,9/7/2016,29.08,3136.1
2016090746,46,9/7/2016,29.08,3136.1
2016090847,47,9/8/2016,28.99,4011.5
2016090848,48,9/8/2016,28.99,4011.5
2016090801,1,9/8/2016,29.1,3631.9
2016090802,2,9/8/2016,29.1,3631.9
2016090803,3,9/8/2016,25.51,3536.6
2016090804,4,9/8/2016,25.51,3536.6
2016090805,5,9/8/2016,22.1,3618.3
2016090806,6,9/8/2016,22.1,3618.3
2016090807,7,9/8/2016,20.03,3637.2
2016090808,8,9/8/2016,20.03,3637.2
2016090809,9,9/8/2016,21.02,3664.4
2016090810,10,9/8/2016,21.02,3664.4
2016090811,11,9/8/2016,27.68,3655.2
2016090812,12,9/8/2016,27.68,3655.2
2016090813,13,9/8/2016,33.58,4189.6
2016090814,14,9/8/2016,33.58,4189.6
2016090815,15,9/8/2016,34.12,4409
2016090816,16,9/8/2016,34.12,4409
2016090817,17,9/8/2016,34.28,4444.4
2016090818,18,9/8/2016,34.28,4444.4
2016090819,19,9/8/2016,32.66,4471.5
2016090820,20,9/8/2016,32.66,4471.5
2016090821,21,9/8/2016,30.99,4402.5
2016090822,22,9/8/2016,30.99,4402.5
2016090823,23,9/8/2016,28.29,4625.8
2016090824,24,9/8/2016,28.29,4625.8
2016090825,25,9/8/2016,27.08,4342.5
2016090826,26,9/8/2016,27.08,4342.5
2016090827,27,9/8/2016,26.96,4328.9
2016090828,28,9/8/2016,26.96,4328.9
2016090829,29,9/8/2016,26.32,4340.5
2016090830,30,9/8/2016,26.32,4340.5
2016090831,31,9/8/2016,26.03,4050.8
2016090832,32,9/8/2016,26.03,4050.8
2016090833,33,9/8/2016,30.94,4090.5
2016090834,34,9/8/2016,30.94,4090.5
2016090835,35,9/8/2016,36.25,4011.1
2016090836,36,9/8/2016,36.25,4011.1
2016090837,37,9/8/2016,41.92,4076.9
2016090838,38,9/8/2016,41.92,4076.9
2016090839,39,9/8/2016,52,4329.9
2016090840,40,9/8/2016,52,4329.9
2016090841,41,9/8/2016,58,4416.3
2016090842,42,9/8/2016,58,4416.3
2016090843,43,9/8/2016,34.53,4204.1
2016090844,44,9/8/2016,34.53,4204.1
2016090845,45,9/8/2016,30.05,4046.8
2016090846,46,9/8/2016,30.05,4046.8
2016090947,47,9/9/2016,27.91,4504.7
2016090948,48,9/9/2016,27.91,4504.7
2016090901,1,9/9/2016,23.93,4547.8
2016090902,2,9/9/2016,23.93,4547.8
2016090903,3,9/9/2016,21.92,4629.3
2016090904,4,9/9/2016,21.92,4629.3
2016090905,5,9/9/2016,19.85,4606.5
2016090906,6,9/9/2016,19.85,4606.5
2016090907,7,9/9/2016,20.11,4627.2
2016090908,8,9/9/2016,20.11,4627.2
2016090909,9,9/9/2016,21.45,4638.9
2016090910,10,9/9/2016,21.45,4638.9
2016090911,11,9/9/2016,27.85,4705.7
2016090912,12,9/9/2016,27.85,4705.7
2016090913,13,9/9/2016,35.32,4792.2
2016090914,14,9/9/2016,35.32,4792.2
2016090915,15,9/9/2016,41.32,4596.5
2016090916,16,9/9/2016,41.32,4596.5
2016090917,17,9/9/2016,39.65,4560.1
2016090918,18,9/9/2016,39.65,4560.1
2016090919,19,9/9/2016,40.76,4664.3
2016090920,20,9/9/2016,40.76,4664.3
2016090921,21,9/9/2016,36.04,4742.9
2016090922,22,9/9/2016,36.04,4742.9
2016090923,23,9/9/2016,33.2,4801.6
2016090924,24,9/9/2016,33.2,4801.6
2016090925,25,9/9/2016,30.09,4961.5
2016090926,26,9/9/2016,30.09,4961.5
2016090927,27,9/9/2016,26.02,5009
2016090928,28,9/9/2016,26.02,5009
2016090929,29,9/9/2016,24.33,5061.9
2016090930,30,9/9/2016,24.33,5061.9
2016090931,31,9/9/2016,25.47,4885.2
2016090932,32,9/9/2016,25.47,4885.2
2016090933,33,9/9/2016,29.6,4935.5
2016090934,34,9/9/2016,29.6,4935.5
2016090935,35,9/9/2016,33.6,4879.9
2016090936,36,9/9/2016,33.6,4879.9
2016090937,37,9/9/2016,34.69,4699.8
2016090938,38,9/9/2016,34.69,4699.8
2016090939,39,9/9/2016,37.62,5379.8
2016090940,40,9/9/2016,37.62,5379.8
2016090941,41,9/9/2016,31.69,5248.1
2016090942,42,9/9/2016,31.69,5248.1
2016090943,43,9/9/2016,29.07,5645.5
2016090944,44,9/9/2016,29.07,5645.5
2016090945,45,9/9/2016,24.65,5735
2016090946,46,9/9/2016,24.65,5735
2016091047,47,9/10/2016,35.03,3649.1
2016091048,48,9/10/2016,35.03,3649.1
2016091001,1,9/10/2016,27.21,3557.8
2016091002,2,9/10/2016,27.21,3557.8
2016091003,3,9/10/2016,23.98,3527.6
2016091004,4,9/10/2016,23.98,3527.6
2016091005,5,9/10/2016,21.21,3564.5
2016091006,6,9/10/2016,21.21,3564.5
2016091007,7,9/10/2016,20.77,3573.4
2016091008,8,9/10/2016,20.77,3573.4
2016091009,9,9/10/2016,22.65,3534
2016091010,10,9/10/2016,22.65,3534
2016091011,11,9/10/2016,27.09,3530.3
2016091012,12,9/10/2016,27.09,3530.3
2016091013,13,9/10/2016,30,3646
2016091014,14,9/10/2016,30,3646
2016091015,15,9/10/2016,25.84,2796.1
2016091016,16,9/10/2016,25.84,2796.1
2016091017,17,9/10/2016,28.19,2898.9
2016091018,18,9/10/2016,28.19,2898.9
2016091019,19,9/10/2016,49.92,3169.9
2016091020,20,9/10/2016,49.92,3169.9
2016091021,21,9/10/2016,50.08,3141.4
2016091022,22,9/10/2016,50.08,3141.4
2016091023,23,9/10/2016,49.91,3153.3
2016091024,24,9/10/2016,49.91,3153.3
2016091025,25,9/10/2016,33.66,3070
2016091026,26,9/10/2016,33.66,3070
2016091027,27,9/10/2016,28,3090.4
2016091028,28,9/10/2016,28,3090.4
2016091029,29,9/10/2016,25.69,3086.9
2016091030,30,9/10/2016,25.69,3086.9
2016091031,31,9/10/2016,25.06,3220.5
2016091032,32,9/10/2016,25.06,3220.5
2016091033,33,9/10/2016,27.97,3348.4
2016091034,34,9/10/2016,27.97,3348.4
2016091035,35,9/10/2016,33.91,3579.5
2016091036,36,9/10/2016,33.91,3579.5
2016091037,37,9/10/2016,40.47,3629.3
2016091038,38,9/10/2016,40.47,3629.3
2016091039,39,9/10/2016,45.95,3876.5
2016091040,40,9/10/2016,45.95,3876.5
2016091041,41,9/10/2016,42.28,3871.4
2016091042,42,9/10/2016,42.28,3871.4
2016091043,43,9/10/2016,31.2,3423
2016091044,44,9/10/2016,31.2,3423
2016091045,45,9/10/2016,30.39,2950.2
2016091046,46,9/10/2016,30.39,2950.2
2016091147,47,9/11/2016,38,3067.7
2016091148,48,9/11/2016,38,3067.7
2016091101,1,9/11/2016,26.72,3037.8
2016091102,2,9/11/2016,26.72,3037.8
2016091103,3,9/11/2016,25.05,2875.8
2016091104,4,9/11/2016,25.05,2875.8
2016091105,5,9/11/2016,18.93,2723.4
2016091106,6,9/11/2016,18.93,2723.4
2016091107,7,9/11/2016,18.37,2731.7
2016091108,8,9/11/2016,18.37,2731.7
2016091109,9,9/11/2016,19.24,2820
2016091110,10,9/11/2016,19.24,2820
2016091111,11,9/11/2016,25,2740.1
2016091112,12,9/11/2016,25,2740.1
2016091113,13,9/11/2016,25.08,2832.2
2016091114,14,9/11/2016,25.08,2832.2
2016091115,15,9/11/2016,24.12,3474.4
2016091116,16,9/11/2016,24.12,3474.4
2016091117,17,9/11/2016,24.89,2967.5
2016091118,18,9/11/2016,24.89,2967.5
2016091119,19,9/11/2016,32.96,2878
2016091120,20,9/11/2016,32.96,2878
2016091121,21,9/11/2016,35.1,3021.6
2016091122,22,9/11/2016,35.1,3021.6
2016091123,23,9/11/2016,34.9,3064
2016091124,24,9/11/2016,34.9,3064
2016091125,25,9/11/2016,26.9,2955.4
2016091126,26,9/11/2016,26.9,2955.4
2016091127,27,9/11/2016,24.76,2878.9
2016091128,28,9/11/2016,24.76,2878.9
2016091129,29,9/11/2016,24.58,2718
2016091130,30,9/11/2016,24.58,2718
2016091131,31,9/11/2016,24.55,2882.8
2016091132,32,9/11/2016,24.55,2882.8
2016091133,33,9/11/2016,25.02,2949.2
2016091134,34,9/11/2016,25.02,2949.2
2016091135,35,9/11/2016,31.66,3001.6
2016091136,36,9/11/2016,31.66,3001.6
2016091137,37,9/11/2016,42,2927.7
2016091138,38,9/11/2016,42,2927.7
2016091139,39,9/11/2016,49.93,2821.7
2016091140,40,9/11/2016,49.93,2821.7
2016091141,41,9/11/2016,45,2836.5
2016091142,42,9/11/2016,45,2836.5
2016091143,43,9/11/2016,31.16,2845.9
2016091144,44,9/11/2016,31.16,2845.9
2016091145,45,9/11/2016,26.36,2932.6
2016091146,46,9/11/2016,26.36,2932.6
2016091247,47,9/12/2016,28.48,3641.8
2016091248,48,9/12/2016,28.48,3641.8
2016091201,1,9/12/2016,25.4,3463.8
2016091202,2,9/12/2016,25.4,3463.8
2016091203,3,9/12/2016,22.33,3496.1
2016091204,4,9/12/2016,22.33,3496.1
2016091205,5,9/12/2016,19.15,3442.3
2016091206,6,9/12/2016,19.15,3442.3
2016091207,7,9/12/2016,18.77,3827.1
2016091208,8,9/12/2016,18.77,3827.1
2016091209,9,9/12/2016,20.87,3954
2016091210,10,9/12/2016,20.87,3954
2016091211,11,9/12/2016,30.28,4276.8
2016091212,12,9/12/2016,30.28,4276.8
2016091213,13,9/12/2016,35.48,4084.2
2016091214,14,9/12/2016,35.48,4084.2
2016091215,15,9/12/2016,39.32,3133
2016091216,16,9/12/2016,39.32,3133
2016091217,17,9/12/2016,41.92,3205
2016091218,18,9/12/2016,41.92,3205
2016091219,19,9/12/2016,40.2,3965.1
2016091220,20,9/12/2016,40.2,3965.1
2016091221,21,9/12/2016,39.5,4124.7
2016091222,22,9/12/2016,39.5,4124.7
2016091223,23,9/12/2016,39.52,4290.8
2016091224,24,9/12/2016,39.52,4290.8
2016091225,25,9/12/2016,39.26,4360.5
2016091226,26,9/12/2016,39.26,4360.5
2016091227,27,9/12/2016,38.05,4386.5
2016091228,28,9/12/2016,38.05,4386.5
2016091229,29,9/12/2016,37.82,4358.6
2016091230,30,9/12/2016,37.82,4358.6
2016091231,31,9/12/2016,39.43,4045.1
2016091232,32,9/12/2016,39.43,4045.1
2016091233,33,9/12/2016,47,3716.1
2016091234,34,9/12/2016,47,3716.1
2016091235,35,9/12/2016,57.66,3705.7
2016091236,36,9/12/2016,57.66,3705.7
2016091237,37,9/12/2016,73.4,3676.4
2016091238,38,9/12/2016,73.4,3676.4
2016091239,39,9/12/2016,90,3848.8
2016091240,40,9/12/2016,90,3848.8
2016091241,41,9/12/2016,90.8,3593.8
2016091242,42,9/12/2016,90.8,3593.8
2016091243,43,9/12/2016,38.91,3442.1
2016091244,44,9/12/2016,38.91,3442.1
2016091245,45,9/12/2016,32.43,3793.1
2016091246,46,9/12/2016,32.43,3793.1
2016091347,47,9/13/2016,26.9,3588.4
2016091348,48,9/13/2016,26.9,3588.4
2016091301,1,9/13/2016,23.65,3382.8
2016091302,2,9/13/2016,23.65,3382.8
2016091303,3,9/13/2016,20.96,3522.5
2016091304,4,9/13/2016,20.96,3522.5
2016091305,5,9/13/2016,20.4,3271.3
2016091306,6,9/13/2016,20.4,3271.3
2016091307,7,9/13/2016,20.43,3206.4
2016091308,8,9/13/2016,20.43,3206.4
2016091309,9,9/13/2016,22.89,3146.6
2016091310,10,9/13/2016,22.89,3146.6
2016091311,11,9/13/2016,32.51,3297.9
2016091312,12,9/13/2016,32.51,3297.9
2016091313,13,9/13/2016,39.52,3281.1
2016091314,14,9/13/2016,39.52,3281.1
2016091315,15,9/13/2016,41.52,3561.5
2016091316,16,9/13/2016,41.52,3561.5
2016091317,17,9/13/2016,50.1,3482.1
2016091318,18,9/13/2016,50.1,3482.1
2016091319,19,9/13/2016,58.98,3262.8
2016091320,20,9/13/2016,58.98,3262.8
2016091321,21,9/13/2016,56.73,3254.9
2016091322,22,9/13/2016,56.73,3254.9
2016091323,23,9/13/2016,45.81,3313.6
2016091324,24,9/13/2016,45.81,3313.6
2016091325,25,9/13/2016,50.1,3239
2016091326,26,9/13/2016,50.1,3239
2016091327,27,9/13/2016,50.93,3192.6
2016091328,28,9/13/2016,50.93,3192.6
2016091329,29,9/13/2016,48.92,3248.8
2016091330,30,9/13/2016,48.92,3248.8
2016091331,31,9/13/2016,53.22,3441.3
2016091332,32,9/13/2016,53.22,3441.3
2016091333,33,9/13/2016,58,3447.3
2016091334,34,9/13/2016,58,3447.3
2016091335,35,9/13/2016,129,3294.5
2016091336,36,9/13/2016,129,3294.5
2016091337,37,9/13/2016,89.15,3411.5
2016091338,38,9/13/2016,89.15,3411.5
2016091339,39,9/13/2016,194.51,3263.5
2016091340,40,9/13/2016,194.51,3263.5
2016091341,41,9/13/2016,198.9,3261.6
2016091342,42,9/13/2016,198.9,3261.6
2016091343,43,9/13/2016,38.7,3481.3
2016091344,44,9/13/2016,38.7,3481.3
2016091345,45,9/13/2016,29.58,3459
2016091346,46,9/13/2016,29.58,3459
2016091447,47,9/14/2016,27.87,3333.9
2016091448,48,9/14/2016,27.87,3333.9
2016091401,1,9/14/2016,24.08,2951.3
2016091402,2,9/14/2016,24.08,2951.3
2016091403,3,9/14/2016,23.38,3007.6
2016091404,4,9/14/2016,23.38,3007.6
2016091405,5,9/14/2016,21.28,3030.7
2016091406,6,9/14/2016,21.28,3030.7
2016091407,7,9/14/2016,19.82,3067.1
2016091408,8,9/14/2016,19.82,3067.1
2016091409,9,9/14/2016,23.42,2919.7
2016091410,10,9/14/2016,23.42,2919.7
2016091411,11,9/14/2016,29.74,3329.3
2016091412,12,9/14/2016,29.74,3329.3
2016091413,13,9/14/2016,38.52,3916.5
2016091414,14,9/14/2016,38.52,3916.5
2016091415,15,9/14/2016,41.96,4590.6
2016091416,16,9/14/2016,41.96,4590.6
2016091417,17,9/14/2016,50.08,4232.6
2016091418,18,9/14/2016,50.08,4232.6
2016091419,19,9/14/2016,63.26,4272.4
2016091420,20,9/14/2016,63.26,4272.4
2016091421,21,9/14/2016,45.45,4287.4
2016091422,22,9/14/2016,45.45,4287.4
2016091423,23,9/14/2016,39.33,4352.6
2016091424,24,9/14/2016,39.33,4352.6
2016091425,25,9/14/2016,41.39,4353.9
2016091426,26,9/14/2016,41.39,4353.9
2016091427,27,9/14/2016,40.46,4336.6
2016091428,28,9/14/2016,40.46,4336.6
2016091429,29,9/14/2016,40,4332.6
2016091430,30,9/14/2016,40,4332.6
2016091431,31,9/14/2016,36.6,4560.1
2016091432,32,9/14/2016,36.6,4560.1
2016091433,33,9/14/2016,48.43,4666.6
2016091434,34,9/14/2016,48.43,4666.6
2016091435,35,9/14/2016,93.1,4668.8
2016091436,36,9/14/2016,93.1,4668.8
2016091437,37,9/14/2016,93.1,4683.1
2016091438,38,9/14/2016,93.1,4683.1
2016091439,39,9/14/2016,165.05,4744.5
2016091440,40,9/14/2016,165.05,4744.5
2016091441,41,9/14/2016,154.99,4766.2
2016091442,42,9/14/2016,154.99,4766.2
2016091443,43,9/14/2016,49.02,4775.5
2016091444,44,9/14/2016,49.02,4775.5
2016091445,45,9/14/2016,30.98,4833.8
2016091446,46,9/14/2016,30.98,4833.8
2016091547,47,9/15/2016,28.79,3360.4
2016091548,48,9/15/2016,28.79,3360.4
2016091501,1,9/15/2016,25.3,3207.9
2016091502,2,9/15/2016,25.3,3207.9
2016091503,3,9/15/2016,23.55,3155.9
2016091504,4,9/15/2016,23.55,3155.9
2016091505,5,9/15/2016,18.53,3256.2
2016091506,6,9/15/2016,18.53,3256.2
2016091507,7,9/15/2016,18.58,3254.1
2016091508,8,9/15/2016,18.58,3254.1
2016091509,9,9/15/2016,21.48,3204.7
2016091510,10,9/15/2016,21.48,3204.7
2016091511,11,9/15/2016,26.69,3213.3
2016091512,12,9/15/2016,26.69,3213.3
2016091513,13,9/15/2016,38.35,3406.6
2016091514,14,9/15/2016,38.35,3406.6
2016091515,15,9/15/2016,42.93,3487
2016091516,16,9/15/2016,42.93,3487
2016091517,17,9/15/2016,90.09,3266.8
2016091518,18,9/15/2016,90.09,3266.8
2016091519,19,9/15/2016,149.9,3316.6
2016091520,20,9/15/2016,149.9,3316.6
2016091521,21,9/15/2016,100,3322.7
2016091522,22,9/15/2016,100,3322.7
2016091523,23,9/15/2016,79.79,3381
2016091524,24,9/15/2016,79.79,3381
2016091525,25,9/15/2016,74.98,3368.9
2016091526,26,9/15/2016,74.98,3368.9
2016091527,27,9/15/2016,51.1,3502.7
2016091528,28,9/15/2016,51.1,3502.7
2016091529,29,9/15/2016,45.1,3666.5
2016091530,30,9/15/2016,45.1,3666.5
2016091531,31,9/15/2016,50,3768.6
2016091532,32,9/15/2016,50,3768.6
2016091533,33,9/15/2016,50,3743.6
2016091534,34,9/15/2016,50,3743.6
2016091535,35,9/15/2016,50,4104.8
2016091536,36,9/15/2016,50,4104.8
2016091537,37,9/15/2016,50,4177.4
2016091538,38,9/15/2016,50,4177.4
2016091539,39,9/15/2016,999,2609.7
2016091540,40,9/15/2016,999,2609.7
2016091541,41,9/15/2016,799,2581.7
2016091542,42,9/15/2016,799,2581.7
2016091543,43,9/15/2016,99.92,3364.9
2016091544,44,9/15/2016,99.92,3364.9
2016091545,45,9/15/2016,33.49,3542.4
2016091546,46,9/15/2016,33.49,3542.4
2016091647,47,9/16/2016,32,2468.9
2016091648,48,9/16/2016,32,2468.9
2016091601,1,9/16/2016,24.59,2334.5
2016091602,2,9/16/2016,24.59,2334.5
2016091603,3,9/16/2016,23.27,2378.3
2016091604,4,9/16/2016,23.27,2378.3
2016091605,5,9/16/2016,18.86,2675.5
