,quantity,settlementDate,settlementPeriod
2016110644,40142,2016-11-06,44
2016110643,40669,2016-11-06,43
2016110642,41482,2016-11-06,42
2016110641,42533,2016-11-06,41
2016110640,43142,2016-11-06,40
2016110639,43511,2016-11-06,39
2016110638,44020,2016-11-06,38
2016110637,44400,2016-11-06,37
2016110636,44544,2016-11-06,36
2016110635,44656,2016-11-06,35
2016110634,43800,2016-11-06,34
2016110633,42359,2016-11-06,33
2016110632,40408,2016-11-06,32
2016110631,40078,2016-11-06,31
2016110630,38990,2016-11-06,30
2016110629,38030,2016-11-06,29
2016110628,38358,2016-11-06,28
2016110627,38576,2016-11-06,27
2016110626,38964,2016-11-06,26
2016110625,38958,2016-11-06,25
2016110624,38679,2016-11-06,24
2016110623,38291,2016-11-06,23
2016110622,37792,2016-11-06,22
2016110621,37301,2016-11-06,21
2016110620,36616,2016-11-06,20
2016110619,35904,2016-11-06,19
2016110618,35133,2016-11-06,18
2016110617,34386,2016-11-06,17
2016110616,33766,2016-11-06,16
2016110615,32285,2016-11-06,15
2016110614,30810,2016-11-06,14
2016110613,30290,2016-11-06,13
2016110612,30106,2016-11-06,12
2016110611,30089,2016-11-06,11
2016110610,30099,2016-11-06,10
2016110609,30137,2016-11-06,9
2016110608,30193,2016-11-06,8
2016110607,30195,2016-11-06,7
2016110606,30163,2016-11-06,6
2016110605,30146,2016-11-06,5
2016110604,30157,2016-11-06,4
2016110603,30097,2016-11-06,3
2016110602,30075,2016-11-06,2
2016110601,30034,2016-11-06,1
2016110748,30397,2016-11-07,48
2016110747,33403,2016-11-07,47
2016110746,39322,2016-11-07,46
2016110745,42190,2016-11-07,45
2016110744,43903,2016-11-07,44
2016110743,44844,2016-11-07,43
2016110742,45609,2016-11-07,42
2016110741,46554,2016-11-07,41
2016110740,47424,2016-11-07,40
2016110739,47887,2016-11-07,39
2016110738,48616,2016-11-07,38
2016110737,48836,2016-11-07,37
2016110736,48936,2016-11-07,36
2016110735,49132,2016-11-07,35
2016110734,48752,2016-11-07,34
2016110733,48754,2016-11-07,33
2016110732,48433,2016-11-07,32
2016110731,48362,2016-11-07,31
2016110730,48164,2016-11-07,30
2016110729,48360,2016-11-07,29
2016110728,48764,2016-11-07,28
2016110727,49068,2016-11-07,27
2016110726,49179,2016-11-07,26
2016110725,49093,2016-11-07,25
2016110724,48764,2016-11-07,24
2016110723,48496,2016-11-07,23
2016110722,48235,2016-11-07,22
2016110721,47717,2016-11-07,21
2016110720,47320,2016-11-07,20
2016110719,46937,2016-11-07,19
2016110718,46382,2016-11-07,18
2016110717,45972,2016-11-07,17
2016110716,45206,2016-11-07,16
2016110715,44702,2016-11-07,15
2016110714,39445,2016-11-07,14
2016110713,35057,2016-11-07,13
2016110712,33522,2016-11-07,12
2016110711,32916,2016-11-07,11
2016110710,32070,2016-11-07,10
2016110709,31946,2016-11-07,9
2016110708,31991,2016-11-07,8
2016110707,32026,2016-11-07,7
2016110706,32022,2016-11-07,6
2016110705,31986,2016-11-07,5
2016110704,31959,2016-11-07,4
2016110703,31952,2016-11-07,3
2016110702,31966,2016-11-07,2
2016110701,31951,2016-11-07,1
2016110848,31956,2016-11-08,48
2016110847,34806,2016-11-08,47
2016110846,41277,2016-11-08,46
2016110845,43688,2016-11-08,45
2016110844,45198,2016-11-08,44
2016110843,46295,2016-11-08,43
2016110842,46970,2016-11-08,42
2016110841,47551,2016-11-08,41
2016110840,48334,2016-11-08,40
2016110839,48928,2016-11-08,39
2016110838,49490,2016-11-08,38
2016110837,49538,2016-11-08,37
2016110836,49806,2016-11-08,36
2016110835,49696,2016-11-08,35
2016110834,49007,2016-11-08,34
2016110833,48496,2016-11-08,33
2016110832,47288,2016-11-08,32
2016110831,46871,2016-11-08,31
2016110830,47370,2016-11-08,30
2016110829,47512,2016-11-08,29
2016110828,47535,2016-11-08,28
2016110827,47519,2016-11-08,27
2016110826,47536,2016-11-08,26
2016110825,47347,2016-11-08,25
2016110824,47045,2016-11-08,24
2016110823,46797,2016-11-08,23
2016110822,46589,2016-11-08,22
2016110821,46318,2016-11-08,21
2016110820,46022,2016-11-08,20
2016110819,45655,2016-11-08,19
2016110818,45229,2016-11-08,18
2016110817,44889,2016-11-08,17
2016110816,44918,2016-11-08,16
2016110815,44196,2016-11-08,15
2016110814,40476,2016-11-08,14
2016110813,36740,2016-11-08,13
2016110812,34437,2016-11-08,12
2016110811,33703,2016-11-08,11
2016110810,32140,2016-11-08,10
2016110809,31735,2016-11-08,9
2016110808,31389,2016-11-08,8
2016110807,31474,2016-11-08,7
2016110806,31550,2016-11-08,6
2016110805,31671,2016-11-08,5
2016110804,32041,2016-11-08,4
2016110803,32561,2016-11-08,3
2016110802,33223,2016-11-08,2
2016110801,33471,2016-11-08,1
2016110948,32112,2016-11-09,48
2016110947,35281,2016-11-09,47
2016110946,42204,2016-11-09,46
2016110945,44788,2016-11-09,45
2016110944,45693,2016-11-09,44
2016110943,46725,2016-11-09,43
2016110942,47352,2016-11-09,42
2016110941,47536,2016-11-09,41
2016110940,48018,2016-11-09,40
2016110939,48729,2016-11-09,39
2016110938,49261,2016-11-09,38
2016110937,49317,2016-11-09,37
2016110936,49669,2016-11-09,36
2016110935,49651,2016-11-09,35
2016110934,49229,2016-11-09,34
2016110933,48792,2016-11-09,33
2016110932,47890,2016-11-09,32
2016110931,47447,2016-11-09,31
2016110930,47242,2016-11-09,30
2016110929,47223,2016-11-09,29
2016110928,47339,2016-11-09,28
2016110927,47336,2016-11-09,27
2016110926,47379,2016-11-09,26
2016110925,47373,2016-11-09,25
2016110924,47359,2016-11-09,24
2016110923,47251,2016-11-09,23
2016110922,47150,2016-11-09,22
2016110921,47014,2016-11-09,21
2016110920,46849,2016-11-09,20
2016110919,46785,2016-11-09,19
2016110918,46615,2016-11-09,18
2016110917,46603,2016-11-09,17
2016110916,46454,2016-11-09,16
2016110915,45152,2016-11-09,15
2016110914,41673,2016-11-09,14
2016110913,38748,2016-11-09,13
2016110912,36047,2016-11-09,12
2016110911,34787,2016-11-09,11
2016110910,33233,2016-11-09,10
2016110909,33185,2016-11-09,9
2016110908,33075,2016-11-09,8
2016110907,33127,2016-11-09,7
2016110906,33210,2016-11-09,6
2016110905,33581,2016-11-09,5
2016110904,35405,2016-11-09,4
2016110903,35732,2016-11-09,3
2016110902,35802,2016-11-09,2
2016110901,36149,2016-11-09,1
2016111048,32010,2016-11-10,48
2016111047,34795,2016-11-10,47
2016111046,41196,2016-11-10,46
2016111045,44107,2016-11-10,45
2016111044,45513,2016-11-10,44
2016111043,46576,2016-11-10,43
2016111042,47734,2016-11-10,42
2016111041,48465,2016-11-10,41
2016111040,49374,2016-11-10,40
2016111039,50021,2016-11-10,39
2016111038,50560,2016-11-10,38
2016111037,50732,2016-11-10,37
2016111036,50832,2016-11-10,36
2016111035,50908,2016-11-10,35
2016111034,50708,2016-11-10,34
2016111033,50682,2016-11-10,33
2016111032,50415,2016-11-10,32
2016111031,50402,2016-11-10,31
2016111030,50212,2016-11-10,30
2016111029,50055,2016-11-10,29
2016111028,50161,2016-11-10,28
2016111027,50222,2016-11-10,27
2016111026,50359,2016-11-10,26
2016111025,50279,2016-11-10,25
2016111024,50177,2016-11-10,24
2016111023,49925,2016-11-10,23
2016111022,50196,2016-11-10,22
2016111021,49913,2016-11-10,21
2016111020,49664,2016-11-10,20
2016111019,49312,2016-11-10,19
2016111018,48784,2016-11-10,18
2016111017,48379,2016-11-10,17
2016111016,47899,2016-11-10,16
2016111015,46809,2016-11-10,15
2016111014,42958,2016-11-10,14
2016111013,39318,2016-11-10,13
2016111012,36201,2016-11-10,12
2016111011,34879,2016-11-10,11
2016111010,33448,2016-11-10,10
2016111009,33340,2016-11-10,9
2016111008,33246,2016-11-10,8
2016111007,33263,2016-11-10,7
2016111006,33248,2016-11-10,6
2016111005,33605,2016-11-10,5
2016111004,35493,2016-11-10,4
2016111003,35695,2016-11-10,3
2016111002,35688,2016-11-10,2
2016111001,35753,2016-11-10,1
2016111148,33688,2016-11-11,48
2016111147,36872,2016-11-11,47
2016111146,41470,2016-11-11,46
2016111145,43668,2016-11-11,45
2016111144,44991,2016-11-11,44
2016111143,45945,2016-11-11,43
2016111142,46890,2016-11-11,42
2016111141,47231,2016-11-11,41
2016111140,47734,2016-11-11,40
2016111139,48167,2016-11-11,39
2016111138,49033,2016-11-11,38
2016111137,49059,2016-11-11,37
2016111136,49046,2016-11-11,36
2016111135,48849,2016-11-11,35
2016111134,48231,2016-11-11,34
2016111133,47764,2016-11-11,33
2016111132,47277,2016-11-11,32
2016111131,47255,2016-11-11,31
2016111130,47065,2016-11-11,30
2016111129,47032,2016-11-11,29
2016111128,47107,2016-11-11,28
2016111127,47047,2016-11-11,27
2016111126,47076,2016-11-11,26
2016111125,46869,2016-11-11,25
2016111124,46682,2016-11-11,24
2016111123,46380,2016-11-11,23
2016111122,46262,2016-11-11,22
2016111121,45898,2016-11-11,21
2016111120,45492,2016-11-11,20
2016111119,45093,2016-11-11,19
2016111118,44689,2016-11-11,18
2016111117,44282,2016-11-11,17
2016111116,43705,2016-11-11,16
2016111115,42764,2016-11-11,15
2016111114,40182,2016-11-11,14
2016111113,37993,2016-11-11,13
2016111112,35896,2016-11-11,12
2016111111,34485,2016-11-11,11
2016111110,32450,2016-11-11,10
2016111109,32511,2016-11-11,9
2016111108,31759,2016-11-11,8
2016111107,31754,2016-11-11,7
2016111106,32667,2016-11-11,6
2016111105,33309,2016-11-11,5
2016111104,34676,2016-11-11,4
2016111103,34930,2016-11-11,3
2016111102,35566,2016-11-11,2
2016111101,35972,2016-11-11,1
2016111248,31299,2016-11-12,48
2016111247,33142,2016-11-12,47
2016111246,35864,2016-11-12,46
2016111245,36986,2016-11-12,45
2016111244,37583,2016-11-12,44
2016111243,38418,2016-11-12,43
2016111242,39736,2016-11-12,42
2016111241,40973,2016-11-12,41
2016111240,42251,2016-11-12,40
2016111239,42524,2016-11-12,39
2016111238,42878,2016-11-12,38
2016111237,43071,2016-11-12,37
2016111236,43190,2016-11-12,36
2016111235,43000,2016-11-12,35
2016111234,42481,2016-11-12,34
2016111233,41843,2016-11-12,33
2016111232,41210,2016-11-12,32
2016111231,40825,2016-11-12,31
2016111230,40422,2016-11-12,30
2016111229,40302,2016-11-12,29
2016111228,40277,2016-11-12,28
2016111227,40304,2016-11-12,27
2016111226,40380,2016-11-12,26
2016111225,40394,2016-11-12,25
2016111224,40388,2016-11-12,24
2016111223,40372,2016-11-12,23
2016111222,40429,2016-11-12,22
2016111221,40415,2016-11-12,21
2016111220,40150,2016-11-12,20
2016111219,39482,2016-11-12,19
2016111218,38426,2016-11-12,18
2016111217,37530,2016-11-12,17
2016111216,35611,2016-11-12,16
2016111215,34583,2016-11-12,15
2016111214,31913,2016-11-12,14
2016111213,31292,2016-11-12,13
2016111212,31149,2016-11-12,12
2016111211,31203,2016-11-12,11
2016111210,30740,2016-11-12,10
2016111209,30998,2016-11-12,9
2016111208,31249,2016-11-12,8
2016111207,31476,2016-11-12,7
2016111206,31653,2016-11-12,6
2016111205,31889,2016-11-12,5
2016111204,32759,2016-11-12,4
2016111203,32966,2016-11-12,3
2016111202,33657,2016-11-12,2
2016111201,34027,2016-11-12,1
2016111348,32382,2016-11-13,48
2016111347,34765,2016-11-13,47
2016111346,39315,2016-11-13,46
2016111345,40535,2016-11-13,45
2016111344,40907,2016-11-13,44
2016111343,41360,2016-11-13,43
2016111342,42135,2016-11-13,42
2016111341,43436,2016-11-13,41
2016111340,44254,2016-11-13,40
2016111339,44252,2016-11-13,39
2016111338,44354,2016-11-13,38
2016111337,44327,2016-11-13,37
2016111336,44290,2016-11-13,36
2016111335,44200,2016-11-13,35
2016111334,43492,2016-11-13,34
2016111333,43019,2016-11-13,33
2016111332,41872,2016-11-13,32
2016111331,40654,2016-11-13,31
2016111330,39818,2016-11-13,30
2016111329,39516,2016-11-13,29
2016111328,39445,2016-11-13,28
2016111327,39493,2016-11-13,27
2016111326,39720,2016-11-13,26
2016111325,39730,2016-11-13,25
2016111324,39646,2016-11-13,24
2016111323,39090,2016-11-13,23
2016111322,38843,2016-11-13,22
2016111321,38456,2016-11-13,21
2016111320,37953,2016-11-13,20
2016111319,37326,2016-11-13,19
2016111318,35680,2016-11-13,18
2016111317,34461,2016-11-13,17
2016111316,33321,2016-11-13,16
2016111315,32602,2016-11-13,15
2016111314,30577,2016-11-13,14
2016111313,29762,2016-11-13,13
2016111312,29637,2016-11-13,12
2016111311,29513,2016-11-13,11
2016111310,29047,2016-11-13,10
2016111309,28969,2016-11-13,9
2016111308,28959,2016-11-13,8
2016111307,29098,2016-11-13,7
2016111306,30016,2016-11-13,6
2016111305,30320,2016-11-13,5
2016111304,30576,2016-11-13,4
2016111303,30823,2016-11-13,3
2016111302,31465,2016-11-13,2
2016111301,31497,2016-11-13,1
2016111448,33649,2016-11-14,48
2016111447,36647,2016-11-14,47
2016111446,42253,2016-11-14,46
2016111445,43751,2016-11-14,45
2016111444,44235,2016-11-14,44
2016111443,45085,2016-11-14,43
2016111442,47548,2016-11-14,42
2016111441,49674,2016-11-14,41
2016111440,50700,2016-11-14,40
2016111439,50824,2016-11-14,39
2016111438,51125,2016-11-14,38
2016111437,51294,2016-11-14,37
2016111436,51415,2016-11-14,36
2016111435,51323,2016-11-14,35
2016111434,50700,2016-11-14,34
2016111433,50080,2016-11-14,33
2016111432,49547,2016-11-14,32
2016111431,49227,2016-11-14,31
2016111430,48780,2016-11-14,30
2016111429,48663,2016-11-14,29
2016111428,48696,2016-11-14,28
2016111427,48801,2016-11-14,27
2016111426,49096,2016-11-14,26
2016111425,49130,2016-11-14,25
2016111424,49142,2016-11-14,24
2016111423,49057,2016-11-14,23
2016111422,49116,2016-11-14,22
2016111421,49036,2016-11-14,21
2016111420,48753,2016-11-14,20
2016111419,48507,2016-11-14,19
2016111418,48069,2016-11-14,18
2016111417,47590,2016-11-14,17
2016111416,46766,2016-11-14,16
2016111415,45301,2016-11-14,15
2016111414,39939,2016-11-14,14
2016111413,36459,2016-11-14,13
2016111412,33702,2016-11-14,12
2016111411,32513,2016-11-14,11
2016111410,31364,2016-11-14,10
2016111409,31074,2016-11-14,9
2016111408,30515,2016-11-14,8
2016111407,30405,2016-11-14,7
2016111406,30339,2016-11-14,6
2016111405,30453,2016-11-14,5
2016111404,31165,2016-11-14,4
2016111403,31408,2016-11-14,3
2016111402,31847,2016-11-14,2
2016111401,31816,2016-11-14,1
2016111548,32881,2016-11-15,48
2016111547,36108,2016-11-15,47
2016111546,41319,2016-11-15,46
2016111545,43204,2016-11-15,45
2016111544,44000,2016-11-15,44
2016111543,45418,2016-11-15,43
2016111542,47487,2016-11-15,42
2016111541,48474,2016-11-15,41
2016111540,49051,2016-11-15,40
2016111539,49028,2016-11-15,39
2016111538,49204,2016-11-15,38
2016111537,49125,2016-11-15,37
2016111536,49019,2016-11-15,36
2016111535,49016,2016-11-15,35
2016111534,48878,2016-11-15,34
2016111533,48744,2016-11-15,33
2016111532,48483,2016-11-15,32
2016111531,48460,2016-11-15,31
2016111530,48496,2016-11-15,30
2016111529,48575,2016-11-15,29
2016111528,48748,2016-11-15,28
2016111527,48925,2016-11-15,27
2016111526,49285,2016-11-15,26
2016111525,49145,2016-11-15,25
2016111524,48645,2016-11-15,24
2016111523,48549,2016-11-15,23
2016111522,48493,2016-11-15,22
2016111521,48603,2016-11-15,21
2016111520,48637,2016-11-15,20
2016111519,48759,2016-11-15,19
2016111518,48630,2016-11-15,18
2016111517,48506,2016-11-15,17
2016111516,47584,2016-11-15,16
2016111515,46306,2016-11-15,15
2016111514,41240,2016-11-15,14
2016111513,37408,2016-11-15,13
2016111512,34148,2016-11-15,12
2016111511,33121,2016-11-15,11
2016111510,32411,2016-11-15,10
2016111509,32306,2016-11-15,9
2016111508,32344,2016-11-15,8
2016111507,32455,2016-11-15,7
2016111506,32535,2016-11-15,6
2016111505,32568,2016-11-15,5
2016111504,32912,2016-11-15,4
2016111503,32942,2016-11-15,3
2016111502,32955,2016-11-15,2
2016111501,33352,2016-11-15,1
2016111648,32609,2016-11-16,48
2016111647,34421,2016-11-16,47
2016111646,38958,2016-11-16,46
2016111645,40808,2016-11-16,45
2016111644,42059,2016-11-16,44
2016111643,43867,2016-11-16,43
2016111642,46073,2016-11-16,42
2016111641,47093,2016-11-16,41
2016111640,47635,2016-11-16,40
2016111639,47894,2016-11-16,39
2016111638,48738,2016-11-16,38
2016111637,48930,2016-11-16,37
2016111636,48960,2016-11-16,36
2016111635,48920,2016-11-16,35
2016111634,48664,2016-11-16,34
2016111633,48173,2016-11-16,33
2016111632,47336,2016-11-16,32
2016111631,47086,2016-11-16,31
2016111630,46708,2016-11-16,30
2016111629,46717,2016-11-16,29
2016111628,46602,2016-11-16,28
2016111627,46805,2016-11-16,27
2016111626,47099,2016-11-16,26
2016111625,46489,2016-11-16,25
2016111624,46456,2016-11-16,24
2016111623,46495,2016-11-16,23
2016111622,46744,2016-11-16,22
2016111621,46513,2016-11-16,21
2016111620,46255,2016-11-16,20
2016111619,45948,2016-11-16,19
2016111618,45202,2016-11-16,18
2016111617,44936,2016-11-16,17
2016111616,44374,2016-11-16,16
2016111615,43370,2016-11-16,15
2016111614,39227,2016-11-16,14
2016111613,34598,2016-11-16,13
2016111612,32705,2016-11-16,12
2016111611,31497,2016-11-16,11
2016111610,30961,2016-11-16,10
2016111609,30658,2016-11-16,9
2016111608,30381,2016-11-16,8
2016111607,30078,2016-11-16,7
2016111606,29777,2016-11-16,6
2016111605,29554,2016-11-16,5
2016111604,29694,2016-11-16,4
2016111603,29673,2016-11-16,3
2016111602,29969,2016-11-16,2
2016111601,29692,2016-11-16,1
2016111748,33326,2016-11-17,48
2016111747,36210,2016-11-17,47
2016111746,40417,2016-11-17,46
2016111745,42071,2016-11-17,45
2016111744,42280,2016-11-17,44
2016111743,43236,2016-11-17,43
2016111742,44797,2016-11-17,42
2016111741,45775,2016-11-17,41
2016111740,47148,2016-11-17,40
2016111739,47889,2016-11-17,39
2016111738,48248,2016-11-17,38
2016111737,48426,2016-11-17,37
2016111736,48530,2016-11-17,36
2016111735,48715,2016-11-17,35
2016111734,48408,2016-11-17,34
2016111733,48386,2016-11-17,33
2016111732,47693,2016-11-17,32
2016111731,47702,2016-11-17,31
2016111730,46883,2016-11-17,30
2016111729,46884,2016-11-17,29
2016111728,46851,2016-11-17,28
2016111727,46981,2016-11-17,27
2016111726,47084,2016-11-17,26
2016111725,46806,2016-11-17,25
2016111724,46513,2016-11-17,24
2016111723,46300,2016-11-17,23
2016111722,46485,2016-11-17,22
2016111721,46132,2016-11-17,21
2016111720,45895,2016-11-17,20
2016111719,45554,2016-11-17,19
2016111718,45429,2016-11-17,18
2016111717,44951,2016-11-17,17
2016111716,44526,2016-11-17,16
2016111715,42968,2016-11-17,15
2016111714,38386,2016-11-17,14
2016111713,35537,2016-11-17,13
2016111712,32888,2016-11-17,12
2016111711,31580,2016-11-17,11
2016111710,30720,2016-11-17,10
2016111709,30612,2016-11-17,9
2016111708,30639,2016-11-17,8
2016111707,30648,2016-11-17,7
2016111706,30661,2016-11-17,6
2016111705,30816,2016-11-17,5
2016111704,31343,2016-11-17,4
2016111703,31534,2016-11-17,3
2016111702,31958,2016-11-17,2
2016111701,32353,2016-11-17,1
2016111848,30066,2016-11-18,48
2016111847,33637,2016-11-18,47
2016111846,39335,2016-11-18,46
2016111845,41225,2016-11-18,45
2016111844,42058,2016-11-18,44
2016111843,42683,2016-11-18,43
2016111842,44083,2016-11-18,42
2016111841,45676,2016-11-18,41
2016111840,46480,2016-11-18,40
2016111839,47021,2016-11-18,39
2016111838,47651,2016-11-18,38
2016111837,47689,2016-11-18,37
2016111836,47772,2016-11-18,36
2016111835,47762,2016-11-18,35
2016111834,47480,2016-11-18,34
2016111833,47248,2016-11-18,33
2016111832,46720,2016-11-18,32
2016111831,46848,2016-11-18,31
2016111830,46827,2016-11-18,30
2016111829,47007,2016-11-18,29
2016111828,47125,2016-11-18,28
2016111827,47333,2016-11-18,27
2016111826,47575,2016-11-18,26
2016111825,47747,2016-11-18,25
2016111824,48046,2016-11-18,24
2016111823,48035,2016-11-18,23
2016111822,48161,2016-11-18,22
2016111821,47992,2016-11-18,21
2016111820,47929,2016-11-18,20
2016111819,47550,2016-11-18,19
2016111818,46989,2016-11-18,18
2016111817,46377,2016-11-18,17
2016111816,45235,2016-11-18,16
2016111815,43857,2016-11-18,15
2016111814,39165,2016-11-18,14
2016111813,36573,2016-11-18,13
2016111812,34843,2016-11-18,12
2016111811,33734,2016-11-18,11
2016111810,32421,2016-11-18,10
2016111809,32230,2016-11-18,9
2016111808,32115,2016-11-18,8
2016111807,32148,2016-11-18,7
2016111806,32182,2016-11-18,6
2016111805,32248,2016-11-18,5
2016111804,33044,2016-11-18,4
2016111803,33540,2016-11-18,3
2016111802,33693,2016-11-18,2
2016111801,33765,2016-11-18,1
2016111948,30344,2016-11-19,48
2016111947,32550,2016-11-19,47
2016111946,35465,2016-11-19,46
2016111945,36885,2016-11-19,45
2016111944,37724,2016-11-19,44
2016111943,38430,2016-11-19,43
2016111942,39494,2016-11-19,42
2016111941,41035,2016-11-19,41
2016111940,42878,2016-11-19,40
2016111939,43717,2016-11-19,39
2016111938,44483,2016-11-19,38
2016111937,44578,2016-11-19,37
2016111936,44585,2016-11-19,36
2016111935,44413,2016-11-19,35
2016111934,43355,2016-11-19,34
2016111933,42773,2016-11-19,33
2016111932,41186,2016-11-19,32
2016111931,40269,2016-11-19,31
2016111930,40011,2016-11-19,30
2016111929,40258,2016-11-19,29
2016111928,40610,2016-11-19,28
2016111927,40788,2016-11-19,27
2016111926,41170,2016-11-19,26
2016111925,41132,2016-11-19,25
2016111924,41176,2016-11-19,24
2016111923,40998,2016-11-19,23
2016111922,40892,2016-11-19,22
2016111921,40629,2016-11-19,21
2016111920,40373,2016-11-19,20
2016111919,39901,2016-11-19,19
2016111918,38873,2016-11-19,18
2016111917,38282,2016-11-19,17
2016111916,37505,2016-11-19,16
2016111915,36786,2016-11-19,15
2016111914,33299,2016-11-19,14
2016111913,31785,2016-11-19,13
2016111912,31507,2016-11-19,12
2016111911,31478,2016-11-19,11
2016111910,31155,2016-11-19,10
2016111909,31159,2016-11-19,9
2016111908,31227,2016-11-19,8
2016111907,31354,2016-11-19,7
2016111906,31882,2016-11-19,6
2016111905,32172,2016-11-19,5
2016111904,32669,2016-11-19,4
2016111903,32997,2016-11-19,3
2016111902,33441,2016-11-19,2
2016111901,33476,2016-11-19,1
2016112048,29138,2016-11-20,48
2016112047,31204,2016-11-20,47
2016112046,35575,2016-11-20,46
2016112045,36588,2016-11-20,45
2016112044,37084,2016-11-20,44
2016112043,38177,2016-11-20,43
2016112042,39750,2016-11-20,42
2016112041,41116,2016-11-20,41
2016112040,42134,2016-11-20,40
2016112039,43023,2016-11-20,39
2016112038,43890,2016-11-20,38
2016112037,44214,2016-11-20,37
2016112036,44580,2016-11-20,36
2016112035,44688,2016-11-20,35
2016112034,44003,2016-11-20,34
2016112033,43332,2016-11-20,33
2016112032,41745,2016-11-20,32
2016112031,40798,2016-11-20,31
2016112030,40361,2016-11-20,30
2016112029,39814,2016-11-20,29
2016112028,39544,2016-11-20,28
2016112027,39542,2016-11-20,27
2016112026,39755,2016-11-20,26
2016112025,39488,2016-11-20,25
2016112024,39346,2016-11-20,24
2016112023,39041,2016-11-20,23
2016112022,39023,2016-11-20,22
2016112021,38642,2016-11-20,21
2016112020,37775,2016-11-20,20
2016112019,36763,2016-11-20,19
2016112018,34994,2016-11-20,18
2016112017,33941,2016-11-20,17
2016112016,33217,2016-11-20,16
2016112015,32993,2016-11-20,15
2016112014,31342,2016-11-20,14
2016112013,30456,2016-11-20,13
2016112012,30370,2016-11-20,12
2016112011,30246,2016-11-20,11
2016112010,30001,2016-11-20,10
2016112009,29836,2016-11-20,9
2016112008,29673,2016-11-20,8
2016112007,29492,2016-11-20,7
2016112006,29388,2016-11-20,6
2016112005,29179,2016-11-20,5
2016112004,29373,2016-11-20,4
2016112003,29532,2016-11-20,3
2016112002,29389,2016-11-20,2
2016112001,29479,2016-11-20,1
2016112148,35060,2016-11-21,48
2016112147,38054,2016-11-21,47
2016112146,43784,2016-11-21,46
2016112145,44782,2016-11-21,45
2016112144,45305,2016-11-21,44
2016112143,46481,2016-11-21,43
2016112142,48159,2016-11-21,42
2016112141,49092,2016-11-21,41
2016112140,50080,2016-11-21,40
2016112139,50406,2016-11-21,39
2016112138,50826,2016-11-21,38
2016112137,50833,2016-11-21,37
2016112136,51201,2016-11-21,36
2016112135,51267,2016-11-21,35
2016112134,50949,2016-11-21,34
2016112133,50519,2016-11-21,33
2016112132,49664,2016-11-21,32
2016112131,49310,2016-11-21,31
2016112130,49144,2016-11-21,30
2016112129,48759,2016-11-21,29
2016112128,48425,2016-11-21,28
2016112127,48117,2016-11-21,27
2016112126,48045,2016-11-21,26
2016112125,47797,2016-11-21,25
2016112124,47709,2016-11-21,24
2016112123,47760,2016-11-21,23
2016112122,47592,2016-11-21,22
2016112121,47443,2016-11-21,21
2016112120,47149,2016-11-21,20
2016112119,46974,2016-11-21,19
2016112118,46596,2016-11-21,18
2016112117,46338,2016-11-21,17
2016112116,45411,2016-11-21,16
2016112115,44063,2016-11-21,15
2016112114,38498,2016-11-21,14
2016112113,34962,2016-11-21,13
2016112112,32354,2016-11-21,12
2016112111,31413,2016-11-21,11
2016112110,30966,2016-11-21,10
2016112109,30680,2016-11-21,9
2016112108,30598,2016-11-21,8
2016112107,30615,2016-11-21,7
2016112106,31034,2016-11-21,6
2016112105,30936,2016-11-21,5
2016112104,30767,2016-11-21,4
2016112103,30671,2016-11-21,3
2016112102,30761,2016-11-21,2
2016112101,30654,2016-11-21,1
2016112248,30712,2016-11-22,48
2016112247,34403,2016-11-22,47
2016112246,39241,2016-11-22,46
2016112245,41336,2016-11-22,45
2016112244,43371,2016-11-22,44
2016112243,45598,2016-11-22,43
2016112242,47908,2016-11-22,42
2016112241,49365,2016-11-22,41
2016112240,50249,2016-11-22,40
2016112239,50662,2016-11-22,39
2016112238,51192,2016-11-22,38
2016112237,51440,2016-11-22,37
2016112236,51672,2016-11-22,36
2016112235,51797,2016-11-22,35
2016112234,51625,2016-11-22,34
2016112233,51407,2016-11-22,33
2016112232,50710,2016-11-22,32
2016112231,49895,2016-11-22,31
2016112230,48781,2016-11-22,30
2016112229,47983,2016-11-22,29
2016112228,47536,2016-11-22,28
2016112227,47705,2016-11-22,27
2016112226,47960,2016-11-22,26
2016112225,47927,2016-11-22,25
2016112224,47965,2016-11-22,24
2016112223,47842,2016-11-22,23
2016112222,47461,2016-11-22,22
2016112221,47247,2016-11-22,21
2016112220,46938,2016-11-22,20
2016112219,46779,2016-11-22,19
2016112218,46440,2016-11-22,18
2016112217,46271,2016-11-22,17
2016112216,45564,2016-11-22,16
2016112215,44571,2016-11-22,15
2016112214,40666,2016-11-22,14
2016112213,35786,2016-11-22,13
2016112212,32890,2016-11-22,12
2016112211,32148,2016-11-22,11
2016112210,31207,2016-11-22,10
2016112209,31219,2016-11-22,9
2016112208,31632,2016-11-22,8
2016112207,31729,2016-11-22,7
2016112206,31960,2016-11-22,6
2016112205,32281,2016-11-22,5
2016112204,32739,2016-11-22,4
2016112203,32866,2016-11-22,3
2016112202,32907,2016-11-22,2
2016112201,32926,2016-11-22,1
2016112348,30483,2016-11-23,48
2016112347,35155,2016-11-23,47
2016112346,40243,2016-11-23,46
2016112345,41770,2016-11-23,45
2016112344,42989,2016-11-23,44
2016112343,44266,2016-11-23,43
2016112342,45909,2016-11-23,42
2016112341,47521,2016-11-23,41
2016112340,48538,2016-11-23,40
2016112339,48519,2016-11-23,39
