,quantity,settlementDate,settlementPeriod
2016010423,4434,2016-01-04,23
2016010422,4308,2016-01-04,22
2016010421,4151,2016-01-04,21
2016010420,3979,2016-01-04,20
2016010419,3845,2016-01-04,19
2016010418,3680,2016-01-04,18
2016010417,3635,2016-01-04,17
2016010416,3569,2016-01-04,16
2016010415,3548,2016-01-04,15
2016010414,3491,2016-01-04,14
2016010413,3474,2016-01-04,13
2016010412,3456,2016-01-04,12
2016010411,3451,2016-01-04,11
2016010410,3435,2016-01-04,10
2016010409,3431,2016-01-04,9
2016010408,3426,2016-01-04,8
2016010407,3425,2016-01-04,7
2016010406,3421,2016-01-04,6
2016010405,3387,2016-01-04,5
2016010404,3358,2016-01-04,4
2016010403,3368,2016-01-04,3
2016010402,3384,2016-01-04,2
2016010401,3409,2016-01-04,1
2016010548,3103,2016-01-05,48
2016010547,3117,2016-01-05,47
2016010546,3166,2016-01-05,46
2016010545,3184,2016-01-05,45
2016010544,3212,2016-01-05,44
2016010543,3240,2016-01-05,43
2016010542,3296,2016-01-05,42
2016010541,3322,2016-01-05,41
2016010540,3381,2016-01-05,40
2016010539,3434,2016-01-05,39
2016010538,3556,2016-01-05,38
2016010537,3647,2016-01-05,37
2016010536,3718,2016-01-05,36
2016010535,3758,2016-01-05,35
2016010534,3710,2016-01-05,34
2016010533,3663,2016-01-05,33
2016010532,3689,2016-01-05,32
2016010531,3817,2016-01-05,31
2016010530,3959,2016-01-05,30
2016010529,4058,2016-01-05,29
2016010528,4183,2016-01-05,28
2016010527,4255,2016-01-05,27
2016010526,4321,2016-01-05,26
2016010525,4293,2016-01-05,25
2016010524,4267,2016-01-05,24
2016010523,4155,2016-01-05,23
2016010522,4036,2016-01-05,22
2016010521,3909,2016-01-05,21
2016010520,3767,2016-01-05,20
2016010519,3697,2016-01-05,19
2016010518,3595,2016-01-05,18
2016010517,3562,2016-01-05,17
2016010516,3509,2016-01-05,16
2016010515,3506,2016-01-05,15
2016010514,3467,2016-01-05,14
2016010513,3466,2016-01-05,13
2016010512,3464,2016-01-05,12
2016010511,3476,2016-01-05,11
2016010510,3477,2016-01-05,10
2016010509,3478,2016-01-05,9
2016010508,3478,2016-01-05,8
2016010507,3481,2016-01-05,7
2016010506,3480,2016-01-05,6
2016010505,3480,2016-01-05,5
2016010504,3485,2016-01-05,4
2016010503,3488,2016-01-05,3
2016010502,3497,2016-01-05,2
2016010501,3510,2016-01-05,1
2016010648,3771,2016-01-06,48
2016010647,3749,2016-01-06,47
2016010646,3761,2016-01-06,46
2016010645,3741,2016-01-06,45
2016010644,3732,2016-01-06,44
2016010643,3726,2016-01-06,43
2016010642,3748,2016-01-06,42
2016010641,3851,2016-01-06,41
2016010640,3986,2016-01-06,40
2016010639,4006,2016-01-06,39
2016010638,4095,2016-01-06,38
2016010637,4165,2016-01-06,37
2016010636,4215,2016-01-06,36
2016010635,4202,2016-01-06,35
2016010634,4101,2016-01-06,34
2016010633,3995,2016-01-06,33
2016010632,3961,2016-01-06,32
2016010631,4049,2016-01-06,31
2016010630,4150,2016-01-06,30
2016010629,4220,2016-01-06,29
2016010628,4315,2016-01-06,28
2016010627,4356,2016-01-06,27
2016010626,4391,2016-01-06,26
2016010625,4308,2016-01-06,25
2016010624,4227,2016-01-06,24
2016010623,4058,2016-01-06,23
2016010622,3883,2016-01-06,22
2016010621,3709,2016-01-06,21
2016010620,3521,2016-01-06,20
2016010619,3429,2016-01-06,19
2016010618,3306,2016-01-06,18
2016010617,3258,2016-01-06,17
2016010616,3191,2016-01-06,16
2016010615,3173,2016-01-06,15
2016010614,3119,2016-01-06,14
2016010613,3106,2016-01-06,13
2016010612,3092,2016-01-06,12
2016010611,3090,2016-01-06,11
2016010610,3077,2016-01-06,10
2016010609,3065,2016-01-06,9
2016010608,3053,2016-01-06,8
2016010607,3051,2016-01-06,7
2016010606,3045,2016-01-06,6
2016010605,3037,2016-01-06,5
2016010604,3034,2016-01-06,4
2016010603,3032,2016-01-06,3
2016010602,3036,2016-01-06,2
2016010601,3042,2016-01-06,1
2016010748,3593,2016-01-07,48
2016010747,3648,2016-01-07,47
2016010746,3738,2016-01-07,46
2016010745,3792,2016-01-07,45
2016010744,3856,2016-01-07,44
2016010743,3915,2016-01-07,43
2016010742,4003,2016-01-07,42
2016010741,4054,2016-01-07,41
2016010740,4138,2016-01-07,40
2016010739,4215,2016-01-07,39
2016010738,4360,2016-01-07,38
2016010737,4465,2016-01-07,37
2016010736,4551,2016-01-07,36
2016010735,4632,2016-01-07,35
2016010734,4624,2016-01-07,34
2016010733,4699,2016-01-07,33
2016010732,4847,2016-01-07,32
2016010731,5145,2016-01-07,31
2016010730,5456,2016-01-07,30
2016010729,5527,2016-01-07,29
2016010728,5623,2016-01-07,28
2016010727,5720,2016-01-07,27
2016010726,5811,2016-01-07,26
2016010725,5712,2016-01-07,25
2016010724,5613,2016-01-07,24
2016010723,5394,2016-01-07,23
2016010722,5170,2016-01-07,22
2016010721,4910,2016-01-07,21
2016010720,4634,2016-01-07,20
2016010719,4541,2016-01-07,19
2016010718,4418,2016-01-07,18
2016010717,4382,2016-01-07,17
2016010716,4326,2016-01-07,16
2016010715,4342,2016-01-07,15
2016010714,4322,2016-01-07,14
2016010713,4334,2016-01-07,13
2016010712,4346,2016-01-07,12
2016010711,4364,2016-01-07,11
2016010710,4372,2016-01-07,10
2016010709,4335,2016-01-07,9
2016010708,4297,2016-01-07,8
2016010707,4256,2016-01-07,7
2016010706,4211,2016-01-07,6
2016010705,4159,2016-01-07,5
2016010704,4112,2016-01-07,4
2016010703,4084,2016-01-07,3
2016010702,4062,2016-01-07,2
2016010701,3917,2016-01-07,1
2016010848,2713,2016-01-08,48
2016010847,2720,2016-01-08,47
2016010846,2762,2016-01-08,46
2016010845,2772,2016-01-08,45
2016010844,2793,2016-01-08,44
2016010843,2813,2016-01-08,43
2016010842,2862,2016-01-08,42
2016010841,2889,2016-01-08,41
2016010840,2949,2016-01-08,40
2016010839,3003,2016-01-08,39
2016010838,3125,2016-01-08,38
2016010837,3202,2016-01-08,37
2016010836,3260,2016-01-08,36
2016010835,3313,2016-01-08,35
2016010834,3277,2016-01-08,34
2016010833,3278,2016-01-08,33
2016010832,3353,2016-01-08,32
2016010831,3562,2016-01-08,31
2016010830,3784,2016-01-08,30
2016010829,3965,2016-01-08,29
2016010828,4171,2016-01-08,28
2016010827,4305,2016-01-08,27
2016010826,4433,2016-01-08,26
2016010825,4415,2016-01-08,25
2016010824,4397,2016-01-08,24
2016010823,4225,2016-01-08,23
2016010822,4047,2016-01-08,22
2016010821,3836,2016-01-08,21
2016010820,3609,2016-01-08,20
2016010819,3441,2016-01-08,19
