,drm2HourForecast,lolp1HourForecast,settlementDate,settlementPeriod
2016010307,22781.3950000,0.000000000,2016-01-03,7
2016010308,23192.5450000,0.000000000,2016-01-03,8
2016010309,24036.9300000,0.000000000,2016-01-03,9
2016010310,24803.1500000,0.000000000,2016-01-03,10
2016010311,25177.3000000,0.000000000,2016-01-03,11
2016010312,25435.0230000,0.000000000,2016-01-03,12
2016010313,25027.1970000,0.000000000,2016-01-03,13
2016010314,24288.0620000,0.000000000,2016-01-03,14
2016010315,23593.1760000,0.000000000,2016-01-03,15
2016010316,22658.3730000,0.000000000,2016-01-03,16
2016010317,22192.4450000,0.000000000,2016-01-03,17
2016010318,19611.5570000,0.000000000,2016-01-03,18
2016010319,19008.0080000,0.000000000,2016-01-03,19
2016010320,17016.9060000,0.000000000,2016-01-03,20
2016010321,16031.6700000,0.000000000,2016-01-03,21
2016010322,14543.3340000,0.000000000,2016-01-03,22
2016010323,13651.6130000,0.000000000,2016-01-03,23
2016010324,12767.4420000,0.000000000,2016-01-03,24
2016010325,12002.4320000,0.000000000,2016-01-03,25
2016010326,11689.8330000,0.000000000,2016-01-03,26
2016010327,11557.8940000,0.000000000,2016-01-03,27
2016010328,10943.8490000,0.000000000,2016-01-03,28
2016010329,11238.3890000,0.000000000,2016-01-03,29
2016010330,11018.0210000,0.000000000,2016-01-03,30
2016010331,11495.8540000,0.000000000,2016-01-03,31
2016010332,11597.5080000,0.000000000,2016-01-03,32
2016010333,11983.3620000,0.000000000,2016-01-03,33
2016010334,10518.6780000,0.000000000,2016-01-03,34
2016010335,8471.5220000,0.000000000,2016-01-03,35
2016010336,7614.2990000,0.000000000,2016-01-03,36
2016010337,7519.8520000,0.000000000,2016-01-03,37
2016010338,8291.4880000,0.000000000,2016-01-03,38
2016010339,9404.4690000,0.000000000,2016-01-03,39
2016010340,10060.5610000,0.000000000,2016-01-03,40
2016010341,10592.2760000,0.000000000,2016-01-03,41
2016010342,10399.7520000,0.000000000,2016-01-03,42
2016010343,11689.7880000,0.000000000,2016-01-03,43
2016010344,11822.2380000,0.000000000,2016-01-03,44
2016010345,12590.7770000,0.000000000,2016-01-03,45
2016010346,14535.5590000,0.000000000,2016-01-03,46
2016010347,15850.1550000,0.000000000,2016-01-03,47
2016010348,18985.8090000,0.000000000,2016-01-03,48
2016010401,19607.3930000,0.000000000,2016-01-04,1
2016010402,21075.9060000,0.000000000,2016-01-04,2
2016010403,21279.8900000,0.000000000,2016-01-04,3
2016010404,21289.0140000,0.000000000,2016-01-04,4
2016010405,21748.2380000,0.000000000,2016-01-04,5
