,TSDF,settlementDate,settlementPeriod
2016111235,42713,11/12/2016,35
2016111236,42814,11/12/2016,36
2016111237,42648,11/12/2016,37
2016111238,41592,11/12/2016,38
2016111239,40029,11/12/2016,39
2016111240,38616,11/12/2016,40
2016111241,37741,11/12/2016,41
2016111242,36267,11/12/2016,42
2016111243,35730,11/12/2016,43
2016111244,34293,11/12/2016,44
2016111245,34207,11/12/2016,45
2016111246,32983,11/12/2016,46
2016111247,30086,11/12/2016,47
2016111248,29372,11/12/2016,48
2016111301,28277,11/13/2016,1
2016111302,28720,11/13/2016,2
2016111303,28188,11/13/2016,3
2016111304,27663,11/13/2016,4
2016111305,27173,11/13/2016,5
2016111306,26767,11/13/2016,6
2016111307,26134,11/13/2016,7
2016111308,25565,11/13/2016,8
2016111309,25512,11/13/2016,9
2016111310,25401,11/13/2016,10
2016111311,26227,11/13/2016,11
2016111312,26445,11/13/2016,12
2016111313,26809,11/13/2016,13
2016111314,27493,11/13/2016,14
2016111315,28809,11/13/2016,15
2016111316,29296,11/13/2016,16
2016111317,31092,11/13/2016,17
2016111318,32606,11/13/2016,18
2016111319,33351,11/13/2016,19
2016111320,34218,11/13/2016,20
2016111321,34631,11/13/2016,21
2016111322,34549,11/13/2016,22
2016111323,34242,11/13/2016,23
2016111324,34659,11/13/2016,24
2016111325,34941,11/13/2016,25
2016111326,35079,11/13/2016,26
2016111327,34806,11/13/2016,27
2016111328,33018,11/13/2016,28
2016111329,33718,11/13/2016,29
2016111330,34316,11/13/2016,30
2016111331,35166,11/13/2016,31
2016111332,36514,11/13/2016,32
2016111333,38686,11/13/2016,33
2016111334,41284,11/13/2016,34
2016111335,43183,11/13/2016,35
2016111336,43196,11/13/2016,36
2016111337,42408,11/13/2016,37
2016111338,41285,11/13/2016,38
2016111339,40604,11/13/2016,39
2016111340,39359,11/13/2016,40
2016111341,40121,11/13/2016,41
2016111342,38646,11/13/2016,42
2016111343,37458,11/13/2016,43
2016111344,35516,11/13/2016,44
2016111345,33757,11/13/2016,45
2016111346,32206,11/13/2016,46
2016111347,29059,11/13/2016,47
2016111348,28346,11/13/2016,48
2016111401,27751,11/14/2016,1
2016111402,27938,11/14/2016,2
2016111403,27962,11/14/2016,3
2016111404,27501,11/14/2016,4
2016111405,26895,11/14/2016,5
2016111406,26682,11/14/2016,6
2016111407,27260,11/14/2016,7
2016111408,27004,11/14/2016,8
2016111409,27718,11/14/2016,9
2016111410,27873,11/14/2016,10
2016111411,28693,11/14/2016,11
2016111412,29496,11/14/2016,12
2016111413,32152,11/14/2016,13
2016111414,35567,11/14/2016,14
2016111415,39386,11/14/2016,15
2016111416,40975,11/14/2016,16
2016111417,41594,11/14/2016,17
2016111418,41504,11/14/2016,18
2016111419,42166,11/14/2016,19
2016111420,42517,11/14/2016,20
2016111421,42494,11/14/2016,21
2016111422,42219,11/14/2016,22
2016111423,42203,11/14/2016,23
2016111424,42357,11/14/2016,24
2016111425,42700,11/14/2016,25
2016111426,42480,11/14/2016,26
2016111427,42333,11/14/2016,27
2016111428,42100,11/14/2016,28
2016111429,42130,11/14/2016,29
2016111430,42120,11/14/2016,30
2016111431,41752,11/14/2016,31
2016111432,43097,11/14/2016,32
2016111433,43986,11/14/2016,33
2016111434,46434,11/14/2016,34
2016111435,47543,11/14/2016,35
2016111436,47227,11/14/2016,36
2016111437,47476,11/14/2016,37
2016111438,46643,11/14/2016,38
2016111439,46019,11/14/2016,39
2016111440,44823,11/14/2016,40
2016111441,43409,11/14/2016,41
2016111442,41812,11/14/2016,42
2016111443,39853,11/14/2016,43
2016111444,37501,11/14/2016,44
2016111445,35468,11/14/2016,45
2016111446,33398,11/14/2016,46
2016111447,31305,11/14/2016,47
2016111448,30491,11/14/2016,48
2016111501,31291,11/15/2016,1
2016111502,31342,11/15/2016,2
2016111503,29946,11/15/2016,3
2016111504,29398,11/15/2016,4
2016111505,28873,11/15/2016,5
2016111506,28513,11/15/2016,6
2016111507,27773,11/15/2016,7
2016111508,27382,11/15/2016,8
2016111509,27340,11/15/2016,9
2016111510,27478,11/15/2016,10
2016111511,27425,11/15/2016,11
2016111512,28455,11/15/2016,12
2016111513,31411,11/15/2016,13
2016111514,35060,11/15/2016,14
2016111515,38860,11/15/2016,15
2016111516,40496,11/15/2016,16
2016111517,41301,11/15/2016,17
2016111518,41400,11/15/2016,18
2016111519,41778,11/15/2016,19
2016111520,41800,11/15/2016,20
2016111521,41755,11/15/2016,21
2016111522,41807,11/15/2016,22
2016111523,41915,11/15/2016,23
2016111524,41912,11/15/2016,24
2016111525,42025,11/15/2016,25
2016111526,42100,11/15/2016,26
2016111527,41916,11/15/2016,27
2016111528,41935,11/15/2016,28
2016111529,42004,11/15/2016,29
2016111530,41900,11/15/2016,30
2016111531,41984,11/15/2016,31
2016111532,43127,11/15/2016,32
2016111533,43058,11/15/2016,33
2016111534,45677,11/15/2016,34
2016111535,46500,11/15/2016,35
2016111536,46285,11/15/2016,36
2016111537,45848,11/15/2016,37
2016111538,45158,11/15/2016,38
2016111539,45038,11/15/2016,39
2016111540,43655,11/15/2016,40
2016111541,43337,11/15/2016,41
2016111542,41726,11/15/2016,42
2016111543,40083,11/15/2016,43
2016111544,37816,11/15/2016,44
2016111545,35581,11/15/2016,45
2016111546,33449,11/15/2016,46
2016111547,30625,11/15/2016,47
2016111548,29199,11/15/2016,48
2016111601,28977,11/16/2016,1
2016111602,28614,11/16/2016,2
2016111603,28467,11/16/2016,3
2016111604,27692,11/16/2016,4
2016111605,26438,11/16/2016,5
2016111606,26450,11/16/2016,6
2016111607,27073,11/16/2016,7
2016111608,26444,11/16/2016,8
2016111609,26429,11/16/2016,9
2016111610,26587,11/16/2016,10
2016111611,27181,11/16/2016,11
2016111612,28160,11/16/2016,12
2016111613,30932,11/16/2016,13
2016111614,33592,11/16/2016,14
2016111615,37399,11/16/2016,15
2016111616,38740,11/16/2016,16
2016111617,39351,11/16/2016,17
2016111618,39400,11/16/2016,18
2016111619,40101,11/16/2016,19
2016111620,39770,11/16/2016,20
2016111621,39282,11/16/2016,21
2016111622,39290,11/16/2016,22
2016111623,39312,11/16/2016,23
2016111624,39156,11/16/2016,24
2016111625,39870,11/16/2016,25
2016111626,37600,11/16/2016,26
2016111627,38900,11/16/2016,27
2016111628,39023,11/16/2016,28
2016111629,39235,11/16/2016,29
2016111630,39378,11/16/2016,30
2016111631,39950,11/16/2016,31
2016111632,41571,11/16/2016,32
2016111633,42264,11/16/2016,33
2016111634,45194,11/16/2016,34
2016111635,46784,11/16/2016,35
2016111636,46806,11/16/2016,36
2016111637,46782,11/16/2016,37
2016111638,45850,11/16/2016,38
2016111639,45706,11/16/2016,39
2016111640,44253,11/16/2016,40
2016111641,43201,11/16/2016,41
2016111642,41595,11/16/2016,42
2016111643,39996,11/16/2016,43
2016111644,37679,11/16/2016,44
2016111645,35428,11/16/2016,45
2016111646,33358,11/16/2016,46
2016111647,30602,11/16/2016,47
2016111648,29279,11/16/2016,48
2016111701,29614,11/17/2016,1
2016111702,30417,11/17/2016,2
2016111703,28454,11/17/2016,3
2016111704,27610,11/17/2016,4
2016111705,27344,11/17/2016,5
2016111706,27046,11/17/2016,6
2016111707,27116,11/17/2016,7
2016111708,26717,11/17/2016,8
2016111709,26146,11/17/2016,9
2016111710,26411,11/17/2016,10
2016111711,27470,11/17/2016,11
2016111712,28335,11/17/2016,12
2016111713,30953,11/17/2016,13
2016111714,34632,11/17/2016,14
2016111715,38568,11/17/2016,15
2016111716,40142,11/17/2016,16
2016111717,40900,11/17/2016,17
2016111718,40784,11/17/2016,18
2016111719,41250,11/17/2016,19
2016111720,41300,11/17/2016,20
2016111721,41253,11/17/2016,21
2016111722,41361,11/17/2016,22
2016111723,41484,11/17/2016,23
2016111724,41128,11/17/2016,24
2016111725,41200,11/17/2016,25
2016111726,41300,11/17/2016,26
2016111727,41524,11/17/2016,27
2016111728,41559,11/17/2016,28
2016111729,41505,11/17/2016,29
2016111730,41474,11/17/2016,30
2016111731,41976,11/17/2016,31
2016111732,43138,11/17/2016,32
2016111733,43666,11/17/2016,33
2016111734,46200,11/17/2016,34
2016111735,47017,11/17/2016,35
2016111736,46728,11/17/2016,36
2016111737,46168,11/17/2016,37
2016111738,45501,11/17/2016,38
2016111739,44773,11/17/2016,39
2016111740,43601,11/17/2016,40
2016111741,42258,11/17/2016,41
2016111742,40972,11/17/2016,42
2016111743,39740,11/17/2016,43
2016111744,37217,11/17/2016,44
2016111745,36483,11/17/2016,45
2016111746,34418,11/17/2016,46
2016111747,30973,11/17/2016,47
2016111748,29618,11/17/2016,48
2016111801,29456,11/18/2016,1
2016111802,29684,11/18/2016,2
2016111803,30009,11/18/2016,3
2016111804,29534,11/18/2016,4
2016111805,29218,11/18/2016,5
2016111806,29269,11/18/2016,6
2016111807,28973,11/18/2016,7
2016111808,28543,11/18/2016,8
2016111809,29132,11/18/2016,9
2016111810,29307,11/18/2016,10
2016111811,30051,11/18/2016,11
2016111812,30266,11/18/2016,12
2016111813,32709,11/18/2016,13
2016111814,36352,11/18/2016,14
2016111815,39829,11/18/2016,15
2016111816,41282,11/18/2016,16
2016111817,41900,11/18/2016,17
2016111818,41901,11/18/2016,18
2016111819,42100,11/18/2016,19
2016111820,41983,11/18/2016,20
2016111821,41834,11/18/2016,21
2016111822,41800,11/18/2016,22
2016111823,40955,11/18/2016,23
2016111824,40928,11/18/2016,24
2016111825,40490,11/18/2016,25
2016111826,40608,11/18/2016,26
2016111827,41300,11/18/2016,27
2016111828,41383,11/18/2016,28
2016111829,41687,11/18/2016,29
2016111830,42097,11/18/2016,30
2016111831,41977,11/18/2016,31
2016111832,43201,11/18/2016,32
2016111833,43909,11/18/2016,33
2016111834,46421,11/18/2016,34
2016111835,46758,11/18/2016,35
2016111836,46560,11/18/2016,36
2016111837,46365,11/18/2016,37
2016111838,45379,11/18/2016,38
2016111839,44531,11/18/2016,39
2016111840,43065,11/18/2016,40
2016111841,42210,11/18/2016,41
2016111842,40312,11/18/2016,42
2016111843,38135,11/18/2016,43
2016111844,36399,11/18/2016,44
2016111845,35100,11/18/2016,45
2016111846,33721,11/18/2016,46
2016111847,32028,11/18/2016,47
2016111848,31451,11/18/2016,48
2016111901,31355,11/19/2016,1
2016111902,31455,11/19/2016,2
2016111903,30696,11/19/2016,3
2016111904,29908,11/19/2016,4
2016111905,29070,11/19/2016,5
2016111906,28884,11/19/2016,6
2016111907,28109,11/19/2016,7
2016111908,27826,11/19/2016,8
2016111909,28041,11/19/2016,9
2016111910,27979,11/19/2016,10
2016111911,27549,11/19/2016,11
2016111912,28059,11/19/2016,12
2016111913,28622,11/19/2016,13
2016111914,28860,11/19/2016,14
2016111915,32286,11/19/2016,15
2016111916,33625,11/19/2016,16
2016111917,34324,11/19/2016,17
2016111918,36100,11/19/2016,18
2016111919,37628,11/19/2016,19
2016111920,37916,11/19/2016,20
2016111921,38213,11/19/2016,21
2016111922,37610,11/19/2016,22
2016111923,36488,11/19/2016,23
2016111924,36368,11/19/2016,24
2016111925,36328,11/19/2016,25
2016111926,36504,11/19/2016,26
2016111927,36627,11/19/2016,27
2016111928,36813,11/19/2016,28
2016111929,37153,11/19/2016,29
2016111930,37467,11/19/2016,30
2016111931,38073,11/19/2016,31
2016111932,38835,11/19/2016,32
2016111933,41045,11/19/2016,33
2016111934,43866,11/19/2016,34
2016111935,45304,11/19/2016,35
2016111936,45259,11/19/2016,36
2016111937,44805,11/19/2016,37
2016111938,43638,11/19/2016,38
2016111939,42275,11/19/2016,39
2016111940,40814,11/19/2016,40
2016111941,39797,11/19/2016,41
2016111942,38226,11/19/2016,42
2016111943,36794,11/19/2016,43
2016111944,35268,11/19/2016,44
2016111945,33535,11/19/2016,45
2016111946,32314,11/19/2016,46
2016111947,30730,11/19/2016,47
2016111948,29600,11/19/2016,48
2016112001,29100,11/20/2016,1
2016112002,29485,11/20/2016,2
2016112003,29502,11/20/2016,3
2016112004,29118,11/20/2016,4
2016112005,28547,11/20/2016,5
2016112006,28158,11/20/2016,6
2016112007,27407,11/20/2016,7
2016112008,26920,11/20/2016,8
2016112009,26759,11/20/2016,9
2016112010,26608,11/20/2016,10
2016112011,26551,11/20/2016,11
2016112012,26757,11/20/2016,12
2016112013,27866,11/20/2016,13
2016112014,28511,11/20/2016,14
2016112015,28550,11/20/2016,15
2016112016,28427,11/20/2016,16
2016112017,30223,11/20/2016,17
2016112018,32200,11/20/2016,18
2016112019,34225,11/20/2016,19
2016112020,35389,11/20/2016,20
2016112021,36284,11/20/2016,21
2016112022,36886,11/20/2016,22
2016112023,35816,11/20/2016,23
2016112024,36333,11/20/2016,24
2016112025,36902,11/20/2016,25
2016112026,37038,11/20/2016,26
2016112027,37795,11/20/2016,27
2016112028,37755,11/20/2016,28
2016112029,37885,11/20/2016,29
2016112030,38004,11/20/2016,30
2016112031,38661,11/20/2016,31
2016112032,40076,11/20/2016,32
2016112033,42416,11/20/2016,33
2016112034,45351,11/20/2016,34
2016112035,46300,11/20/2016,35
2016112036,44861,11/20/2016,36
2016112037,44639,11/20/2016,37
2016112038,43870,11/20/2016,38
2016112039,42712,11/20/2016,39
2016112040,41422,11/20/2016,40
2016112041,40755,11/20/2016,41
2016112042,39420,11/20/2016,42
2016112043,37795,11/20/2016,43
2016112044,35909,11/20/2016,44
2016112045,34460,11/20/2016,45
2016112046,32800,11/20/2016,46
2016112047,30878,11/20/2016,47
2016112048,29836,11/20/2016,48
2016112101,29614,11/21/2016,1
2016112102,30042,11/21/2016,2
2016112103,30525,11/21/2016,3
2016112104,30037,11/21/2016,4
2016112105,29477,11/21/2016,5
2016112106,29336,11/21/2016,6
2016112107,29075,11/21/2016,7
2016112108,28499,11/21/2016,8
2016112109,28312,11/21/2016,9
2016112110,28341,11/21/2016,10
2016112111,29068,11/21/2016,11
2016112112,30298,11/21/2016,12
2016112113,32762,11/21/2016,13
2016112114,35831,11/21/2016,14
2016112115,40149,11/21/2016,15
2016112116,42234,11/21/2016,16
2016112117,43041,11/21/2016,17
2016112118,43100,11/21/2016,18
2016112119,44051,11/21/2016,19
2016112120,44457,11/21/2016,20
2016112121,44500,11/21/2016,21
2016112122,44842,11/21/2016,22
2016112123,45106,11/21/2016,23
2016112124,45037,11/21/2016,24
2016112125,45200,11/21/2016,25
2016112126,44999,11/21/2016,26
2016112127,44751,11/21/2016,27
2016112128,44501,11/21/2016,28
2016112129,44549,11/21/2016,29
2016112130,44289,11/21/2016,30
2016112131,44200,11/21/2016,31
2016112132,45433,11/21/2016,32
2016112133,47491,11/21/2016,33
2016112134,48498,11/21/2016,34
2016112135,48481,11/21/2016,35
2016112136,48092,11/21/2016,36
2016112137,47538,11/21/2016,37
2016112138,46920,11/21/2016,38
2016112139,46193,11/21/2016,39
2016112140,44901,11/21/2016,40
2016112141,43885,11/21/2016,41
2016112142,42046,11/21/2016,42
2016112143,39780,11/21/2016,43
2016112144,37444,11/21/2016,44
2016112145,35098,11/21/2016,45
2016112146,32887,11/21/2016,46
2016112147,30930,11/21/2016,47
2016112148,30319,11/21/2016,48
2016112201,30083,11/22/2016,1
2016112202,30500,11/22/2016,2
2016112203,30180,11/22/2016,3
2016112204,29554,11/22/2016,4
2016112205,29047,11/22/2016,5
2016112206,28614,11/22/2016,6
2016112207,28128,11/22/2016,7
2016112208,27686,11/22/2016,8
2016112209,27430,11/22/2016,9
2016112210,27439,11/22/2016,10
2016112211,28302,11/22/2016,11
2016112212,29601,11/22/2016,12
2016112213,32483,11/22/2016,13
2016112214,35500,11/22/2016,14
2016112215,39587,11/22/2016,15
2016112216,41042,11/22/2016,16
2016112217,41564,11/22/2016,17
2016112218,41323,11/22/2016,18
2016112219,41818,11/22/2016,19
2016112220,41989,11/22/2016,20
2016112221,42032,11/22/2016,21
2016112222,41797,11/22/2016,22
2016112223,41748,11/22/2016,23
2016112224,41621,11/22/2016,24
2016112225,41708,11/22/2016,25
2016112226,41653,11/22/2016,26
2016112227,42137,11/22/2016,27
2016112228,41794,11/22/2016,28
2016112229,41749,11/22/2016,29
2016112230,41778,11/22/2016,30
2016112231,41826,11/22/2016,31
2016112232,43028,11/22/2016,32
2016112233,44470,11/22/2016,33
2016112234,46810,11/22/2016,34
2016112235,47779,11/22/2016,35
2016112236,47908,11/22/2016,36
2016112237,47625,11/22/2016,37
2016112238,46754,11/22/2016,38
2016112239,45816,11/22/2016,39
2016112240,44902,11/22/2016,40
2016112241,43523,11/22/2016,41
2016112242,41919,11/22/2016,42
2016112243,39896,11/22/2016,43
2016112244,37695,11/22/2016,44
2016112245,35465,11/22/2016,45
2016112246,33286,11/22/2016,46
2016112247,31946,11/22/2016,47
2016112248,30439,11/22/2016,48
2016112301,31263,11/23/2016,1
2016112302,31719,11/23/2016,2
2016112303,31516,11/23/2016,3
2016112304,31032,11/23/2016,4
2016112305,30602,11/23/2016,5
2016112306,30498,11/23/2016,6
2016112307,30067,11/23/2016,7
2016112308,29601,11/23/2016,8
2016112309,29174,11/23/2016,9
2016112310,29187,11/23/2016,10
2016112311,29761,11/23/2016,11
2016112312,30914,11/23/2016,12
2016112313,34010,11/23/2016,13
2016112314,37206,11/23/2016,14
2016112315,41128,11/23/2016,15
2016112316,43016,11/23/2016,16
2016112317,43100,11/23/2016,17
2016112318,42821,11/23/2016,18
2016112319,43400,11/23/2016,19
2016112320,43360,11/23/2016,20
2016112321,43157,11/23/2016,21
2016112322,42900,11/23/2016,22
2016112323,42468,11/23/2016,23
2016112324,42129,11/23/2016,24
2016112325,42004,11/23/2016,25
2016112326,41793,11/23/2016,26
2016112327,42297,11/23/2016,27
2016112328,42200,11/23/2016,28
2016112329,42315,11/23/2016,29
2016112330,42387,11/23/2016,30
2016112331,42537,11/23/2016,31
2016112332,43871,11/23/2016,32
2016112333,46208,11/23/2016,33
2016112334,48104,11/23/2016,34
2016112335,48453,11/23/2016,35
2016112336,48419,11/23/2016,36
2016112337,48194,11/23/2016,37
2016112338,47899,11/23/2016,38
2016112339,46811,11/23/2016,39
2016112340,45598,11/23/2016,40
2016112341,44326,11/23/2016,41
2016112342,42779,11/23/2016,42
2016112343,40810,11/23/2016,43
2016112344,38487,11/23/2016,44
2016112345,36337,11/23/2016,45
2016112346,34109,11/23/2016,46
2016112347,31990,11/23/2016,47
2016112348,30655,11/23/2016,48
2016112401,31209,11/24/2016,1
2016112402,31690,11/24/2016,2
2016112403,31536,11/24/2016,3
2016112404,30788,11/24/2016,4
2016112405,30319,11/24/2016,5
2016112406,30212,11/24/2016,6
2016112407,29781,11/24/2016,7
2016112408,29322,11/24/2016,8
2016112409,28896,11/24/2016,9
2016112410,28944,11/24/2016,10
2016112411,29768,11/24/2016,11
2016112412,30493,11/24/2016,12
2016112413,33333,11/24/2016,13
2016112414,36802,11/24/2016,14
2016112415,40727,11/24/2016,15
2016112416,42391,11/24/2016,16
2016112417,42610,11/24/2016,17
2016112418,42288,11/24/2016,18
2016112419,42801,11/24/2016,19
2016112420,42740,11/24/2016,20
2016112421,42450,11/24/2016,21
2016112422,42138,11/24/2016,22
2016112423,41759,11/24/2016,23
2016112424,41533,11/24/2016,24
2016112425,41581,11/24/2016,25
2016112426,41379,11/24/2016,26
2016112427,41947,11/24/2016,27
2016112428,41879,11/24/2016,28
2016112429,42042,11/24/2016,29
2016112430,42266,11/24/2016,30
2016112431,42438,11/24/2016,31
2016112432,43884,11/24/2016,32
2016112433,45740,11/24/2016,33
2016112434,47714,11/24/2016,34
2016112435,48140,11/24/2016,35
2016112436,48041,11/24/2016,36
2016112437,47895,11/24/2016,37
2016112438,47654,11/24/2016,38
2016112439,46858,11/24/2016,39
2016112440,45713,11/24/2016,40
2016112441,44187,11/24/2016,41
2016112442,42670,11/24/2016,42
2016112443,40823,11/24/2016,43
2016112444,38374,11/24/2016,44
2016112445,36538,11/24/2016,45
2016112446,34525,11/24/2016,46
2016112447,31979,11/24/2016,47
2016112448,30559,11/24/2016,48
2016112501,31008,11/25/2016,1
2016112502,31334,11/25/2016,2
2016112503,31342,11/25/2016,3
2016112504,30636,11/25/2016,4
2016112505,30382,11/25/2016,5
2016112506,30208,11/25/2016,6
2016112507,30037,11/25/2016,7
2016112508,29631,11/25/2016,8
2016112509,29299,11/25/2016,9
2016112510,29429,11/25/2016,10
2016112511,30096,11/25/2016,11
2016112512,30817,11/25/2016,12
2016112513,35775,11/25/2016,13
2016112514,38768,11/25/2016,14
2016112515,41670,11/25/2016,15
2016112516,42600,11/25/2016,16
2016112517,42200,11/25/2016,17
2016112518,41924,11/25/2016,18
2016112519,42422,11/25/2016,19
2016112520,42049,11/25/2016,20
2016112521,41927,11/25/2016,21
2016112522,41670,11/25/2016,22
2016112523,41531,11/25/2016,23
2016112524,41513,11/25/2016,24
2016112525,41236,11/25/2016,25
2016112526,40512,11/25/2016,26
2016112527,40470,11/25/2016,27
2016112528,40618,11/25/2016,28
2016112529,41245,11/25/2016,29
2016112530,41685,11/25/2016,30
2016112531,42233,11/25/2016,31
2016112532,43566,11/25/2016,32
2016112533,44779,11/25/2016,33
2016112534,47003,11/25/2016,34
2016112535,47942,11/25/2016,35
2016112536,47675,11/25/2016,36
2016112537,46951,11/25/2016,37
2016112538,46225,11/25/2016,38
2016112539,45465,11/25/2016,39
2016112540,44019,11/25/2016,40
2016112541,42656,11/25/2016,41
2016112542,40970,11/25/2016,42
2016112543,39337,11/25/2016,43
2016112544,37256,11/25/2016,44
2016112545,35793,11/25/2016,45
2016112546,34383,11/25/2016,46
2016112547,31627,11/25/2016,47
2016112548,30400,11/25/2016,48
2016112601,29879,11/26/2016,1
2016112602,30366,11/26/2016,2
2016112603,30731,11/26/2016,3
2016112604,30505,11/26/2016,4
2016112605,30118,11/26/2016,5
2016112606,29914,11/26/2016,6
2016112607,29471,11/26/2016,7
2016112608,28784,11/26/2016,8
2016112609,28319,11/26/2016,9
2016112610,28176,11/26/2016,10
2016112611,28387,11/26/2016,11
2016112612,28928,11/26/2016,12
2016112613,29959,11/26/2016,13
2016112614,30649,11/26/2016,14
2016112615,32765,11/26/2016,15
2016112616,33976,11/26/2016,16
2016112617,35908,11/26/2016,17
2016112618,37100,11/26/2016,18
2016112619,38234,11/26/2016,19
2016112620,38533,11/26/2016,20
2016112621,38700,11/26/2016,21
2016112622,38171,11/26/2016,22
2016112623,37999,11/26/2016,23
2016112624,37934,11/26/2016,24
2016112625,38125,11/26/2016,25
2016112626,38061,11/26/2016,26
2016112627,37450,11/26/2016,27
2016112628,37768,11/26/2016,28
2016112629,37855,11/26/2016,29
2016112630,38312,11/26/2016,30
2016112631,38889,11/26/2016,31
2016112632,39598,11/26/2016,32
2016112633,41524,11/26/2016,33
2016112634,43875,11/26/2016,34
2016112635,44800,11/26/2016,35
2016112636,44867,11/26/2016,36
2016112637,44424,11/26/2016,37
2016112638,43375,11/26/2016,38
2016112639,42437,11/26/2016,39
2016112640,41170,11/26/2016,40
2016112641,40159,11/26/2016,41
2016112642,38598,11/26/2016,42
2016112643,37226,11/26/2016,43
2016112644,35681,11/26/2016,44
2016112645,33963,11/26/2016,45
2016112646,32676,11/26/2016,46
2016112647,30965,11/26/2016,47
2016112648,29850,11/26/2016,48
2016112701,29789,11/27/2016,1
2016112702,29834,11/27/2016,2
2016112703,29935,11/27/2016,3
2016112704,29461,11/27/2016,4
2016112705,29059,11/27/2016,5
2016112706,28804,11/27/2016,6
2016112707,28164,11/27/2016,7
2016112708,27750,11/27/2016,8
2016112709,27343,11/27/2016,9
2016112710,27146,11/27/2016,10
2016112711,26990,11/27/2016,11
2016112712,27287,11/27/2016,12
2016112713,28323,11/27/2016,13
2016112714,28967,11/27/2016,14
2016112715,28584,11/27/2016,15
2016112716,28856,11/27/2016,16
2016112717,30750,11/27/2016,17
2016112718,32650,11/27/2016,18
2016112719,34308,11/27/2016,19
2016112720,35412,11/27/2016,20
2016112721,36202,11/27/2016,21
2016112722,36600,11/27/2016,22
2016112723,36740,11/27/2016,23
2016112724,37087,11/27/2016,24
2016112725,37064,11/27/2016,25
2016112726,37200,11/27/2016,26
2016112727,37108,11/27/2016,27
2016112728,37169,11/27/2016,28
2016112729,37327,11/27/2016,29
2016112730,37599,11/27/2016,30
2016112731,38191,11/27/2016,31
2016112732,39729,11/27/2016,32
2016112733,42191,11/27/2016,33
2016112734,44462,11/27/2016,34
2016112735,45100,11/27/2016,35
2016112736,44944,11/27/2016,36
2016112737,44361,11/27/2016,37
2016112738,43452,11/27/2016,38
2016112739,42603,11/27/2016,39
2016112740,41505,11/27/2016,40
2016112741,40518,11/27/2016,41
2016112742,38900,11/27/2016,42
2016112743,37500,11/27/2016,43
2016112744,35573,11/27/2016,44
2016112745,34238,11/27/2016,45
2016112746,32320,11/27/2016,46
2016112747,30347,11/27/2016,47
2016112748,29565,11/27/2016,48
2016112801,30317,11/28/2016,1
2016112802,30258,11/28/2016,2
2016112803,29794,11/28/2016,3
2016112804,29653,11/28/2016,4
2016112805,29168,11/28/2016,5
2016112806,29208,11/28/2016,6
2016112807,28981,11/28/2016,7
2016112808,28463,11/28/2016,8
2016112809,28115,11/28/2016,9
2016112810,28164,11/28/2016,10
2016112811,28968,11/28/2016,11
2016112812,30018,11/28/2016,12
2016112813,32715,11/28/2016,13
2016112814,36277,11/28/2016,14
2016112815,40426,11/28/2016,15
2016112816,42631,11/28/2016,16
2016112817,43167,11/28/2016,17
2016112818,43600,11/28/2016,18
2016112819,44100,11/28/2016,19
2016112820,44086,11/28/2016,20
2016112821,43573,11/28/2016,21
2016112822,43000,11/28/2016,22
2016112823,42914,11/28/2016,23
2016112824,42630,11/28/2016,24
2016112825,41465,11/28/2016,25
2016112826,41222,11/28/2016,26
2016112827,41217,11/28/2016,27
2016112828,41116,11/28/2016,28
2016112829,41040,11/28/2016,29
2016112830,41000,11/28/2016,30
2016112831,41050,11/28/2016,31
2016112832,42918,11/28/2016,32
2016112833,44966,11/28/2016,33
2016112834,47271,11/28/2016,34
2016112835,48670,11/28/2016,35
2016112836,48608,11/28/2016,36
2016112837,48811,11/28/2016,37
2016112838,48253,11/28/2016,38
2016112839,47365,11/28/2016,39
2016112840,46129,11/28/2016,40
2016112841,44942,11/28/2016,41
2016112842,43264,11/28/2016,42
2016112843,42410,11/28/2016,43
2016112844,39942,11/28/2016,44
2016112845,37562,11/28/2016,45
2016112846,35494,11/28/2016,46
2016112847,32294,11/28/2016,47
2016112848,31237,11/28/2016,48
2016112901,32443,11/29/2016,1
2016112902,32847,11/29/2016,2
2016112903,32449,11/29/2016,3
2016112904,31836,11/29/2016,4
2016112905,31532,11/29/2016,5
2016112906,31330,11/29/2016,6
2016112907,31029,11/29/2016,7
2016112908,30523,11/29/2016,8
2016112909,30446,11/29/2016,9
2016112910,30488,11/29/2016,10
2016112911,31687,11/29/2016,11
2016112912,32694,11/29/2016,12
2016112913,35153,11/29/2016,13
2016112914,38619,11/29/2016,14
2016112915,42005,11/29/2016,15
2016112916,43834,11/29/2016,16
2016112917,44600,11/29/2016,17
2016112918,44316,11/29/2016,18
2016112919,44600,11/29/2016,19
2016112920,44386,11/29/2016,20
2016112921,43890,11/29/2016,21
2016112922,43500,11/29/2016,22
2016112923,43638,11/29/2016,23
2016112924,43647,11/29/2016,24
2016112925,43263,11/29/2016,25
2016112926,43052,11/29/2016,26
2016112927,42920,11/29/2016,27
2016112928,43049,11/29/2016,28
2016112929,43401,11/29/2016,29
2016112930,43550,11/29/2016,30
2016112931,43842,11/29/2016,31
2016112932,45190,11/29/2016,32
2016112933,47571,11/29/2016,33
2016112934,49462,11/29/2016,34
2016112935,49900,11/29/2016,35
2016112936,49721,11/29/2016,36
2016112937,49613,11/29/2016,37
2016112938,49614,11/29/2016,38
2016112939,48879,11/29/2016,39
2016112940,47636,11/29/2016,40
