,TSDF,settlementDate,settlementPeriod
2016010420,42093,1/4/2016,20
2016010421,42820,1/4/2016,21
2016010422,43117,1/4/2016,22
2016010423,42467,1/4/2016,23
2016010424,42753,1/4/2016,24
2016010425,43129,1/4/2016,25
2016010426,42711,1/4/2016,26
2016010427,42680,1/4/2016,27
2016010428,42552,1/4/2016,28
2016010429,42850,1/4/2016,29
2016010430,43049,1/4/2016,30
2016010431,43262,1/4/2016,31
2016010432,44276,1/4/2016,32
2016010433,45982,1/4/2016,33
2016010434,47511,1/4/2016,34
2016010435,48891,1/4/2016,35
2016010436,47590,1/4/2016,36
2016010437,47502,1/4/2016,37
2016010438,47343,1/4/2016,38
2016010439,46502,1/4/2016,39
2016010440,44639,1/4/2016,40
2016010441,43195,1/4/2016,41
2016010442,41397,1/4/2016,42
2016010443,39294,1/4/2016,43
2016010444,36851,1/4/2016,44
2016010445,34636,1/4/2016,45
2016010446,32404,1/4/2016,46
2016010447,30006,1/4/2016,47
2016010448,28796,1/4/2016,48
2016010501,28630,1/5/2016,1
2016010502,28792,1/5/2016,2
2016010503,29321,1/5/2016,3
2016010504,29002,1/5/2016,4
2016010505,28897,1/5/2016,5
2016010506,28740,1/5/2016,6
2016010507,28334,1/5/2016,7
2016010508,27857,1/5/2016,8
2016010509,27398,1/5/2016,9
2016010510,27285,1/5/2016,10
2016010511,27555,1/5/2016,11
2016010512,28095,1/5/2016,12
2016010513,30203,1/5/2016,13
2016010514,33593,1/5/2016,14
2016010515,37539,1/5/2016,15
2016010516,40144,1/5/2016,16
2016010517,41543,1/5/2016,17
2016010518,41513,1/5/2016,18
2016010519,42324,1/5/2016,19
2016010520,42578,1/5/2016,20
2016010521,42601,1/5/2016,21
2016010522,42893,1/5/2016,22
2016010523,42883,1/5/2016,23
2016010524,42844,1/5/2016,24
2016010525,42891,1/5/2016,25
2016010526,42665,1/5/2016,26
2016010527,42641,1/5/2016,27
2016010528,42760,1/5/2016,28
2016010529,42719,1/5/2016,29
2016010530,42676,1/5/2016,30
2016010531,42723,1/5/2016,31
2016010532,43524,1/5/2016,32
2016010533,45391,1/5/2016,33
2016010534,47855,1/5/2016,34
2016010535,49021,1/5/2016,35
2016010536,47976,1/5/2016,36
2016010537,47879,1/5/2016,37
2016010538,47954,1/5/2016,38
2016010539,46936,1/5/2016,39
2016010540,45518,1/5/2016,40
2016010541,44158,1/5/2016,41
2016010542,42074,1/5/2016,42
2016010543,40090,1/5/2016,43
2016010544,37776,1/5/2016,44
2016010545,35363,1/5/2016,45
2016010546,33322,1/5/2016,46
2016010547,30809,1/5/2016,47
2016010548,29300,1/5/2016,48
2016010601,29696,1/6/2016,1
2016010602,30520,1/6/2016,2
2016010603,30703,1/6/2016,3
2016010604,30154,1/6/2016,4
2016010605,29717,1/6/2016,5
2016010606,29687,1/6/2016,6
2016010607,29374,1/6/2016,7
2016010608,28708,1/6/2016,8
2016010609,28316,1/6/2016,9
2016010610,28074,1/6/2016,10
2016010611,28547,1/6/2016,11
2016010612,29312,1/6/2016,12
2016010613,31671,1/6/2016,13
2016010614,34583,1/6/2016,14
2016010615,38730,1/6/2016,15
2016010616,41216,1/6/2016,16
2016010617,42440,1/6/2016,17
2016010618,42480,1/6/2016,18
2016010619,43158,1/6/2016,19
2016010620,43376,1/6/2016,20
2016010621,43409,1/6/2016,21
2016010622,43447,1/6/2016,22
2016010623,43492,1/6/2016,23
2016010624,43638,1/6/2016,24
2016010625,43867,1/6/2016,25
2016010626,43613,1/6/2016,26
2016010627,43542,1/6/2016,27
2016010628,42762,1/6/2016,28
2016010629,43103,1/6/2016,29
2016010630,43147,1/6/2016,30
2016010631,43516,1/6/2016,31
2016010632,44848,1/6/2016,32
2016010633,46741,1/6/2016,33
2016010634,48616,1/6/2016,34
2016010635,49124,1/6/2016,35
2016010636,49199,1/6/2016,36
2016010637,49123,1/6/2016,37
2016010638,48324,1/6/2016,38
2016010639,47267,1/6/2016,39
2016010640,44714,1/6/2016,40
2016010641,43193,1/6/2016,41
2016010642,41288,1/6/2016,42
2016010643,39259,1/6/2016,43
2016010644,36838,1/6/2016,44
2016010645,34738,1/6/2016,45
2016010646,32664,1/6/2016,46
2016010647,30307,1/6/2016,47
2016010648,29000,1/6/2016,48
2016010701,29302,1/7/2016,1
2016010702,29689,1/7/2016,2
2016010703,29909,1/7/2016,3
2016010704,29204,1/7/2016,4
2016010705,28583,1/7/2016,5
2016010706,28415,1/7/2016,6
2016010707,27933,1/7/2016,7
2016010708,27382,1/7/2016,8
2016010709,27008,1/7/2016,9
2016010710,27073,1/7/2016,10
2016010711,27489,1/7/2016,11
2016010712,28385,1/7/2016,12
2016010713,30774,1/7/2016,13
2016010714,33385,1/7/2016,14
2016010715,37470,1/7/2016,15
2016010716,39882,1/7/2016,16
2016010717,41000,1/7/2016,17
2016010718,40972,1/7/2016,18
2016010719,41602,1/7/2016,19
2016010720,41809,1/7/2016,20
2016010721,41795,1/7/2016,21
2016010722,41635,1/7/2016,22
2016010723,41663,1/7/2016,23
2016010724,41606,1/7/2016,24
2016010725,41684,1/7/2016,25
2016010726,41713,1/7/2016,26
2016010727,41577,1/7/2016,27
2016010728,41789,1/7/2016,28
2016010729,42174,1/7/2016,29
2016010730,42444,1/7/2016,30
2016010731,43047,1/7/2016,31
2016010732,44564,1/7/2016,32
2016010733,46960,1/7/2016,33
2016010734,48618,1/7/2016,34
2016010735,48916,1/7/2016,35
2016010736,48664,1/7/2016,36
2016010737,47945,1/7/2016,37
2016010738,47856,1/7/2016,38
2016010739,47071,1/7/2016,39
2016010740,45856,1/7/2016,40
2016010741,44219,1/7/2016,41
2016010742,41706,1/7/2016,42
2016010743,39898,1/7/2016,43
2016010744,37802,1/7/2016,44
2016010745,35765,1/7/2016,45
2016010746,33770,1/7/2016,46
2016010747,31432,1/7/2016,47
2016010748,29995,1/7/2016,48
2016010801,28946,1/8/2016,1
2016010802,29914,1/8/2016,2
2016010803,30867,1/8/2016,3
2016010804,30500,1/8/2016,4
2016010805,29965,1/8/2016,5
2016010806,29818,1/8/2016,6
2016010807,29404,1/8/2016,7
2016010808,28994,1/8/2016,8
2016010809,28845,1/8/2016,9
2016010810,28883,1/8/2016,10
2016010811,29614,1/8/2016,11
2016010812,30632,1/8/2016,12
2016010813,33004,1/8/2016,13
2016010814,35905,1/8/2016,14
2016010815,40536,1/8/2016,15
2016010816,42895,1/8/2016,16
2016010817,43999,1/8/2016,17
2016010818,44043,1/8/2016,18
2016010819,44656,1/8/2016,19
2016010820,44913,1/8/2016,20
2016010821,44651,1/8/2016,21
2016010822,44340,1/8/2016,22
2016010823,44274,1/8/2016,23
2016010824,44122,1/8/2016,24
2016010825,44121,1/8/2016,25
2016010826,43759,1/8/2016,26
2016010827,42553,1/8/2016,27
2016010828,42524,1/8/2016,28
2016010829,42612,1/8/2016,29
2016010830,42464,1/8/2016,30
2016010831,42670,1/8/2016,31
2016010832,43758,1/8/2016,32
2016010833,45748,1/8/2016,33
2016010834,48186,1/8/2016,34
2016010835,49271,1/8/2016,35
2016010836,48920,1/8/2016,36
2016010837,48496,1/8/2016,37
2016010838,47494,1/8/2016,38
2016010839,45950,1/8/2016,39
2016010840,44366,1/8/2016,40
2016010841,42843,1/8/2016,41
2016010842,41407,1/8/2016,42
2016010843,39859,1/8/2016,43
2016010844,37895,1/8/2016,44
2016010845,36098,1/8/2016,45
2016010846,34527,1/8/2016,46
2016010847,32662,1/8/2016,47
2016010848,31507,1/8/2016,48
2016010901,30738,1/9/2016,1
2016010902,31304,1/9/2016,2
2016010903,31327,1/9/2016,3
2016010904,30757,1/9/2016,4
2016010905,30502,1/9/2016,5
2016010906,30650,1/9/2016,6
2016010907,29974,1/9/2016,7
2016010908,29304,1/9/2016,8
2016010909,28697,1/9/2016,9
2016010910,28304,1/9/2016,10
2016010911,28255,1/9/2016,11
2016010912,28574,1/9/2016,12
2016010913,29585,1/9/2016,13
2016010914,29661,1/9/2016,14
2016010915,30687,1/9/2016,15
2016010916,31955,1/9/2016,16
2016010917,33596,1/9/2016,17
2016010918,35600,1/9/2016,18
2016010919,37109,1/9/2016,19
2016010920,37541,1/9/2016,20
2016010921,38120,1/9/2016,21
2016010922,38542,1/9/2016,22
2016010923,38795,1/9/2016,23
2016010924,39077,1/9/2016,24
2016010925,38336,1/9/2016,25
2016010926,38294,1/9/2016,26
2016010927,38045,1/9/2016,27
2016010928,37673,1/9/2016,28
2016010929,37616,1/9/2016,29
2016010930,37617,1/9/2016,30
2016010931,37917,1/9/2016,31
2016010932,38369,1/9/2016,32
2016010933,39806,1/9/2016,33
2016010934,42735,1/9/2016,34
2016010935,44867,1/9/2016,35
2016010936,45249,1/9/2016,36
2016010937,44708,1/9/2016,37
2016010938,43566,1/9/2016,38
2016010939,41755,1/9/2016,39
2016010940,39858,1/9/2016,40
2016010941,38370,1/9/2016,41
2016010942,36768,1/9/2016,42
2016010943,35619,1/9/2016,43
2016010944,34133,1/9/2016,44
2016010945,32990,1/9/2016,45
2016010946,32059,1/9/2016,46
2016010947,30649,1/9/2016,47
2016010948,29740,1/9/2016,48
2016011001,27574,1/10/2016,1
2016011002,27627,1/10/2016,2
2016011003,27307,1/10/2016,3
2016011004,27039,1/10/2016,4
2016011005,26765,1/10/2016,5
2016011006,26928,1/10/2016,6
2016011007,26569,1/10/2016,7
2016011008,26423,1/10/2016,8
2016011009,25883,1/10/2016,9
2016011010,25615,1/10/2016,10
2016011011,25892,1/10/2016,11
2016011012,26207,1/10/2016,12
2016011013,27028,1/10/2016,13
2016011014,27371,1/10/2016,14
2016011015,27434,1/10/2016,15
2016011016,27877,1/10/2016,16
2016011017,29348,1/10/2016,17
2016011018,31200,1/10/2016,18
2016011019,33052,1/10/2016,19
2016011020,34549,1/10/2016,20
2016011021,35700,1/10/2016,21
2016011022,35068,1/10/2016,22
2016011023,35666,1/10/2016,23
2016011024,36040,1/10/2016,24
2016011025,36469,1/10/2016,25
2016011026,36218,1/10/2016,26
2016011027,36015,1/10/2016,27
2016011028,35655,1/10/2016,28
2016011029,35593,1/10/2016,29
2016011030,35506,1/10/2016,30
2016011031,36004,1/10/2016,31
2016011032,36892,1/10/2016,32
2016011033,38348,1/10/2016,33
2016011034,41699,1/10/2016,34
2016011035,44629,1/10/2016,35
2016011036,44836,1/10/2016,36
2016011037,44360,1/10/2016,37
2016011038,43202,1/10/2016,38
2016011039,42194,1/10/2016,39
2016011040,40786,1/10/2016,40
2016011041,39741,1/10/2016,41
2016011042,38034,1/10/2016,42
2016011043,36718,1/10/2016,43
2016011044,34585,1/10/2016,44
2016011045,32905,1/10/2016,45
2016011046,31161,1/10/2016,46
2016011047,29057,1/10/2016,47
2016011048,28179,1/10/2016,48
2016011101,28484,1/11/2016,1
2016011102,29276,1/11/2016,2
2016011103,29770,1/11/2016,3
2016011104,29566,1/11/2016,4
