,ITSDO,settlementDate,settlementPeriod
2016081320,26797,2016-08-13,20
2016081321,26847,2016-08-13,21
2016081322,26783,2016-08-13,22
2016081323,26596,2016-08-13,23
2016081324,26397,2016-08-13,24
2016081325,26022,2016-08-13,25
2016081326,25526,2016-08-13,26
2016081327,25192,2016-08-13,27
2016081328,24556,2016-08-13,28
2016081329,24097,2016-08-13,29
2016081330,23900,2016-08-13,30
2016081331,23795,2016-08-13,31
2016081332,24017,2016-08-13,32
2016081333,24510,2016-08-13,33
2016081334,25394,2016-08-13,34
2016081335,26666,2016-08-13,35
2016081336,27615,2016-08-13,36
2016081337,28142,2016-08-13,37
2016081338,28640,2016-08-13,38
2016081339,28827,2016-08-13,39
2016081340,28727,2016-08-13,40
2016081341,28604,2016-08-13,41
2016081342,28963,2016-08-13,42
2016081343,29343,2016-08-13,43
2016081344,28692,2016-08-13,44
2016081345,27959,2016-08-13,45
2016081346,26940,2016-08-13,46
2016081347,25550,2016-08-13,47
2016081348,24282,2016-08-13,48
2016081401,23524,2016-08-14,1
2016081402,23149,2016-08-14,2
2016081403,22598,2016-08-14,3
2016081404,22487,2016-08-14,4
2016081405,22325,2016-08-14,5
2016081406,21952,2016-08-14,6
2016081407,21698,2016-08-14,7
2016081408,21551,2016-08-14,8
2016081409,21429,2016-08-14,9
2016081410,21252,2016-08-14,10
2016081411,21367,2016-08-14,11
2016081412,21378,2016-08-14,12
2016081413,21744,2016-08-14,13
2016081414,22109,2016-08-14,14
2016081415,22882,2016-08-14,15
2016081416,23164,2016-08-14,16
2016081417,23644,2016-08-14,17
2016081418,24611,2016-08-14,18
2016081419,25524,2016-08-14,19
2016081420,26131,2016-08-14,20
2016081421,26724,2016-08-14,21
2016081422,26886,2016-08-14,22
2016081423,27213,2016-08-14,23
2016081424,27250,2016-08-14,24
2016081425,27232,2016-08-14,25
2016081426,27069,2016-08-14,26
2016081427,26904,2016-08-14,27
2016081428,26449,2016-08-14,28
2016081429,26181,2016-08-14,29
2016081430,25909,2016-08-14,30
2016081431,25866,2016-08-14,31
2016081432,25980,2016-08-14,32
2016081433,26475,2016-08-14,33
2016081434,27191,2016-08-14,34
2016081435,27936,2016-08-14,35
2016081436,28560,2016-08-14,36
2016081437,29085,2016-08-14,37
2016081438,29561,2016-08-14,38
2016081439,29964,2016-08-14,39
2016081440,29849,2016-08-14,40
2016081441,30234,2016-08-14,41
2016081442,31159,2016-08-14,42
2016081443,31284,2016-08-14,43
2016081444,30305,2016-08-14,44
2016081445,29182,2016-08-14,45
2016081446,27624,2016-08-14,46
2016081447,25948,2016-08-14,47
2016081448,25194,2016-08-14,48
2016081501,24602,2016-08-15,1
2016081502,24074,2016-08-15,2
2016081503,23481,2016-08-15,3
2016081504,23367,2016-08-15,4
2016081505,23016,2016-08-15,5
2016081506,22612,2016-08-15,6
2016081507,22461,2016-08-15,7
2016081508,22479,2016-08-15,8
2016081509,22558,2016-08-15,9
2016081510,22720,2016-08-15,10
2016081511,23508,2016-08-15,11
2016081512,23732,2016-08-15,12
2016081513,25270,2016-08-15,13
2016081514,26466,2016-08-15,14
2016081515,28820,2016-08-15,15
2016081516,29937,2016-08-15,16
2016081517,30960,2016-08-15,17
2016081518,31308,2016-08-15,18
2016081519,31474,2016-08-15,19
2016081520,31038,2016-08-15,20
2016081521,30439,2016-08-15,21
2016081522,30020,2016-08-15,22
2016081523,29843,2016-08-15,23
2016081524,29677,2016-08-15,24
2016081525,29778,2016-08-15,25
2016081526,29541,2016-08-15,26
2016081527,29002,2016-08-15,27
2016081528,28652,2016-08-15,28
2016081529,28497,2016-08-15,29
2016081530,28461,2016-08-15,30
2016081531,28686,2016-08-15,31
2016081532,29091,2016-08-15,32
2016081533,29860,2016-08-15,33
2016081534,30856,2016-08-15,34
2016081535,31677,2016-08-15,35
2016081536,32362,2016-08-15,36
2016081537,32812,2016-08-15,37
2016081538,33122,2016-08-15,38
2016081539,33174,2016-08-15,39
2016081540,33085,2016-08-15,40
2016081541,32644,2016-08-15,41
2016081542,32894,2016-08-15,42
2016081543,33272,2016-08-15,43
2016081544,32238,2016-08-15,44
2016081545,30503,2016-08-15,45
2016081546,28843,2016-08-15,46
2016081547,26852,2016-08-15,47
2016081548,25654,2016-08-15,48
2016081601,25204,2016-08-16,1
2016081602,24258,2016-08-16,2
2016081603,23756,2016-08-16,3
2016081604,23509,2016-08-16,4
2016081605,23096,2016-08-16,5
2016081606,22780,2016-08-16,6
2016081607,22563,2016-08-16,7
2016081608,22520,2016-08-16,8
2016081609,22530,2016-08-16,9
2016081610,22616,2016-08-16,10
2016081611,23209,2016-08-16,11
2016081612,23604,2016-08-16,12
2016081613,24681,2016-08-16,13
2016081614,26264,2016-08-16,14
2016081615,28727,2016-08-16,15
2016081616,30039,2016-08-16,16
2016081617,31329,2016-08-16,17
2016081618,31590,2016-08-16,18
2016081619,31784,2016-08-16,19
2016081620,31458,2016-08-16,20
2016081621,30957,2016-08-16,21
2016081622,30776,2016-08-16,22
2016081623,30447,2016-08-16,23
2016081624,30198,2016-08-16,24
2016081625,29912,2016-08-16,25
2016081626,29566,2016-08-16,26
2016081627,29260,2016-08-16,27
2016081628,29162,2016-08-16,28
2016081629,29232,2016-08-16,29
2016081630,29374,2016-08-16,30
2016081631,29659,2016-08-16,31
2016081632,30098,2016-08-16,32
2016081633,30671,2016-08-16,33
2016081634,31622,2016-08-16,34
2016081635,32274,2016-08-16,35
2016081636,32870,2016-08-16,36
2016081637,33108,2016-08-16,37
2016081638,33375,2016-08-16,38
2016081639,33270,2016-08-16,39
2016081640,33112,2016-08-16,40
2016081641,33043,2016-08-16,41
2016081642,33342,2016-08-16,42
2016081643,33338,2016-08-16,43
2016081644,32151,2016-08-16,44
2016081645,30523,2016-08-16,45
2016081646,28677,2016-08-16,46
2016081647,27218,2016-08-16,47
2016081648,26368,2016-08-16,48
2016081701,25050,2016-08-17,1
2016081702,24203,2016-08-17,2
2016081703,23639,2016-08-17,3
2016081704,23273,2016-08-17,4
2016081705,22879,2016-08-17,5
2016081706,22532,2016-08-17,6
2016081707,22437,2016-08-17,7
2016081708,22476,2016-08-17,8
2016081709,22464,2016-08-17,9
2016081710,22584,2016-08-17,10
2016081711,23209,2016-08-17,11
2016081712,23611,2016-08-17,12
2016081713,24924,2016-08-17,13
2016081714,26233,2016-08-17,14
2016081715,28617,2016-08-17,15
2016081716,30106,2016-08-17,16
2016081717,31450,2016-08-17,17
2016081718,31837,2016-08-17,18
2016081719,32158,2016-08-17,19
2016081720,32094,2016-08-17,20
2016081721,31738,2016-08-17,21
2016081722,31684,2016-08-17,22
2016081723,31466,2016-08-17,23
2016081724,31377,2016-08-17,24
2016081725,31350,2016-08-17,25
2016081726,30937,2016-08-17,26
2016081727,30700,2016-08-17,27
2016081728,30381,2016-08-17,28
2016081729,30330,2016-08-17,29
2016081730,30479,2016-08-17,30
2016081731,30732,2016-08-17,31
2016081732,31212,2016-08-17,32
2016081733,31855,2016-08-17,33
2016081734,32676,2016-08-17,34
2016081735,33389,2016-08-17,35
2016081736,33967,2016-08-17,36
2016081737,34000,2016-08-17,37
2016081738,34053,2016-08-17,38
2016081739,33905,2016-08-17,39
2016081740,33733,2016-08-17,40
2016081741,33617,2016-08-17,41
2016081742,34247,2016-08-17,42
2016081743,34022,2016-08-17,43
2016081744,32757,2016-08-17,44
2016081745,31078,2016-08-17,45
2016081746,29216,2016-08-17,46
2016081747,27157,2016-08-17,47
2016081748,26164,2016-08-17,48
2016081801,25684,2016-08-18,1
2016081802,24777,2016-08-18,2
2016081803,24151,2016-08-18,3
2016081804,24028,2016-08-18,4
2016081805,23845,2016-08-18,5
2016081806,23504,2016-08-18,6
2016081807,23440,2016-08-18,7
2016081808,23448,2016-08-18,8
2016081809,23525,2016-08-18,9
2016081810,23740,2016-08-18,10
2016081811,24147,2016-08-18,11
2016081812,24532,2016-08-18,12
2016081813,25903,2016-08-18,13
2016081814,27234,2016-08-18,14
2016081815,29888,2016-08-18,15
2016081816,31630,2016-08-18,16
2016081817,33050,2016-08-18,17
2016081818,33600,2016-08-18,18
2016081819,33794,2016-08-18,19
2016081820,33536,2016-08-18,20
2016081821,33112,2016-08-18,21
2016081822,32906,2016-08-18,22
2016081823,32722,2016-08-18,23
2016081824,32681,2016-08-18,24
2016081825,32751,2016-08-18,25
2016081826,32566,2016-08-18,26
2016081827,32204,2016-08-18,27
2016081828,31896,2016-08-18,28
2016081829,31636,2016-08-18,29
2016081830,31622,2016-08-18,30
2016081831,31722,2016-08-18,31
2016081832,32029,2016-08-18,32
2016081833,32616,2016-08-18,33
2016081834,33284,2016-08-18,34
2016081835,33808,2016-08-18,35
2016081836,34022,2016-08-18,36
2016081837,34169,2016-08-18,37
2016081838,34134,2016-08-18,38
2016081839,33861,2016-08-18,39
2016081840,33583,2016-08-18,40
2016081841,33463,2016-08-18,41
2016081842,34044,2016-08-18,42
2016081843,33649,2016-08-18,43
2016081844,32287,2016-08-18,44
2016081845,30550,2016-08-18,45
2016081846,28520,2016-08-18,46
2016081847,26488,2016-08-18,47
2016081848,25253,2016-08-18,48
2016081901,25205,2016-08-19,1
2016081902,23995,2016-08-19,2
2016081903,23605,2016-08-19,3
2016081904,23180,2016-08-19,4
2016081905,22790,2016-08-19,5
2016081906,22639,2016-08-19,6
2016081907,22663,2016-08-19,7
2016081908,22620,2016-08-19,8
2016081909,22666,2016-08-19,9
2016081910,22791,2016-08-19,10
2016081911,23336,2016-08-19,11
2016081912,23605,2016-08-19,12
2016081913,24474,2016-08-19,13
2016081914,26148,2016-08-19,14
2016081915,28823,2016-08-19,15
2016081916,30880,2016-08-19,16
2016081917,32731,2016-08-19,17
2016081918,33749,2016-08-19,18
2016081919,34572,2016-08-19,19
2016081920,34643,2016-08-19,20
2016081921,34509,2016-08-19,21
2016081922,34482,2016-08-19,22
2016081923,34542,2016-08-19,23
2016081924,34543,2016-08-19,24
2016081925,34538,2016-08-19,25
2016081926,34136,2016-08-19,26
2016081927,33874,2016-08-19,27
2016081928,33370,2016-08-19,28
2016081929,32959,2016-08-19,29
2016081930,32431,2016-08-19,30
2016081931,31865,2016-08-19,31
2016081932,31567,2016-08-19,32
2016081933,31828,2016-08-19,33
2016081934,32157,2016-08-19,34
2016081935,32606,2016-08-19,35
2016081936,32650,2016-08-19,36
2016081937,32481,2016-08-19,37
2016081938,32297,2016-08-19,38
2016081939,31997,2016-08-19,39
2016081940,31651,2016-08-19,40
2016081941,31409,2016-08-19,41
2016081942,31826,2016-08-19,42
2016081943,31402,2016-08-19,43
2016081944,29878,2016-08-19,44
2016081945,28340,2016-08-19,45
2016081946,26692,2016-08-19,46
2016081947,25083,2016-08-19,47
2016081948,24142,2016-08-19,48
2016082001,23207,2016-08-20,1
2016082002,22722,2016-08-20,2
2016082003,22214,2016-08-20,3
2016082004,21767,2016-08-20,4
2016082005,21407,2016-08-20,5
2016082006,20880,2016-08-20,6
2016082007,20684,2016-08-20,7
2016082008,20452,2016-08-20,8
2016082009,20326,2016-08-20,9
2016082010,20253,2016-08-20,10
2016082011,20531,2016-08-20,11
2016082012,20557,2016-08-20,12
2016082013,21042,2016-08-20,13
2016082014,21318,2016-08-20,14
2016082015,21906,2016-08-20,15
2016082016,22970,2016-08-20,16
2016082017,24145,2016-08-20,17
2016082018,24946,2016-08-20,18
2016082019,25971,2016-08-20,19
2016082020,26248,2016-08-20,20
2016082021,26228,2016-08-20,21
2016082022,26111,2016-08-20,22
2016082023,26047,2016-08-20,23
2016082024,25871,2016-08-20,24
2016082025,25754,2016-08-20,25
2016082026,25527,2016-08-20,26
2016082027,25019,2016-08-20,27
2016082028,24527,2016-08-20,28
2016082029,24223,2016-08-20,29
2016082030,24047,2016-08-20,30
2016082031,24019,2016-08-20,31
2016082032,24306,2016-08-20,32
2016082033,25039,2016-08-20,33
2016082034,25838,2016-08-20,34
2016082035,26877,2016-08-20,35
2016082036,27445,2016-08-20,36
2016082037,27795,2016-08-20,37
2016082038,27899,2016-08-20,38
2016082039,27834,2016-08-20,39
2016082040,27716,2016-08-20,40
2016082041,27731,2016-08-20,41
2016082042,28017,2016-08-20,42
2016082043,27537,2016-08-20,43
2016082044,26658,2016-08-20,44
2016082045,25598,2016-08-20,45
2016082046,24419,2016-08-20,46
2016082047,23002,2016-08-20,47
2016082048,21840,2016-08-20,48
2016082101,21293,2016-08-21,1
2016082102,20649,2016-08-21,2
2016082103,20506,2016-08-21,3
2016082104,20518,2016-08-21,4
2016082105,20309,2016-08-21,5
2016082106,19911,2016-08-21,6
2016082107,19689,2016-08-21,7
2016082108,19565,2016-08-21,8
2016082109,19598,2016-08-21,9
2016082110,19480,2016-08-21,10
2016082111,19609,2016-08-21,11
2016082112,19644,2016-08-21,12
2016082113,19790,2016-08-21,13
2016082114,20265,2016-08-21,14
2016082115,20801,2016-08-21,15
2016082116,21261,2016-08-21,16
2016082117,21849,2016-08-21,17
2016082118,22594,2016-08-21,18
2016082119,23299,2016-08-21,19
2016082120,23999,2016-08-21,20
2016082121,24576,2016-08-21,21
2016082122,24817,2016-08-21,22
2016082123,25169,2016-08-21,23
2016082124,25251,2016-08-21,24
2016082125,25191,2016-08-21,25
2016082126,24905,2016-08-21,26
2016082127,24633,2016-08-21,27
2016082128,24493,2016-08-21,28
2016082129,24743,2016-08-21,29
2016082130,24667,2016-08-21,30
2016082131,24951,2016-08-21,31
2016082132,25612,2016-08-21,32
2016082133,26306,2016-08-21,33
2016082134,27138,2016-08-21,34
2016082135,27787,2016-08-21,35
2016082136,28613,2016-08-21,36
2016082137,29201,2016-08-21,37
2016082138,29700,2016-08-21,38
2016082139,29925,2016-08-21,39
2016082140,29804,2016-08-21,40
2016082141,30275,2016-08-21,41
2016082142,30474,2016-08-21,42
2016082143,29908,2016-08-21,43
2016082144,28628,2016-08-21,44
2016082145,27280,2016-08-21,45
2016082146,25575,2016-08-21,46
2016082147,24015,2016-08-21,47
2016082148,23197,2016-08-21,48
2016082201,22786,2016-08-22,1
2016082202,22559,2016-08-22,2
2016082203,22133,2016-08-22,3
2016082204,21898,2016-08-22,4
2016082205,21532,2016-08-22,5
2016082206,21276,2016-08-22,6
2016082207,21246,2016-08-22,7
2016082208,21230,2016-08-22,8
2016082209,21176,2016-08-22,9
2016082210,21390,2016-08-22,10
2016082211,22028,2016-08-22,11
2016082212,22831,2016-08-22,12
2016082213,24151,2016-08-22,13
2016082214,25365,2016-08-22,14
2016082215,27606,2016-08-22,15
2016082216,29490,2016-08-22,16
2016082217,31336,2016-08-22,17
2016082218,32334,2016-08-22,18
2016082219,32929,2016-08-22,19
2016082220,32953,2016-08-22,20
2016082221,32724,2016-08-22,21
2016082222,32467,2016-08-22,22
2016082223,32580,2016-08-22,23
2016082224,32621,2016-08-22,24
2016082225,32688,2016-08-22,25
2016082226,32431,2016-08-22,26
2016082227,32244,2016-08-22,27
2016082228,31914,2016-08-22,28
2016082229,31921,2016-08-22,29
2016082230,31813,2016-08-22,30
2016082231,31995,2016-08-22,31
2016082232,32352,2016-08-22,32
2016082233,33086,2016-08-22,33
2016082234,33798,2016-08-22,34
2016082235,34461,2016-08-22,35
2016082236,34888,2016-08-22,36
2016082237,35100,2016-08-22,37
2016082238,35014,2016-08-22,38
2016082239,34742,2016-08-22,39
2016082240,34415,2016-08-22,40
2016082241,34426,2016-08-22,41
2016082242,35035,2016-08-22,42
2016082243,34655,2016-08-22,43
2016082244,33170,2016-08-22,44
2016082245,31499,2016-08-22,45
2016082246,29317,2016-08-22,46
2016082247,27561,2016-08-22,47
2016082248,26774,2016-08-22,48
2016082301,25919,2016-08-23,1
2016082302,25247,2016-08-23,2
2016082303,24769,2016-08-23,3
2016082304,24513,2016-08-23,4
2016082305,23988,2016-08-23,5
2016082306,23678,2016-08-23,6
2016082307,23479,2016-08-23,7
2016082308,23481,2016-08-23,8
2016082309,23531,2016-08-23,9
2016082310,23572,2016-08-23,10
2016082311,24213,2016-08-23,11
2016082312,24664,2016-08-23,12
2016082313,25744,2016-08-23,13
2016082314,26827,2016-08-23,14
2016082315,29320,2016-08-23,15
2016082316,30973,2016-08-23,16
2016082317,32327,2016-08-23,17
2016082318,32778,2016-08-23,18
2016082319,32872,2016-08-23,19
2016082320,32456,2016-08-23,20
2016082321,32049,2016-08-23,21
2016082322,31752,2016-08-23,22
2016082323,31556,2016-08-23,23
2016082324,31468,2016-08-23,24
2016082325,31359,2016-08-23,25
2016082326,31072,2016-08-23,26
2016082327,30987,2016-08-23,27
2016082328,30954,2016-08-23,28
2016082329,31038,2016-08-23,29
2016082330,31209,2016-08-23,30
2016082331,31628,2016-08-23,31
2016082332,32287,2016-08-23,32
2016082333,33108,2016-08-23,33
2016082334,34143,2016-08-23,34
2016082335,34489,2016-08-23,35
2016082336,34765,2016-08-23,36
2016082337,34866,2016-08-23,37
2016082338,35021,2016-08-23,38
2016082339,34963,2016-08-23,39
2016082340,34841,2016-08-23,40
2016082341,35351,2016-08-23,41
2016082342,36065,2016-08-23,42
2016082343,35401,2016-08-23,43
2016082344,33761,2016-08-23,44
2016082345,31921,2016-08-23,45
2016082346,29702,2016-08-23,46
2016082347,28125,2016-08-23,47
2016082348,26727,2016-08-23,48
2016082401,26012,2016-08-24,1
2016082402,25184,2016-08-24,2
2016082403,24831,2016-08-24,3
2016082404,24836,2016-08-24,4
2016082405,24428,2016-08-24,5
2016082406,24148,2016-08-24,6
2016082407,23882,2016-08-24,7
2016082408,23782,2016-08-24,8
2016082409,23832,2016-08-24,9
2016082410,23851,2016-08-24,10
2016082411,24199,2016-08-24,11
2016082412,24600,2016-08-24,12
2016082413,25484,2016-08-24,13
2016082414,27389,2016-08-24,14
2016082415,29900,2016-08-24,15
2016082416,31568,2016-08-24,16
2016082417,33005,2016-08-24,17
2016082418,33678,2016-08-24,18
2016082419,34067,2016-08-24,19
2016082420,33643,2016-08-24,20
2016082421,33173,2016-08-24,21
2016082422,32924,2016-08-24,22
2016082423,32721,2016-08-24,23
2016082424,32694,2016-08-24,24
2016082425,32685,2016-08-24,25
2016082426,32358,2016-08-24,26
2016082427,32359,2016-08-24,27
2016082428,32370,2016-08-24,28
2016082429,32594,2016-08-24,29
2016082430,32717,2016-08-24,30
2016082431,33185,2016-08-24,31
2016082432,33923,2016-08-24,32
2016082433,34615,2016-08-24,33
2016082434,35415,2016-08-24,34
2016082435,35941,2016-08-24,35
2016082436,36078,2016-08-24,36
2016082437,36069,2016-08-24,37
2016082438,35840,2016-08-24,38
2016082439,35415,2016-08-24,39
2016082440,35386,2016-08-24,40
2016082441,35623,2016-08-24,41
2016082442,35421,2016-08-24,42
2016082443,35064,2016-08-24,43
2016082444,33801,2016-08-24,44
2016082445,31965,2016-08-24,45
2016082446,29929,2016-08-24,46
2016082447,28798,2016-08-24,47
2016082448,27950,2016-08-24,48
2016082501,26735,2016-08-25,1
2016082502,26034,2016-08-25,2
2016082503,25437,2016-08-25,3
2016082504,25076,2016-08-25,4
2016082505,24845,2016-08-25,5
2016082506,24646,2016-08-25,6
2016082507,24558,2016-08-25,7
2016082508,24531,2016-08-25,8
2016082509,24557,2016-08-25,9
2016082510,24686,2016-08-25,10
2016082511,25202,2016-08-25,11
2016082512,25877,2016-08-25,12
2016082513,26814,2016-08-25,13
2016082514,27987,2016-08-25,14
2016082515,30684,2016-08-25,15
2016082516,32345,2016-08-25,16
2016082517,33963,2016-08-25,17
2016082518,34846,2016-08-25,18
2016082519,35678,2016-08-25,19
2016082520,35830,2016-08-25,20
2016082521,35845,2016-08-25,21
2016082522,35834,2016-08-25,22
2016082523,35845,2016-08-25,23
2016082524,35796,2016-08-25,24
2016082525,35870,2016-08-25,25
2016082526,35834,2016-08-25,26
2016082527,35954,2016-08-25,27
2016082528,36024,2016-08-25,28
2016082529,35989,2016-08-25,29
2016082530,36056,2016-08-25,30
2016082531,36117,2016-08-25,31
2016082532,36140,2016-08-25,32
2016082533,36404,2016-08-25,33
2016082534,36981,2016-08-25,34
2016082535,37330,2016-08-25,35
2016082536,37165,2016-08-25,36
2016082537,37128,2016-08-25,37
2016082538,36972,2016-08-25,38
2016082539,36685,2016-08-25,39
2016082540,36340,2016-08-25,40
2016082541,36623,2016-08-25,41
2016082542,36483,2016-08-25,42
2016082543,35647,2016-08-25,43
2016082544,34059,2016-08-25,44
2016082545,32299,2016-08-25,45
2016082546,30297,2016-08-25,46
2016082547,28916,2016-08-25,47
2016082548,27929,2016-08-25,48
2016082601,26735,2016-08-26,1
2016082602,25817,2016-08-26,2
2016082603,25193,2016-08-26,3
2016082604,24814,2016-08-26,4
2016082605,24219,2016-08-26,5
2016082606,23872,2016-08-26,6
2016082607,23728,2016-08-26,7
2016082608,23654,2016-08-26,8
2016082609,23670,2016-08-26,9
2016082610,23724,2016-08-26,10
2016082611,24212,2016-08-26,11
2016082612,24695,2016-08-26,12
2016082613,25625,2016-08-26,13
2016082614,26798,2016-08-26,14
2016082615,28965,2016-08-26,15
2016082616,30357,2016-08-26,16
2016082617,31642,2016-08-26,17
2016082618,31929,2016-08-26,18
2016082619,31823,2016-08-26,19
2016082620,31140,2016-08-26,20
2016082621,30551,2016-08-26,21
2016082622,30263,2016-08-26,22
2016082623,29832,2016-08-26,23
2016082624,29579,2016-08-26,24
2016082625,29194,2016-08-26,25
2016082626,28870,2016-08-26,26
2016082627,29989,2016-08-26,27
2016082628,29779,2016-08-26,28
2016082629,29829,2016-08-26,29
2016082630,29831,2016-08-26,30
2016082631,29347,2016-08-26,31
2016082632,29712,2016-08-26,32
2016082633,29385,2016-08-26,33
2016082634,30220,2016-08-26,34
2016082635,30941,2016-08-26,35
2016082636,31636,2016-08-26,36
2016082637,32118,2016-08-26,37
2016082638,32505,2016-08-26,38
2016082639,32568,2016-08-26,39
2016082640,32579,2016-08-26,40
2016082641,32778,2016-08-26,41
2016082642,33298,2016-08-26,42
2016082643,32655,2016-08-26,43
2016082644,31495,2016-08-26,44
2016082645,30407,2016-08-26,45
2016082646,28888,2016-08-26,46
2016082647,26687,2016-08-26,47
2016082648,25633,2016-08-26,48
2016082701,25110,2016-08-27,1
2016082702,24608,2016-08-27,2
2016082703,23957,2016-08-27,3
2016082704,23606,2016-08-27,4
2016082705,23149,2016-08-27,5
2016082706,22943,2016-08-27,6
2016082707,22680,2016-08-27,7
2016082708,22549,2016-08-27,8
2016082709,22444,2016-08-27,9
2016082710,22427,2016-08-27,10
2016082711,22655,2016-08-27,11
2016082712,22845,2016-08-27,12
2016082713,22996,2016-08-27,13
2016082714,23278,2016-08-27,14
2016082715,24157,2016-08-27,15
2016082716,25239,2016-08-27,16
2016082717,26673,2016-08-27,17
2016082718,27567,2016-08-27,18
2016082719,28284,2016-08-27,19
2016082720,28426,2016-08-27,20
2016082721,28544,2016-08-27,21
2016082722,28161,2016-08-27,22
2016082723,28082,2016-08-27,23
2016082724,27886,2016-08-27,24
2016082725,27758,2016-08-27,25
2016082726,27687,2016-08-27,26
2016082727,27814,2016-08-27,27
2016082728,27576,2016-08-27,28
2016082729,27418,2016-08-27,29
2016082730,27312,2016-08-27,30
2016082731,27532,2016-08-27,31
2016082732,27782,2016-08-27,32
2016082733,28284,2016-08-27,33
2016082734,28963,2016-08-27,34
2016082735,29737,2016-08-27,35
2016082736,30125,2016-08-27,36
2016082737,30230,2016-08-27,37
2016082738,30205,2016-08-27,38
2016082739,29846,2016-08-27,39
2016082740,29847,2016-08-27,40
2016082741,30228,2016-08-27,41
2016082742,30109,2016-08-27,42
2016082743,29355,2016-08-27,43
2016082744,28618,2016-08-27,44
2016082745,27513,2016-08-27,45
2016082746,26228,2016-08-27,46
2016082747,25007,2016-08-27,47
2016082748,24019,2016-08-27,48
2016082801,23296,2016-08-28,1
2016082802,22666,2016-08-28,2
2016082803,22350,2016-08-28,3
2016082804,22309,2016-08-28,4
2016082805,22159,2016-08-28,5
2016082806,21782,2016-08-28,6
2016082807,21746,2016-08-28,7
2016082808,21579,2016-08-28,8
2016082809,21451,2016-08-28,9
2016082810,21367,2016-08-28,10
2016082811,21412,2016-08-28,11
2016082812,21509,2016-08-28,12
2016082813,21622,2016-08-28,13
2016082814,22035,2016-08-28,14
2016082815,22632,2016-08-28,15
2016082816,22880,2016-08-28,16
2016082817,23770,2016-08-28,17
2016082818,24724,2016-08-28,18
2016082819,26006,2016-08-28,19
2016082820,26768,2016-08-28,20
2016082821,27361,2016-08-28,21
2016082822,27407,2016-08-28,22
2016082823,27698,2016-08-28,23
2016082824,27678,2016-08-28,24
2016082825,27910,2016-08-28,25
2016082826,27812,2016-08-28,26
2016082827,27713,2016-08-28,27
2016082828,27334,2016-08-28,28
2016082829,27146,2016-08-28,29
2016082830,26764,2016-08-28,30
2016082831,26544,2016-08-28,31
2016082832,26774,2016-08-28,32
2016082833,27249,2016-08-28,33
2016082834,27947,2016-08-28,34
2016082835,28534,2016-08-28,35
2016082836,28888,2016-08-28,36
2016082837,28956,2016-08-28,37
2016082838,29009,2016-08-28,38
2016082839,29236,2016-08-28,39
2016082840,29148,2016-08-28,40
2016082841,30053,2016-08-28,41
2016082842,30376,2016-08-28,42
2016082843,29936,2016-08-28,43
2016082844,28770,2016-08-28,44
2016082845,27548,2016-08-28,45
2016082846,26197,2016-08-28,46
2016082847,24667,2016-08-28,47
2016082848,23372,2016-08-28,48
2016082901,22784,2016-08-29,1
2016082902,22172,2016-08-29,2
2016082903,21876,2016-08-29,3
2016082904,22005,2016-08-29,4
2016082905,21924,2016-08-29,5
2016082906,21595,2016-08-29,6
2016082907,21414,2016-08-29,7
2016082908,21356,2016-08-29,8
2016082909,21289,2016-08-29,9
2016082910,21357,2016-08-29,10
2016082911,21898,2016-08-29,11
2016082912,22220,2016-08-29,12
2016082913,22840,2016-08-29,13
2016082914,23499,2016-08-29,14
2016082915,25972,2016-08-29,15
2016082916,26724,2016-08-29,16
2016082917,27267,2016-08-29,17
2016082918,27998,2016-08-29,18
2016082919,27456,2016-08-29,19
2016082920,27559,2016-08-29,20
2016082921,27848,2016-08-29,21
2016082922,27487,2016-08-29,22
2016082923,27431,2016-08-29,23
2016082924,27061,2016-08-29,24
2016082925,27002,2016-08-29,25
2016082926,26684,2016-08-29,26
2016082927,26566,2016-08-29,27
2016082928,26040,2016-08-29,28
2016082929,26255,2016-08-29,29
2016082930,26106,2016-08-29,30
2016082931,25832,2016-08-29,31
2016082932,26330,2016-08-29,32
2016082933,26794,2016-08-29,33
2016082934,27997,2016-08-29,34
2016082935,28147,2016-08-29,35
2016082936,29069,2016-08-29,36
2016082937,29619,2016-08-29,37
2016082938,30078,2016-08-29,38
2016082939,30192,2016-08-29,39
2016082940,30379,2016-08-29,40
2016082941,31464,2016-08-29,41
2016082942,31798,2016-08-29,42
2016082943,30879,2016-08-29,43
2016082944,29474,2016-08-29,44
2016082945,29065,2016-08-29,45
2016082946,27154,2016-08-29,46
2016082947,24490,2016-08-29,47
2016082948,23239,2016-08-29,48
2016083001,22706,2016-08-30,1
2016083002,22353,2016-08-30,2
2016083003,22003,2016-08-30,3
2016083004,21839,2016-08-30,4
2016083005,21541,2016-08-30,5
2016083006,21277,2016-08-30,6
2016083007,21296,2016-08-30,7
2016083008,21261,2016-08-30,8
2016083009,21364,2016-08-30,9
2016083010,21517,2016-08-30,10
2016083011,22271,2016-08-30,11
2016083012,22883,2016-08-30,12
2016083013,23730,2016-08-30,13
2016083014,25720,2016-08-30,14
2016083015,28123,2016-08-30,15
2016083016,29827,2016-08-30,16
2016083017,31250,2016-08-30,17
2016083018,31696,2016-08-30,18
2016083019,31874,2016-08-30,19
2016083020,31550,2016-08-30,20
2016083021,31081,2016-08-30,21
2016083022,30856,2016-08-30,22
2016083023,30617,2016-08-30,23
2016083024,30439,2016-08-30,24
2016083025,30337,2016-08-30,25
