,ITSDO,settlementDate,settlementPeriod
2016010420,41542,2016-01-04,20
2016010421,41736,2016-01-04,21
2016010422,41899,2016-01-04,22
2016010423,42090,2016-01-04,23
2016010424,42344,2016-01-04,24
2016010425,42803,2016-01-04,25
2016010426,42802,2016-01-04,26
2016010427,42883,2016-01-04,27
2016010428,42699,2016-01-04,28
2016010429,42945,2016-01-04,29
2016010430,43054,2016-01-04,30
2016010431,43228,2016-01-04,31
2016010432,44327,2016-01-04,32
2016010433,45947,2016-01-04,33
2016010434,47621,2016-01-04,34
2016010435,48199,2016-01-04,35
2016010436,47986,2016-01-04,36
2016010437,48061,2016-01-04,37
2016010438,47446,2016-01-04,38
2016010439,46253,2016-01-04,39
2016010440,44653,2016-01-04,40
2016010441,43004,2016-01-04,41
2016010442,41173,2016-01-04,42
2016010443,39146,2016-01-04,43
2016010444,36689,2016-01-04,44
2016010445,34440,2016-01-04,45
2016010446,32284,2016-01-04,46
2016010447,29958,2016-01-04,47
2016010448,28774,2016-01-04,48
2016010501,28508,2016-01-05,1
2016010502,28832,2016-01-05,2
2016010503,29225,2016-01-05,3
2016010504,28950,2016-01-05,4
2016010505,28630,2016-01-05,5
2016010506,28512,2016-01-05,6
2016010507,28061,2016-01-05,7
2016010508,27750,2016-01-05,8
2016010509,27489,2016-01-05,9
2016010510,27574,2016-01-05,10
2016010511,27863,2016-01-05,11
2016010512,28520,2016-01-05,12
2016010513,30771,2016-01-05,13
2016010514,33746,2016-01-05,14
2016010515,37662,2016-01-05,15
2016010516,39846,2016-01-05,16
2016010517,41115,2016-01-05,17
2016010518,41231,2016-01-05,18
2016010519,41970,2016-01-05,19
2016010520,42311,2016-01-05,20
2016010521,42292,2016-01-05,21
2016010522,42370,2016-01-05,22
2016010523,42441,2016-01-05,23
2016010524,42502,2016-01-05,24
2016010525,42769,2016-01-05,25
2016010526,42591,2016-01-05,26
2016010527,42623,2016-01-05,27
2016010528,42759,2016-01-05,28
2016010529,43019,2016-01-05,29
2016010530,43001,2016-01-05,30
2016010531,43276,2016-01-05,31
2016010532,44533,2016-01-05,32
2016010533,46539,2016-01-05,33
2016010534,48497,2016-01-05,34
2016010535,48905,2016-01-05,35
2016010536,48934,2016-01-05,36
2016010537,48729,2016-01-05,37
2016010538,48131,2016-01-05,38
2016010539,47250,2016-01-05,39
2016010540,45517,2016-01-05,40
2016010541,44090,2016-01-05,41
2016010542,42184,2016-01-05,42
2016010543,40069,2016-01-05,43
2016010544,37594,2016-01-05,44
2016010545,35487,2016-01-05,45
2016010546,33294,2016-01-05,46
2016010547,30847,2016-01-05,47
2016010548,29541,2016-01-05,48
2016010601,29746,2016-01-06,1
2016010602,30700,2016-01-06,2
2016010603,30862,2016-01-06,3
2016010604,30177,2016-01-06,4
2016010605,29629,2016-01-06,5
2016010606,29560,2016-01-06,6
2016010607,29130,2016-01-06,7
2016010608,28610,2016-01-06,8
2016010609,28388,2016-01-06,9
2016010610,28481,2016-01-06,10
2016010611,29085,2016-01-06,11
2016010612,29909,2016-01-06,12
2016010613,32312,2016-01-06,13
2016010614,35045,2016-01-06,14
2016010615,39124,2016-01-06,15
2016010616,41658,2016-01-06,16
2016010617,42689,2016-01-06,17
2016010618,42604,2016-01-06,18
2016010619,43316,2016-01-06,19
2016010620,43313,2016-01-06,20
2016010621,43242,2016-01-06,21
2016010622,43070,2016-01-06,22
2016010623,43019,2016-01-06,23
2016010624,42869,2016-01-06,24
2016010625,42811,2016-01-06,25
2016010626,42548,2016-01-06,26
2016010627,42524,2016-01-06,27
2016010628,42598,2016-01-06,28
2016010629,42837,2016-01-06,29
2016010630,42923,2016-01-06,30
2016010631,43456,2016-01-06,31
2016010632,44975,2016-01-06,32
2016010633,46993,2016-01-06,33
2016010634,48276,2016-01-06,34
2016010635,48405,2016-01-06,35
2016010636,48185,2016-01-06,36
2016010637,47915,2016-01-06,37
2016010638,47478,2016-01-06,38
2016010639,46397,2016-01-06,39
2016010640,44844,2016-01-06,40
2016010641,43074,2016-01-06,41
2016010642,41070,2016-01-06,42
2016010643,38829,2016-01-06,43
2016010644,36481,2016-01-06,44
2016010645,34186,2016-01-06,45
2016010646,32040,2016-01-06,46
2016010647,29570,2016-01-06,47
2016010648,28056,2016-01-06,48
2016010701,28343,2016-01-07,1
2016010702,28950,2016-01-07,2
2016010703,29113,2016-01-07,3
2016010704,28402,2016-01-07,4
2016010705,27828,2016-01-07,5
2016010706,27714,2016-01-07,6
2016010707,27626,2016-01-07,7
2016010708,27044,2016-01-07,8
2016010709,26825,2016-01-07,9
2016010710,26898,2016-01-07,10
2016010711,27307,2016-01-07,11
2016010712,27900,2016-01-07,12
2016010713,30193,2016-01-07,13
2016010714,32939,2016-01-07,14
2016010715,37021,2016-01-07,15
2016010716,39458,2016-01-07,16
2016010717,40693,2016-01-07,17
2016010718,40815,2016-01-07,18
2016010719,41503,2016-01-07,19
2016010720,42102,2016-01-07,20
2016010721,42253,2016-01-07,21
2016010722,42089,2016-01-07,22
2016010723,42050,2016-01-07,23
2016010724,41829,2016-01-07,24
2016010725,41845,2016-01-07,25
2016010726,41754,2016-01-07,26
2016010727,41554,2016-01-07,27
2016010728,41152,2016-01-07,28
2016010729,41017,2016-01-07,29
2016010730,40809,2016-01-07,30
2016010731,41064,2016-01-07,31
2016010732,42310,2016-01-07,32
2016010733,44562,2016-01-07,33
2016010734,47384,2016-01-07,34
2016010735,48250,2016-01-07,35
2016010736,47992,2016-01-07,36
2016010737,47685,2016-01-07,37
2016010738,47066,2016-01-07,38
2016010739,46089,2016-01-07,39
2016010740,44600,2016-01-07,40
2016010741,42972,2016-01-07,41
2016010742,40969,2016-01-07,42
2016010743,39243,2016-01-07,43
2016010744,37005,2016-01-07,44
2016010745,34609,2016-01-07,45
2016010746,32670,2016-01-07,46
2016010747,30580,2016-01-07,47
2016010748,29383,2016-01-07,48
2016010801,29035,2016-01-08,1
2016010802,29822,2016-01-08,2
2016010803,30620,2016-01-08,3
2016010804,30248,2016-01-08,4
2016010805,29703,2016-01-08,5
2016010806,29617,2016-01-08,6
2016010807,29483,2016-01-08,7
2016010808,29028,2016-01-08,8
2016010809,28871,2016-01-08,9
2016010810,28828,2016-01-08,10
2016010811,29444,2016-01-08,11
2016010812,30668,2016-01-08,12
2016010813,32886,2016-01-08,13
2016010814,35720,2016-01-08,14
2016010815,40035,2016-01-08,15
2016010816,42130,2016-01-08,16
2016010817,43034,2016-01-08,17
2016010818,42805,2016-01-08,18
2016010819,43324,2016-01-08,19
2016010820,43431,2016-01-08,20
2016010821,43295,2016-01-08,21
2016010822,43213,2016-01-08,22
2016010823,43015,2016-01-08,23
2016010824,42756,2016-01-08,24
2016010825,42906,2016-01-08,25
2016010826,42706,2016-01-08,26
2016010827,42430,2016-01-08,27
2016010828,42339,2016-01-08,28
2016010829,42462,2016-01-08,29
2016010830,42393,2016-01-08,30
2016010831,42458,2016-01-08,31
2016010832,43656,2016-01-08,32
2016010833,45443,2016-01-08,33
2016010834,47626,2016-01-08,34
2016010835,48466,2016-01-08,35
2016010836,48112,2016-01-08,36
2016010837,48048,2016-01-08,37
2016010838,47563,2016-01-08,38
2016010839,46381,2016-01-08,39
2016010840,44680,2016-01-08,40
2016010841,42924,2016-01-08,41
2016010842,41007,2016-01-08,42
2016010843,39525,2016-01-08,43
2016010844,37506,2016-01-08,44
2016010845,35562,2016-01-08,45
2016010846,33835,2016-01-08,46
2016010847,31974,2016-01-08,47
2016010848,30764,2016-01-08,48
2016010901,30578,2016-01-09,1
2016010902,30779,2016-01-09,2
2016010903,30682,2016-01-09,3
2016010904,30163,2016-01-09,4
2016010905,29864,2016-01-09,5
2016010906,29847,2016-01-09,6
2016010907,29179,2016-01-09,7
2016010908,28526,2016-01-09,8
2016010909,27971,2016-01-09,9
2016010910,27531,2016-01-09,10
2016010911,27498,2016-01-09,11
2016010912,27728,2016-01-09,12
2016010913,28791,2016-01-09,13
2016010914,28821,2016-01-09,14
2016010915,29928,2016-01-09,15
2016010916,31001,2016-01-09,16
2016010917,32906,2016-01-09,17
2016010918,34702,2016-01-09,18
2016010919,36142,2016-01-09,19
2016010920,37201,2016-01-09,20
2016010921,37852,2016-01-09,21
2016010922,38173,2016-01-09,22
2016010923,38326,2016-01-09,23
2016010924,38440,2016-01-09,24
2016010925,38581,2016-01-09,25
2016010926,38682,2016-01-09,26
2016010927,38535,2016-01-09,27
2016010928,38403,2016-01-09,28
2016010929,38290,2016-01-09,29
2016010930,38240,2016-01-09,30
2016010931,38704,2016-01-09,31
2016010932,39347,2016-01-09,32
2016010933,41250,2016-01-09,33
2016010934,43208,2016-01-09,34
2016010935,44258,2016-01-09,35
2016010936,44323,2016-01-09,36
2016010937,43661,2016-01-09,37
2016010938,42562,2016-01-09,38
2016010939,41218,2016-01-09,39
2016010940,39613,2016-01-09,40
2016010941,38029,2016-01-09,41
2016010942,36303,2016-01-09,42
2016010943,35161,2016-01-09,43
2016010944,33374,2016-01-09,44
2016010945,31901,2016-01-09,45
2016010946,30594,2016-01-09,46
2016010947,28898,2016-01-09,47
2016010948,27854,2016-01-09,48
2016011001,27688,2016-01-10,1
