,FossilGas,APXPrice,Total_RENE,TSDF
2016010318,6511.0,24.98,7087.9,28600.0
2016010319,7065.0,30.22,7857.798,30604.0
2016010320,8443.0,30.22,7913.798,32207.0
2016010321,9818.0,31.03,8406.868999999999,33900.0
2016010322,11087.0,31.03,8475.868999999999,34501.0
2016010323,11886.0,33.82,8957.311000000002,35050.0
2016010324,12482.0,33.82,9011.311000000002,35491.0
2016010325,12970.0,39.63,9365.048999999999,35935.0
2016010326,13155.0,39.63,9396.048999999999,36000.0
2016010327,13248.0,36.03,9591.583999999999,36400.0
2016010328,13569.0,36.03,9587.583999999999,36438.0
2016010329,13832.0,34.5,9579.839,37029.0
2016010330,13882.0,34.5,9529.839,36998.0
2016010331,13721.0,30.24,9374.969,37365.0
2016010332,13687.0,30.24,9276.969,38296.0
2016010333,14432.0,35.0,8898.64,40155.0
2016010334,15727.0,35.0,8825.64,41889.0
2016010335,16402.0,70.0,8488.295,42862.0
2016010336,16738.0,70.0,8477.295,42706.0
2016010337,16542.0,50.86,8112.6939999999995,42183.0
2016010338,16313.0,50.86,8112.6939999999995,40941.0
2016010339,16096.0,40.0,7729.011,39656.0
2016010340,15490.0,40.0,7729.011,38311.0
2016010341,14989.0,38.0,7220.144,37615.0
2016010342,14448.0,38.0,7220.144,36004.0
2016010343,13132.0,33.98,6499.551,34631.0
2016010344,11900.0,33.98,6499.551,33400.0
2016010345,10993.0,32.05,5927.532,32225.0
2016010346,9377.0,32.05,5927.532,30783.0
2016010347,8906.0,37.56,5289.071,28826.0
2016010348,8110.0,37.56,5289.071,27800.0
2016010401,7695.0,31.81,5288.845,26562.0
2016010402,7980.0,31.81,5288.845,26899.0
2016010403,8656.0,35.55,5153.872,27323.0
2016010404,8843.0,35.55,5153.872,27261.0
2016010405,8732.0,35.39,5116.111,27195.0
2016010406,8194.0,35.39,5116.111,27095.0
2016010407,8149.0,33.91,5295.724,26717.0
2016010408,7670.0,33.91,5295.724,26358.0
2016010409,7421.0,30.06,5323.957,25976.0
2016010410,7370.0,30.06,5323.957,25919.0
2016010411,7604.0,29.82,5386.929,26551.0
2016010412,7818.0,29.82,5386.929,26927.0
2016010413,8255.0,29.93,5471.73,28946.0
2016010414,10258.0,29.93,5471.73,32003.0
2016010415,12517.0,30.57,5607.883,35728.0
2016010416,14287.0,30.57,5607.883,38329.0
2016010417,15047.0,35.04,5787.822,39985.0
2016010418,16128.0,35.04,5831.822,40894.0
2016010419,16978.0,37.99,6130.558,42152.0
2016010420,17346.0,37.99,6257.558,42093.0
2016010421,17373.0,37.08,6380.361,42820.0
2016010422,17353.0,37.08,6521.361,43117.0
2016010423,17277.0,40.11,6809.59,42467.0
2016010424,17346.0,40.11,6914.59,42753.0
2016010425,17371.0,40.2,7112.971,43129.0
2016010426,17478.0,40.2,7135.971,42711.0
2016010427,17420.0,38.05,7323.197,42680.0
2016010428,17399.0,38.05,7253.197,42552.0
2016010429,17503.0,35.05,7232.594999999999,42850.0
2016010430,17481.0,35.05,7110.594999999999,43049.0
2016010431,17657.0,34.52,7091.562,43262.0
2016010432,17806.0,34.52,6937.562,44276.0
2016010433,18629.0,40.79,6944.206,45982.0
2016010434,19287.0,40.79,6854.206,47511.0
2016010435,19872.0,78.27,7002.592999999999,48891.0
2016010436,19722.0,78.27,6994.592999999999,47590.0
2016010437,19925.0,42.81,7089.534,47502.0
2016010438,20024.0,42.81,7089.534,47343.0
2016010439,19105.0,40.55,7288.994000000001,46502.0
2016010440,17407.0,40.55,7288.994000000001,44639.0
2016010441,16738.0,43.0,7276.089,43195.0
2016010442,15584.0,43.0,7276.089,41397.0
2016010443,15458.0,36.06,7280.111999999999,39294.0
2016010444,13996.0,36.06,7280.111999999999,36851.0
2016010445,12450.0,34.0,7180.955,34636.0
2016010446,11005.0,34.0,7180.955,32404.0
2016010447,9462.0,33.75,7077.1269999999995,30006.0
2016010448,8357.0,33.75,7077.1269999999995,28796.0
2016010501,8011.0,29.99,6915.946,28630.0
2016010502,8195.0,29.99,6915.946,28792.0
2016010503,9299.0,31.95,6962.844999999999,29321.0
2016010504,9034.0,31.95,6962.844999999999,29002.0
2016010505,8755.0,29.97,6988.519,28897.0
2016010506,8436.0,29.97,6988.519,28740.0
2016010507,7916.0,27.99,7017.895999999999,28334.0
2016010508,7469.0,27.99,7017.895999999999,27857.0
2016010509,6888.0,24.32,7009.8330000000005,27398.0
2016010510,6909.0,24.32,7009.8330000000005,27285.0
2016010511,7037.0,29.91,6942.110999999999,27555.0
2016010512,7631.0,29.91,6942.110999999999,28095.0
2016010513,8376.0,43.01,6913.006,30203.0
2016010514,10319.0,43.01,6913.006,33593.0
2016010515,12850.0,36.1,6873.856,37539.0
2016010516,15880.0,36.1,6873.856,40144.0
2016010517,16815.0,37.01,6868.0560000000005,41543.0
2016010518,17106.0,37.01,6909.0560000000005,41513.0
2016010519,17244.0,36.2,6985.859,42324.0
2016010520,17977.0,36.2,7087.859,42578.0
2016010521,18083.0,35.86,7022.907,42601.0
2016010522,18108.0,35.86,7160.907,42893.0
2016010523,18304.0,37.91,7099.842000000001,42883.0
2016010524,18025.0,37.91,7214.842000000001,42844.0
2016010525,18286.0,38.8,7027.030000000001,42891.0
2016010526,18253.0,38.8,7071.030000000001,42665.0
2016010527,18220.0,34.95,6651.347,42641.0
2016010528,18424.0,34.95,6605.347,42760.0
2016010529,18628.0,30.74,6197.123,42719.0
2016010530,18638.0,30.74,6087.123,42676.0
2016010531,18483.0,30.7,5640.864,42723.0
2016010532,18848.0,30.7,5476.864,43524.0
2016010533,19333.0,43.03,5205.007,45391.0
2016010534,20288.0,43.03,5096.007,47855.0
2016010535,20744.0,74.96,4879.442,49021.0
2016010536,20600.0,74.96,4866.442,47976.0
2016010537,20879.0,49.04,4668.6720000000005,47879.0
2016010538,20761.0,49.04,4668.6720000000005,47954.0
2016010539,20315.0,41.92,4507.513999999999,46936.0
2016010540,20039.0,41.92,4507.513999999999,45518.0
2016010541,19944.0,38.74,4329.819,44158.0
2016010542,19081.0,38.74,4329.819,42074.0
2016010543,18069.0,37.05,4164.151,40090.0
2016010544,16385.0,37.05,4164.151,37776.0
2016010545,14619.0,30.35,4015.209,35363.0
2016010546,12531.0,30.35,4015.209,33322.0
2016010547,11271.0,30.93,3873.327,30809.0
2016010548,9904.0,30.93,3873.327,29300.0
2016010601,9294.0,30.4,3556.0060000000003,29696.0
2016010602,10224.0,30.4,3556.0060000000003,30520.0
2016010603,10649.0,32.44,3569.952,30703.0
2016010604,10409.0,32.44,3569.952,30154.0
2016010605,9966.0,30.53,3627.5730000000003,29717.0
2016010606,10001.0,30.53,3627.5730000000003,29687.0
2016010607,9632.0,29.92,3729.391,29374.0
2016010608,8969.0,29.92,3729.391,28708.0
2016010609,8552.0,24.07,3763.329,28316.0
2016010610,8448.0,24.07,3763.329,28074.0
2016010611,8914.0,30.0,3870.483,28547.0
2016010612,9727.0,30.0,3870.483,29312.0
2016010613,11227.0,38.03,4014.046,31671.0
2016010614,13196.0,38.03,4014.046,34583.0
2016010615,15781.0,36.74,4100.757,38730.0
2016010616,18579.0,36.74,4100.757,41216.0
2016010617,20192.0,42.9,4225.648,42440.0
2016010618,20332.0,42.9,4271.648,42480.0
2016010619,20512.0,43.59,4454.349,43158.0
2016010620,20743.0,43.59,4571.349,43376.0
2016010621,20809.0,40.05,4688.044,43409.0
2016010622,20567.0,40.05,4853.044,43447.0
2016010623,20398.0,34.08,5116.023,43492.0
2016010624,20134.0,34.08,5256.023,43638.0
2016010625,19973.0,33.6,5465.637000000001,43867.0
2016010626,19698.0,33.6,5503.637000000001,43613.0
2016010627,19578.0,32.11,5688.835,43542.0
2016010628,19489.0,32.11,5606.835,42762.0
2016010629,19460.0,31.96,5792.462,43103.0
2016010630,19412.0,31.96,5651.462,43147.0
2016010631,19449.0,31.05,5803.694,43516.0
2016010632,19986.0,31.05,5629.694,44848.0
2016010633,20823.0,44.64,5895.183999999999,46741.0
2016010634,21363.0,44.64,5793.183999999999,48616.0
2016010635,21262.0,69.0,6159.598,49124.0
2016010636,21054.0,69.0,6150.598,49199.0
2016010637,21345.0,40.72,6502.223,49123.0
2016010638,21183.0,40.72,6502.223,48324.0
2016010639,20929.0,37.94,6664.795,47267.0
